assignment_version,annotator_slot,task_order,anon_id,dataset,image_id,pred_id,crop_relpath,long_side_angle_deg_le90,cannot_determine,annotator_id,annotation_timestamp_utc
m4-v3-e6479d43f0b9,A,1,e5ea4c4cbf80cb01,SODA-A,01916__800__4000___1800,272,crops/e5ea4c4cbf80cb01.jpg,,,,
m4-v3-e6479d43f0b9,A,2,abf2a9bb0b30059d,DIOR-R,22871,0,crops/abf2a9bb0b30059d.jpg,,,,
m4-v3-e6479d43f0b9,A,3,ccd55711d2a41e8b,SODA-A,00832__800__2400___600,165,crops/ccd55711d2a41e8b.jpg,,,,
m4-v3-e6479d43f0b9,A,4,8034a8ca41f4035c,DIOR-R,18711,1,crops/8034a8ca41f4035c.jpg,,,,
m4-v3-e6479d43f0b9,A,5,66c0c480ce599e31,FAIR1M-v1.0,2104__1024__0___0,20,crops/66c0c480ce599e31.jpg,,,,
m4-v3-e6479d43f0b9,A,6,06325e52e1631f0c,SODA-A,01451__800__2400___600,12,crops/06325e52e1631f0c.jpg,,,,
m4-v3-e6479d43f0b9,A,7,f512f545399c3e7d,FAIR1M-v1.0,13104__1024__0___0,149,crops/f512f545399c3e7d.jpg,,,,
m4-v3-e6479d43f0b9,A,8,46f745e76b3fdc7a,DIOR-R,22757,14,crops/46f745e76b3fdc7a.jpg,,,,
m4-v3-e6479d43f0b9,A,9,63c2a1f82a041ee0,DIOR-R,21880,4,crops/63c2a1f82a041ee0.jpg,,,,
m4-v3-e6479d43f0b9,A,10,e60d7dd4ac4647cb,DIOR-R,22552,27,crops/e60d7dd4ac4647cb.jpg,,,,
m4-v3-e6479d43f0b9,A,11,8178b609a423fa67,DIOR-R,23194,22,crops/8178b609a423fa67.jpg,,,,
m4-v3-e6479d43f0b9,A,12,8e907934934d16da,DIOR-R,14363,0,crops/8e907934934d16da.jpg,,,,
m4-v3-e6479d43f0b9,A,13,be7ca0d1208c4662,FAIR1M-v1.0,4336__1024__0___0,18,crops/be7ca0d1208c4662.jpg,,,,
m4-v3-e6479d43f0b9,A,14,adf21d9d5f36829e,DIOR-R,22191,57,crops/adf21d9d5f36829e.jpg,,,,
m4-v3-e6479d43f0b9,A,15,87f463762312eaaa,DIOR-R,16549,23,crops/87f463762312eaaa.jpg,,,,
m4-v3-e6479d43f0b9,A,16,401f8a694896363b,SODA-A,01374__800__0___600,19,crops/401f8a694896363b.jpg,,,,
m4-v3-e6479d43f0b9,A,17,6331f79a89ed84c4,SODA-A,01738__800__600___600,1,crops/6331f79a89ed84c4.jpg,,,,
m4-v3-e6479d43f0b9,A,18,5eb8d15117dcbcaa,FAIR1M-v1.0,6619__1024__0___0,28,crops/5eb8d15117dcbcaa.jpg,,,,
m4-v3-e6479d43f0b9,A,19,6877e232123cfba1,SODA-A,01461__800__1800___1951,35,crops/6877e232123cfba1.jpg,,,,
m4-v3-e6479d43f0b9,A,20,73218fe6b3296078,FAIR1M-v1.0,11483__1024__0___0,7,crops/73218fe6b3296078.jpg,,,,
m4-v3-e6479d43f0b9,A,21,c0d445c729a39335,FAIR1M-v1.0,3940__1024__0___0,80,crops/c0d445c729a39335.jpg,,,,
m4-v3-e6479d43f0b9,A,22,0a0c8c4af06cead9,FAIR1M-v1.0,10521__1024__0___0,243,crops/0a0c8c4af06cead9.jpg,,,,
m4-v3-e6479d43f0b9,A,23,192d5af75a345333,SODA-A,00120__800__1200___0,3,crops/192d5af75a345333.jpg,,,,
m4-v3-e6479d43f0b9,A,24,5e04f2ce91d367ce,DIOR-R,14290,6,crops/5e04f2ce91d367ce.jpg,,,,
m4-v3-e6479d43f0b9,A,25,e50f53018f38c184,SODA-A,02231__800__600___1800,6,crops/e50f53018f38c184.jpg,,,,
m4-v3-e6479d43f0b9,A,26,21f81e7c29067745,SODA-A,00647__800__4000___0,31,crops/21f81e7c29067745.jpg,,,,
m4-v3-e6479d43f0b9,A,27,728b2a0572cba073,SODA-A,02443__800__600___1944,56,crops/728b2a0572cba073.jpg,,,,
m4-v3-e6479d43f0b9,A,28,507d391d50b4e98b,SODA-A,00063__800__0___1800,0,crops/507d391d50b4e98b.jpg,,,,
m4-v3-e6479d43f0b9,A,29,fbba7e87094fa1aa,DIOR-R,18364,18,crops/fbba7e87094fa1aa.jpg,,,,
m4-v3-e6479d43f0b9,A,30,d2cba49c1073c1bf,SODA-A,00557__800__3955___0,95,crops/d2cba49c1073c1bf.jpg,,,,
m4-v3-e6479d43f0b9,A,31,0be96f00dd0f76ca,SODA-A,00202__800__600___1985,46,crops/0be96f00dd0f76ca.jpg,,,,
m4-v3-e6479d43f0b9,A,32,704134b6f084b1b9,DIOR-R,16139,1,crops/704134b6f084b1b9.jpg,,,,
m4-v3-e6479d43f0b9,A,33,6269b8e48ff2f681,DIOR-R,14746,16,crops/6269b8e48ff2f681.jpg,,,,
m4-v3-e6479d43f0b9,A,34,e6fb0cb7a4b4661a,SODA-A,00249__800__2400___600,152,crops/e6fb0cb7a4b4661a.jpg,,,,
m4-v3-e6479d43f0b9,A,35,8b5ff443fe9549f7,DIOR-R,22146,48,crops/8b5ff443fe9549f7.jpg,,,,
m4-v3-e6479d43f0b9,A,36,c7cef9a6183163b1,SODA-A,02024__800__600___600,109,crops/c7cef9a6183163b1.jpg,,,,
m4-v3-e6479d43f0b9,A,37,bb54e96164aa272d,DIOR-R,22978,7,crops/bb54e96164aa272d.jpg,,,,
m4-v3-e6479d43f0b9,A,38,b1246b0cc56b758f,FAIR1M-v1.0,2304__1024__0___0,0,crops/b1246b0cc56b758f.jpg,,,,
m4-v3-e6479d43f0b9,A,39,1a63ca12d514c0b9,DIOR-R,13727,45,crops/1a63ca12d514c0b9.jpg,,,,
m4-v3-e6479d43f0b9,A,40,4d4f06bc1c1298de,SODA-A,01403__800__3600___1800,0,crops/4d4f06bc1c1298de.jpg,,,,
m4-v3-e6479d43f0b9,A,41,a7c8782b28247cf2,DIOR-R,13005,11,crops/a7c8782b28247cf2.jpg,,,,
m4-v3-e6479d43f0b9,A,42,c51b1ee31d945f3d,FAIR1M-v1.0,8208__1024__0___0,16,crops/c51b1ee31d945f3d.jpg,,,,
m4-v3-e6479d43f0b9,A,43,b33083659cc1f98f,SODA-A,01210__800__3955___1200,18,crops/b33083659cc1f98f.jpg,,,,
m4-v3-e6479d43f0b9,A,44,050b298706ddbe1a,DIOR-R,21225,5,crops/050b298706ddbe1a.jpg,,,,
m4-v3-e6479d43f0b9,A,45,ae7b8ed1e8fb16ec,SODA-A,01631__800__0___1800,7,crops/ae7b8ed1e8fb16ec.jpg,,,,
m4-v3-e6479d43f0b9,A,46,af7a4e6539fa0c00,SODA-A,02512__800__600___1200,197,crops/af7a4e6539fa0c00.jpg,,,,
m4-v3-e6479d43f0b9,A,47,fd65745558fc6ef4,DIOR-R,22170,56,crops/fd65745558fc6ef4.jpg,,,,
m4-v3-e6479d43f0b9,A,48,0726c25ff3e6cc24,DIOR-R,13898,1,crops/0726c25ff3e6cc24.jpg,,,,
m4-v3-e6479d43f0b9,A,49,e40a13084507e2d1,FAIR1M-v1.0,264__1024__0___0,35,crops/e40a13084507e2d1.jpg,,,,
m4-v3-e6479d43f0b9,A,50,2e75876eb7f59445,SODA-A,00256__800__600___1800,234,crops/2e75876eb7f59445.jpg,,,,
m4-v3-e6479d43f0b9,A,51,3db678f2b971d87a,SODA-A,00256__800__4000___1944,19,crops/3db678f2b971d87a.jpg,,,,
m4-v3-e6479d43f0b9,A,52,e5071f1f8e6ae14d,FAIR1M-v1.0,1663__1024__0___476,87,crops/e5071f1f8e6ae14d.jpg,,,,
m4-v3-e6479d43f0b9,A,53,6800601003844f38,FAIR1M-v1.0,13460__1024__0___0,5,crops/6800601003844f38.jpg,,,,
m4-v3-e6479d43f0b9,A,54,445b1658cfdd2e6d,SODA-A,01455__800__1800___0,12,crops/445b1658cfdd2e6d.jpg,,,,
m4-v3-e6479d43f0b9,A,55,2fc6c9fb23add774,SODA-A,01600__800__3942___0,153,crops/2fc6c9fb23add774.jpg,,,,
m4-v3-e6479d43f0b9,A,56,2763fc5bae473eda,SODA-A,01211__800__3000___0,0,crops/2763fc5bae473eda.jpg,,,,
m4-v3-e6479d43f0b9,A,57,016e94533a908b67,SODA-A,01757__800__1200___600,44,crops/016e94533a908b67.jpg,,,,
m4-v3-e6479d43f0b9,A,58,41548f19808c51aa,DIOR-R,17260,0,crops/41548f19808c51aa.jpg,,,,
m4-v3-e6479d43f0b9,A,59,382e18d3302881c8,FAIR1M-v1.0,16146__1024__0___0,8,crops/382e18d3302881c8.jpg,,,,
m4-v3-e6479d43f0b9,A,60,9d2b716795ebd0f7,DIOR-R,18258,102,crops/9d2b716795ebd0f7.jpg,,,,
m4-v3-e6479d43f0b9,A,61,1faf68b0490d4a69,FAIR1M-v1.0,8615__1024__0___0,51,crops/1faf68b0490d4a69.jpg,,,,
