assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,annotator_id,annotation_timestamp_utc
m4-070-final-v1,A,1,f38247380a034dbbdef0,SODA-A,crops/f38247380a034dbbdef0.jpg,,,,,
m4-070-final-v1,A,2,cbade1b829ab4a5175d5,DIOR-R,crops/cbade1b829ab4a5175d5.jpg,,,,,
m4-070-final-v1,A,3,3222fee6b7070ae73362,FAIR1M-v1.0,crops/3222fee6b7070ae73362.jpg,,,,,
m4-070-final-v1,A,4,525ff99f0fa9de18cbba,DIOR-R,crops/525ff99f0fa9de18cbba.jpg,,,,,
m4-070-final-v1,A,5,03c17540cab099a1e4a9,SODA-A,crops/03c17540cab099a1e4a9.jpg,,,,,
m4-070-final-v1,A,6,1b9bf8628816fe451f29,FAIR1M-v1.0,crops/1b9bf8628816fe451f29.jpg,,,,,
m4-070-final-v1,A,7,4a00e2361a2eab3de3d8,SODA-A,crops/4a00e2361a2eab3de3d8.jpg,,,,,
m4-070-final-v1,A,8,80fb51dd0a374caadd55,SODA-A,crops/80fb51dd0a374caadd55.jpg,,,,,
m4-070-final-v1,A,9,a78bc0737225e6a9726c,FAIR1M-v1.0,crops/a78bc0737225e6a9726c.jpg,,,,,
m4-070-final-v1,A,10,fac1a1f1ce19817c73fd,DIOR-R,crops/fac1a1f1ce19817c73fd.jpg,,,,,
m4-070-final-v1,A,11,88382c0bc19cbd75ad24,SODA-A,crops/88382c0bc19cbd75ad24.jpg,,,,,
m4-070-final-v1,A,12,94e404b8117ecc7468c4,FAIR1M-v1.0,crops/94e404b8117ecc7468c4.jpg,,,,,
m4-070-final-v1,A,13,1540738339ff7347d62c,SODA-A,crops/1540738339ff7347d62c.jpg,,,,,
m4-070-final-v1,A,14,560eee00187c0a3654c3,SODA-A,crops/560eee00187c0a3654c3.jpg,,,,,
m4-070-final-v1,A,15,4464a57070f1a0840bbb,FAIR1M-v1.0,crops/4464a57070f1a0840bbb.jpg,,,,,
m4-070-final-v1,A,16,66771d2c9cfc5f384271,FAIR1M-v1.0,crops/66771d2c9cfc5f384271.jpg,,,,,
m4-070-final-v1,A,17,b128540b9a03de2592f8,DIOR-R,crops/b128540b9a03de2592f8.jpg,,,,,
m4-070-final-v1,A,18,52654f448e6ca4ae7572,DIOR-R,crops/52654f448e6ca4ae7572.jpg,,,,,
m4-070-final-v1,A,19,79a4314a62b255810aa6,FAIR1M-v1.0,crops/79a4314a62b255810aa6.jpg,,,,,
m4-070-final-v1,A,20,ffe7274203df409a6634,SODA-A,crops/ffe7274203df409a6634.jpg,,,,,
m4-070-final-v1,A,21,f33b7655a2949e2e9ffa,DIOR-R,crops/f33b7655a2949e2e9ffa.jpg,,,,,
m4-070-final-v1,A,22,4cac3e82cd5fa4d9f076,FAIR1M-v1.0,crops/4cac3e82cd5fa4d9f076.jpg,,,,,
m4-070-final-v1,A,23,ddb07f47ade0aef91ba7,SODA-A,crops/ddb07f47ade0aef91ba7.jpg,,,,,
m4-070-final-v1,A,24,ef3e1e83b4055e5f0e73,DIOR-R,crops/ef3e1e83b4055e5f0e73.jpg,,,,,
m4-070-final-v1,A,25,82f08f4f8f3f1af990b4,DIOR-R,crops/82f08f4f8f3f1af990b4.jpg,,,,,
m4-070-final-v1,A,26,b746e8431f0adc57dc6e,FAIR1M-v1.0,crops/b746e8431f0adc57dc6e.jpg,,,,,
m4-070-final-v1,A,27,a6af568f9d049fdeb771,FAIR1M-v1.0,crops/a6af568f9d049fdeb771.jpg,,,,,
m4-070-final-v1,A,28,1fd45b0caf5cbcec84cf,DIOR-R,crops/1fd45b0caf5cbcec84cf.jpg,,,,,
m4-070-final-v1,A,29,f18bfaf0485ae8429f2c,SODA-A,crops/f18bfaf0485ae8429f2c.jpg,,,,,
m4-070-final-v1,A,30,b77c600e7a9f51f11378,SODA-A,crops/b77c600e7a9f51f11378.jpg,,,,,
m4-070-final-v1,A,31,bc72719f60bc024a5af5,SODA-A,crops/bc72719f60bc024a5af5.jpg,,,,,
m4-070-final-v1,A,32,d5d73be1e3c488a731c5,DIOR-R,crops/d5d73be1e3c488a731c5.jpg,,,,,
m4-070-final-v1,A,33,5a1eb98c6aa409abf362,SODA-A,crops/5a1eb98c6aa409abf362.jpg,,,,,
m4-070-final-v1,A,34,c0ad33c584df4fa165af,DIOR-R,crops/c0ad33c584df4fa165af.jpg,,,,,
m4-070-final-v1,A,35,8a2a1e3fac71eb908324,FAIR1M-v1.0,crops/8a2a1e3fac71eb908324.jpg,,,,,
m4-070-final-v1,A,36,3993796a8e09c52ef689,FAIR1M-v1.0,crops/3993796a8e09c52ef689.jpg,,,,,
m4-070-final-v1,A,37,d392b3c128331bb8af2c,DIOR-R,crops/d392b3c128331bb8af2c.jpg,,,,,
m4-070-final-v1,A,38,04e582c6618b30643c09,SODA-A,crops/04e582c6618b30643c09.jpg,,,,,
m4-070-final-v1,A,39,a2518eeeb1e7f84fc44e,FAIR1M-v1.0,crops/a2518eeeb1e7f84fc44e.jpg,,,,,
m4-070-final-v1,A,40,fe192546e92cf2992213,DIOR-R,crops/fe192546e92cf2992213.jpg,,,,,
m4-070-final-v1,A,41,d623b5cc9c2036c3259b,SODA-A,crops/d623b5cc9c2036c3259b.jpg,,,,,
m4-070-final-v1,A,42,c3e641c6343b2db7e480,SODA-A,crops/c3e641c6343b2db7e480.jpg,,,,,
m4-070-final-v1,A,43,a4431f87b81b93856f70,FAIR1M-v1.0,crops/a4431f87b81b93856f70.jpg,,,,,
m4-070-final-v1,A,44,e7333db35c0d4f18d016,DIOR-R,crops/e7333db35c0d4f18d016.jpg,,,,,
m4-070-final-v1,A,45,64283f896a174d71c2f6,FAIR1M-v1.0,crops/64283f896a174d71c2f6.jpg,,,,,
m4-070-final-v1,A,46,fc8df488b95bf24ce4f6,FAIR1M-v1.0,crops/fc8df488b95bf24ce4f6.jpg,,,,,
m4-070-final-v1,A,47,d205743d85e344f051b3,FAIR1M-v1.0,crops/d205743d85e344f051b3.jpg,,,,,
m4-070-final-v1,A,48,1ca548bc402fbdd77bb4,SODA-A,crops/1ca548bc402fbdd77bb4.jpg,,,,,
m4-070-final-v1,A,49,e0941dd0de83b4bcc628,FAIR1M-v1.0,crops/e0941dd0de83b4bcc628.jpg,,,,,
m4-070-final-v1,A,50,a72e8f36016c404ce645,DIOR-R,crops/a72e8f36016c404ce645.jpg,,,,,
m4-070-final-v1,A,51,bd7939ef0b79fa384ea6,DIOR-R,crops/bd7939ef0b79fa384ea6.jpg,,,,,
m4-070-final-v1,A,52,9631106f4aedbb501ec9,SODA-A,crops/9631106f4aedbb501ec9.jpg,,,,,
m4-070-final-v1,A,53,2a2f2a0ccc503bfa6623,SODA-A,crops/2a2f2a0ccc503bfa6623.jpg,,,,,
m4-070-final-v1,A,54,62ac9b18a583e89363cd,FAIR1M-v1.0,crops/62ac9b18a583e89363cd.jpg,,,,,
m4-070-final-v1,A,55,c560c4658775a27a341a,SODA-A,crops/c560c4658775a27a341a.jpg,,,,,
m4-070-final-v1,A,56,980f55b2d6a0fdedd9b3,DIOR-R,crops/980f55b2d6a0fdedd9b3.jpg,,,,,
m4-070-final-v1,A,57,5ea53cad3e57d015d328,FAIR1M-v1.0,crops/5ea53cad3e57d015d328.jpg,,,,,
m4-070-final-v1,A,58,827088f15c243f240e7d,DIOR-R,crops/827088f15c243f240e7d.jpg,,,,,
m4-070-final-v1,A,59,2543bdaa1fd2de8f18d6,SODA-A,crops/2543bdaa1fd2de8f18d6.jpg,,,,,
m4-070-final-v1,A,60,aee12657187fad783016,DIOR-R,crops/aee12657187fad783016.jpg,,,,,
m4-070-final-v1,A,61,0f230b5696e318a4f4a0,DIOR-R,crops/0f230b5696e318a4f4a0.jpg,,,,,
m4-070-final-v1,A,62,26c783559c513c430d1c,FAIR1M-v1.0,crops/26c783559c513c430d1c.jpg,,,,,
m4-070-final-v1,A,63,06808c90de9472b23357,FAIR1M-v1.0,crops/06808c90de9472b23357.jpg,,,,,
m4-070-final-v1,A,64,abefdcf432b60b767e3f,FAIR1M-v1.0,crops/abefdcf432b60b767e3f.jpg,,,,,
m4-070-final-v1,A,65,c017c2b71daa22b56972,DIOR-R,crops/c017c2b71daa22b56972.jpg,,,,,
m4-070-final-v1,A,66,8922adfddf42b9131f1e,FAIR1M-v1.0,crops/8922adfddf42b9131f1e.jpg,,,,,
m4-070-final-v1,A,67,31ab4054b1db473cb9be,SODA-A,crops/31ab4054b1db473cb9be.jpg,,,,,
m4-070-final-v1,A,68,c78ba32d80d05cde40ac,SODA-A,crops/c78ba32d80d05cde40ac.jpg,,,,,
m4-070-final-v1,A,69,1ce7253ffe28011a14e3,SODA-A,crops/1ce7253ffe28011a14e3.jpg,,,,,
m4-070-final-v1,A,70,4abd5aa9d5e2d7c2ee74,DIOR-R,crops/4abd5aa9d5e2d7c2ee74.jpg,,,,,
m4-070-final-v1,A,71,ec7852f6dd381c98e02f,DIOR-R,crops/ec7852f6dd381c98e02f.jpg,,,,,
