path,bytes,sha256,rule
code/revalidate_r023_raw.py,4555,c4ca7d8ae121bb133a0557e0474d961af7999cbfc88d90f93585f7252b923925,full copy; no column trimming
code/revalidate_r026_raw.py,8267,68e7ca255e61bfb399f038c16dbe4bba80250a85c82ead41d6ba5b92c8545a6f,full copy; no column trimming
dior/hypothesis_replicates.parquet,78864215,525c3dcaba7f661445963a2cfc107b394a55a41beccdd973e43b4a3f90f004de,full copy; no column trimming
dior/multiplicity_sha256.csv,2306695,20a60c9f92d09139a2b02e945a4257f6baaddf1d4b93083781e42a86d1de5269,full copy; no column trimming
dior/r023_gate.json,437,daabf1b36da9addd78775d6fee090e90ae33e562fd93dff918999be83afc5b2c,full copy; no column trimming
dior/r023_hypotheses.csv,229391,1d1104cae6ed8927d404705956d25b2aba8efc246595700166594a3adb00f3a3,full copy; no column trimming
dior/r023_witnesses.csv,5198,3e9a0a4129a7b046b83eb3e2a6c944a94df46e98dc1f596ec2669a8c83e29223,full copy; no column trimming
dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,full copy; no column trimming
dota/bootstrap.npy,1280128,6b2e0178ff2ec8507289aa9ede02fef65a7f69d36d3de33b78c6f224e48e8d30,full copy; no column trimming
dota/dota_gt_fresh.pkl,2680160,3baa2ca8d2d80c7994db371ff8828a77e90c53521e4c2c187e6f61ee46e0beff,full copy; no column trimming
dota/gt_integrity.json,854,5c593486871e2a13ec984a20d05d89b2c2262147481d80395e0a45abd98549dc,full copy; no column trimming
dota/m4_delta_theta_075_frozen.json,12986,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,full copy; no column trimming
dota/matched_orcnn.parquet,2566084,99e2c19b1f604fa673966d922e9208b4d2698dbf499f08b98dd1eb42ef582111,full copy; no column trimming
dota/matched_rtmdet.parquet,2731372,507353fee671a594bbd69c3cf99d1d9069bfa2459015200595565bd2aa9b40cc,full copy; no column trimming
dota/r026_gate.json,113,9b160efc22193f8a1c9646ea189da42e44335359f32b8c6c6d1c981a03de2fe4,full copy; no column trimming
dota/r026_hypotheses.csv,2302,53aafefd4652a6ab04141cf1a95ddd2d82258b5c7f0b52a50650a1143908aa51,full copy; no column trimming
dota/tile_to_mother.csv,656105,c76833d1d9470f1846af3ecc9b5040f8c8d6a285c8b6793b377a9d6f199fe3a1,full copy; no column trimming
revalidation/mutation_index.json,2982,531e1822838306d785f08e15c6e7179c224dc9c12ba0daec21f9260b0686d143,full copy; no column trimming
revalidation/r023_revalidation.json,1306218,3e74f65a26622865927cdc04d78c726684379f6e770dba3ab1c95a84a600a3cb,full copy; no column trimming
revalidation/r026_revalidation.json,22118,f6bfc84756a400c16a702792b3cd6eb1466d5f2443b1267d901950777dd11f6e,full copy; no column trimming
