dataset,replicate,sha256
DIOR-R,0,23ac79063676eafb91d9b5c89f9a8d2fa24bf7253914b77a27f4fccea4c37c6f
DIOR-R,1,d31e0a0b78c482d59c7639a25331e4c47cd01181ecddd18636be11825b186343
DIOR-R,2,f01c83193dd36b3add6050253402deba3bdb13d1ece923e68d5564b591bf14ff
DIOR-R,3,4d6440d7304968ecae14c297e88309003026615e2dc5ad72dc72054d627ecf47
DIOR-R,4,fbc4d8ad8e3a51a990332ac2d970fe7efc36b54269e911e302ee47a8c04719e3
DIOR-R,5,c009919e83ddd690533c080a010d477776cc672ad7e32f4f43be1cfb58ba0309
DIOR-R,6,6623238dcbc5a7fb507d50dea4b706c6402b3080103d60abd326d615f8c1abb7
DIOR-R,7,e5e9d5f7cf8dbdd36b9bf753474fb8798d5dbc7ad632a8eb735c2dd3f09809ab
DIOR-R,8,51b52461c2e612c2aa7af549792ed5adb4a0f94d107835edfa3720c72b236eb5
DIOR-R,9,ad73aecf8216f933eb1000fbcba75b64d454e068d4e137040da7267dc30849cc
DIOR-R,10,e6cb6a52154e43bce00c0f76038ed506028337bea7bd158f0931c95484630a49
DIOR-R,11,67d4eb4c7db22d2d0281daa76c2cad5a4e6ad03c2d3c408e721439bb0a4f957d
DIOR-R,12,7321f765415105b21496b0ec28d284ef2b57962c43b50a0a3a090b109b4d7b9f
DIOR-R,13,c7d44ce5ca076bbce0e1adb089d504d50f97cf243b91ffdbc52c57a0aac04898
DIOR-R,14,fa54cd0eadf770f2a0daa169988c8a587a909f5b9bfff6e8f673c810a4fa9397
DIOR-R,15,e09c72d793adf9fba6bf829846a1def9fb062fc84dfab407d096702b4b23c784
DIOR-R,16,e4bce536086b3eb97f2d739f5f7724d22e0299f3021ca1b0d54424db269f32b6
DIOR-R,17,e98129145aa4ade9e8488cd011a17d377288c5dad633bd778dea0a5a4e2d09d9
DIOR-R,18,ee5b51b1ed4e9d0cec26110c63b33748f59800868ee069d57a9b65991fc1d2f1
DIOR-R,19,e34d8eb11e163a149b24b8d07f108796670720f6e148a8f4b3c8727f82da8f0e
DIOR-R,20,527052cc3f5cfa83b7f888aab3bbd5a28576eaa5430171c60e92688ada3951d3
DIOR-R,21,1f34e0589bcf8ab4071915222770265bc7e7d3171beccce009d3715f8cdd09d1
DIOR-R,22,7c2a0c95f70a37aee2bf29577ef83926ea24d42b2da73bb6a23699b40feb3812
DIOR-R,23,106de601275684934226a4b1f6e26604d21e27c8deace0ec5519d2a8ba1e6dd6
DIOR-R,24,2e25900338c818ce35868336e6e741f1b54609f4fecde38fa714616d018b23c3
DIOR-R,25,a6acb9ebe795b3316ffede9866de414d49e42cfc060e978ad22bc6720315726f
DIOR-R,26,d8440e5f0fada2f6839459af1a38b4f8173ba0bd9bf854ccd712c2e65a90eb42
DIOR-R,27,a20429389a43deb815e0da89dd4b7901010eb1ebf700a2698015ffe51733e7f2
DIOR-R,28,597e8b166d04f38d8dadfc179eeaca381289c4ac4c44b9067ca12d0bd8407eb4
DIOR-R,29,0c32ee0e216194811db44f19304c2fa42512837dd89d5a4fe050359bd883e256
DIOR-R,30,4d0093d8619470263029ae5d37cf30080f74249ea7df5421c734e29d8ff18264
DIOR-R,31,212cec0258ab07e01d339fdb1469eca6c37d19ed47bbf5ecd6bfb0dbaf7ffe82
DIOR-R,32,4f836aeae6b127e79127038ce04fa53821f1a7935c52a961f69c8785ca4ebafc
DIOR-R,33,ce20db37be197b1e48b96ae4353dc18115050c248a301ecf13d968c1235a69a7
DIOR-R,34,4b9669f502ebb2a2efd2cf9030c361e91e25fc73def5a096ff3ebaed8d2a14ab
DIOR-R,35,21c674ab633a84a6bff0a16920f4388e3ea96422fd98dafef810203b721e3edd
DIOR-R,36,17601c449a242f54ae0c608b22ed6608ca8917943e04315c04c1d59b1970525e
DIOR-R,37,bd0da8e8b13960ffb6497e142938917b589d66825c8a889091a7bb24bedd7a1d
