stem,path,mother
P0003__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0003__1024__0___0.png,P0003
P0003__1024__123___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0003__1024__123___0.png,P0003
P0004__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0004__1024__0___0.png,P0004
P0004__1024__0___440,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0004__1024__0___440.png,P0004
P0007__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__0___0.png,P0007
P0007__1024__0___1113,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__0___1113.png,P0007
P0007__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__0___824.png,P0007
P0007__1024__466___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__466___0.png,P0007
P0007__1024__466___1113,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__466___1113.png,P0007
P0007__1024__466___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0007__1024__466___824.png,P0007
P0019__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__0___0.png,P0019
P0019__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__0___1648.png,P0019
P0019__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__0___2472.png,P0019
P0019__1024__0___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__0___2703.png,P0019
P0019__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__0___824.png,P0019
P0019__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__1648___0.png,P0019
P0019__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__1648___1648.png,P0019
P0019__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__1648___2472.png,P0019
P0019__1024__1648___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__1648___2703.png,P0019
P0019__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__1648___824.png,P0019
P0019__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__2472___0.png,P0019
P0019__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__2472___1648.png,P0019
P0019__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__2472___2472.png,P0019
P0019__1024__2472___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__2472___2703.png,P0019
P0019__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__2472___824.png,P0019
P0019__1024__3296___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__3296___0.png,P0019
P0019__1024__3296___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__3296___1648.png,P0019
P0019__1024__3296___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__3296___2472.png,P0019
P0019__1024__3296___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__3296___2703.png,P0019
P0019__1024__3296___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__3296___824.png,P0019
P0019__1024__4120___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4120___0.png,P0019
P0019__1024__4120___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4120___1648.png,P0019
P0019__1024__4120___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4120___2472.png,P0019
P0019__1024__4120___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4120___2703.png,P0019
P0019__1024__4120___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4120___824.png,P0019
P0019__1024__4944___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4944___0.png,P0019
P0019__1024__4944___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4944___1648.png,P0019
P0019__1024__4944___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4944___2472.png,P0019
P0019__1024__4944___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4944___2703.png,P0019
P0019__1024__4944___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__4944___824.png,P0019
