unit,eligibility,class_id,rows,fraction
A,AR>=2.1,0,5,0.00019936204146730463
A,AR>=2.1,1,108,0.00430622009569378
A,AR>=2.1,2,1,3.9872408293460924e-05
A,AR>=2.1,3,18,0.0007177033492822966
A,AR>=2.1,4,497,0.01981658692185008
A,AR>=2.1,6,84,0.0033492822966507177
A,AR>=2.1,7,267,0.010645933014354066
A,AR>=2.1,8,130,0.00518341307814992
A,AR>=2.1,9,19,0.0007575757575757576
A,AR>=2.1,10,255,0.010167464114832535
A,AR>=2.1,11,404,0.016108452950558214
A,AR>=2.1,12,456,0.01818181818181818
A,AR>=2.1,13,14804,0.5902711323763955
A,AR>=2.1,16,1968,0.0784688995215311
A,AR>=2.1,17,109,0.004346092503987241
A,AR>=2.1,18,5698,0.22719298245614036
A,AR>=2.1,19,257,0.010247208931419458
A,all-AR,0,2622,0.059797482211275316
A,all-AR,1,134,0.0030560116767013317
A,all-AR,2,1354,0.03087940156905674
A,all-AR,3,930,0.021209633278598795
A,all-AR,4,585,0.013341543513957306
A,all-AR,5,411,0.009373289545703338
A,all-AR,6,110,0.00250866630176975
A,all-AR,7,466,0.010627622696588214
A,all-AR,8,248,0.005655902207626346
A,all-AR,9,229,0.005222587119138844
A,all-AR,10,874,0.019932494070425105
A,all-AR,11,583,0.013295931399379676
A,all-AR,12,501,0.011425834701696771
A,all-AR,13,15296,0.3488414522897281
A,all-AR,14,296,0.006750592957489509
A,all-AR,15,7823,0.17841178617040687
A,all-AR,16,3217,0.07336708629812078
A,all-AR,17,152,0.0034665207079000184
A,all-AR,18,6811,0.15533205619412516
A,all-AR,19,1206,0.027504105090311988
B,AR>=2.1,0,7,0.00025287190231919657
B,AR>=2.1,1,134,0.004840690701538906
B,AR>=2.1,3,21,0.0007586157069575897
B,AR>=2.1,4,660,0.02384220793295282
B,AR>=2.1,5,10,0.0003612455747417094
B,AR>=2.1,6,96,0.0034679575175204105
B,AR>=2.1,7,278,0.010042626977819522
B,AR>=2.1,8,135,0.004876815259013077
B,AR>=2.1,9,17,0.000614117477060906
B,AR>=2.1,10,257,0.009284011270861932
B,AR>=2.1,11,618,0.022324976519037643
B,AR>=2.1,12,518,0.01871252077162055
B,AR>=2.1,13,15958,0.5764756881728199
B,AR>=2.1,15,1,3.612455747417094e-05
B,AR>=2.1,16,2010,0.07261036052308359
B,AR>=2.1,17,108,0.0039014522072104616
B,AR>=2.1,18,6572,0.23741059172025142
B,AR>=2.1,19,282,0.010187125207716205
B,all-AR,0,2884,0.060225113287531065
B,all-AR,1,171,0.0035709065090734435
B,all-AR,2,1424,0.02973667174807359
B,all-AR,3,991,0.020694551757261887
B,all-AR,4,767,0.016016873055317727
B,all-AR,5,430,0.00897947250819638
B,all-AR,6,127,0.002652076764048698
B,all-AR,7,491,0.010253304654707958
B,all-AR,8,250,0.005220623551276965
B,all-AR,9,249,0.005199741057071857
B,all-AR,10,898,0.018752479796186855
B,all-AR,11,790,0.016497170422035207
B,all-AR,12,563,0.011756844237475724
B,all-AR,13,16496,0.3444776244074592
B,all-AR,14,294,0.00613945329630171
B,all-AR,15,8491,0.17731325829557082
B,all-AR,16,3292,0.06874517092321507
B,all-AR,17,155,0.003236786601791718
B,all-AR,18,7845,0.16382316703907115
B,all-AR,19,1279,0.026708710088332952
C,AR>=2.1,0,8,0.0002918642831083546
C,AR>=2.1,1,158,0.005764319591390003
C,AR>=2.1,3,23,0.0008391098139365195
C,AR>=2.1,4,601,0.02192630426851514
C,AR>=2.1,5,21,0.0007661437431594309
C,AR>=2.1,6,280,0.010215249908792412
C,AR>=2.1,7,130,0.0047427946005107625
C,AR>=2.1,8,107,0.003903684786574243
C,AR>=2.1,9,23,0.0008391098139365195
C,AR>=2.1,10,256,0.009339657059467347
C,AR>=2.1,11,641,0.023385625684056912
C,AR>=2.1,12,508,0.01853338197738052
C,AR>=2.1,13,15848,0.5781831448376505
C,AR>=2.1,15,4,0.0001459321415541773
C,AR>=2.1,16,1990,0.0726012404232032
C,AR>=2.1,17,133,0.004852243706676395
C,AR>=2.1,18,6422,0.23429405326523167
C,AR>=2.1,19,257,0.009376140094855892
C,all-AR,0,2702,0.056431569933794196
C,all-AR,1,203,0.004239677533886092
C,all-AR,2,1445,0.03017898540130741
C,all-AR,3,991,0.020697145005325702
C,all-AR,4,703,0.014682233036068587
C,all-AR,5,434,0.009064138175894404
C,all-AR,6,480,0.010024853282095195
C,all-AR,7,247,0.005158622418078152
C,all-AR,8,150,0.0031327666506547483
C,all-AR,9,260,0.005430128861134897
C,all-AR,10,892,0.01862951901589357
C,all-AR,11,827,0.017271986800609845
C,all-AR,12,555,0.011591236607422568
C,all-AR,13,16399,0.34249493536058145
C,all-AR,14,304,0.006349073745326957
C,all-AR,15,8820,0.1842066790584992
C,all-AR,16,3218,0.06720828721204654
C,all-AR,17,177,0.003696664647772603
C,all-AR,18,7853,0.16401077671727826
C,all-AR,19,1221,0.025500720536329652
D,AR>=2.1,0,46,0.0030399154110494317
D,AR>=2.1,1,261,0.01724821570182395
D,AR>=2.1,2,967,0.06390430874966957
D,AR>=2.1,3,593,0.039188474755485064
D,AR>=2.1,4,369,0.024385408406026963
D,AR>=2.1,5,62,0.004097277293153582
D,AR>=2.1,6,120,0.007930214115781126
D,AR>=2.1,7,116,0.007665873645255088
D,AR>=2.1,8,128,0.0084588950568332
D,AR>=2.1,9,5755,0.3803198519693365
D,AR>=2.1,10,280,0.018503832936822628
D,AR>=2.1,11,5193,0.34318001586042823
D,AR>=2.1,13,25,0.0016521279407877346
D,AR>=2.1,14,1080,0.07137192704203013
D,AR>=2.1,15,7,0.00046259582342056567
D,AR>=2.1,17,1,6.608511763150938e-05
D,AR>=2.1,23,1,6.608511763150938e-05
D,AR>=2.1,28,1,6.608511763150938e-05
D,AR>=2.1,30,25,0.0016521279407877346
D,AR>=2.1,31,15,0.0009912767644726407
D,AR>=2.1,32,22,0.0014538725878932065
D,AR>=2.1,34,18,0.0011895321173671688
D,AR>=2.1,35,47,0.003106000528680941
D,all-AR,0,46,0.0017619120576068638
D,all-AR,1,262,0.010035238241152137
D,all-AR,2,974,0.03730657269802359
D,all-AR,3,653,0.02501149073081048
D,all-AR,4,371,0.014210203768959706
D,all-AR,5,62,0.002374751034165773
D,all-AR,6,144,0.0055155507890301825
D,all-AR,7,121,0.00463459476022675
D,all-AR,8,147,0.005630458097134978
D,all-AR,9,9246,0.3541443235789796
D,all-AR,10,349,0.013367550176191206
D,all-AR,11,8345,0.31963382871150603
D,all-AR,13,33,0.0012639803891527502
D,all-AR,14,1512,0.057913283284816916
D,all-AR,15,8,0.00030641948827945457
D,all-AR,17,1,3.830243603493182e-05
D,all-AR,19,344,0.013176037996016547
D,all-AR,20,165,0.0063199019457637505
D,all-AR,21,143,0.005477248352995251
D,all-AR,22,161,0.0061666922016240236
D,all-AR,23,908,0.034778611919718094
D,all-AR,24,2,7.660487206986364e-05
D,all-AR,25,555,0.02125785199938716
D,all-AR,26,193,0.007392370154741841
D,all-AR,27,148,0.005668760533169909
D,all-AR,28,107,0.004098360655737705
D,all-AR,29,15,0.0005745365405239773
D,all-AR,30,198,0.007583882334916501
D,all-AR,31,99,0.0037919411674582505
D,all-AR,32,138,0.005285736172820591
D,all-AR,33,102,0.003906848475563046
D,all-AR,34,444,0.017006281599509728
D,all-AR,35,58,0.0022215412900260458
D,all-AR,36,54,0.0020683315458863184
E,AR>=2.1,0,21,0.00020759193357058124
E,AR>=2.1,1,5,4.9426650850138396e-05
E,AR>=2.1,2,62221,0.6150751285092922
E,AR>=2.1,3,2221,0.021955318307631474
E,AR>=2.1,4,15047,0.14874456306840647
E,AR>=2.1,5,19576,0.19351522340846183
E,AR>=2.1,7,1344,0.0132858837485172
E,AR>=2.1,8,725,0.007166864373270067
E,all-AR,0,7776,0.04934448491617276
E,all-AR,1,165,0.0010470473265391596
E,all-AR,2,92914,0.5896082139276332
E,all-AR,3,2244,0.01423984364093257
E,all-AR,4,16540,0.10495856230883455
E,all-AR,5,19721,0.12514436561623493
E,all-AR,6,5584,0.035434619826634345
E,all-AR,7,7313,0.046406406660490146
E,all-AR,8,5329,0.03381645577652837
F,AR>=2.1,0,22,0.0001818978560857235
F,AR>=2.1,1,32,0.00026457869976105234
F,AR>=2.1,2,75727,0.6261172249001629
F,AR>=2.1,3,2596,0.021463947018115374
F,AR>=2.1,4,17939,0.14832116546917246
F,AR>=2.1,5,22546,0.18641223015039646
F,AR>=2.1,7,1353,0.011186718149271996
F,AR>=2.1,8,732,0.006052237757034073
F,all-AR,0,7989,0.041555482733330214
F,all-AR,1,201,0.0010455190924270087
