dataset,replicate,sha256
DIOR-R,0,1ca5bad81c87e7a9e556e2698321ca8444d08cb00888bccc87d11a0bd8abb1d3
DIOR-R,1,d3d33b1822e71ee776f2fec120b6a31bd85a2bfc89be9acba4443d9777978030
DIOR-R,2,d0c781d00d376b627bafe6a9e2ada0a3e6d3bd544270aa8d6f15a994ace5d3e5
DIOR-R,3,5350190e1cc0435884ba3695c5d0b360834c292e6921bcb466e5ee06c2dd775e
DIOR-R,4,cc259ab09febb8cb0473322457c3995ef84e53c35dd749386ffd60a9e17ff779
DIOR-R,5,451b3bc9a699fabb1745055dccdef82d1ee888d9fbc4a16a40d0dfdc32f5a92f
DIOR-R,6,04ac2a23737f044e1967e2df1535ff24ec4357feaab2e17afef9f09be18c8658
DIOR-R,7,e97961c8c16177c77d48fa20471d1ba68e4b8a315e4b3f5490e41756dc85e3eb
DIOR-R,8,4dd59e4b5b8761d3fc6bb191715e16f39f1450c1d6ecfcbcf5779fbb7db2a4d0
DIOR-R,9,9a22589d809fb50a0c87b12688be361d89672fad1c472d7cb70ae2bbe6865e15
DIOR-R,10,f768feb84d5daa73b045bfca64fcf0ba759b6b1d47dcd53438168433076d7ae7
DIOR-R,11,55611e70a50e38887c5246dba0d9009e5a471d5c4c2a50097878a6c1b2e0c5e6
DIOR-R,12,bcb4bd76a6157783f254c1b40a692905e7670daa3c3afb90275b48867cd7b557
DIOR-R,13,cbf79f927a80f7892193197cebb05b5aa21e79a77d007c47f2aae1996f967036
DIOR-R,14,7eca30596caf0d71329d4a04fcb4ca41f2464e57ebf9e1ad270d62011068bda6
DIOR-R,15,12cac62b0972805211e34b0ab0060b4a67b60e3dc024194fbd46669372c42f34
DIOR-R,16,a0dee3e9f8629fcf1ad9c271d938bb5ce4dbb43af9aca24a2465196d6a577d7c
DIOR-R,17,57743a7f2976926bdb63f7493a58449a12611a2a049e3b1f25ac8c0f61164400
DIOR-R,18,b0cba02936f88149688068c52bfe27f55d4eb77ece91c6fe5faf36d3833d6632
DIOR-R,19,47cc8478e26050cd99427c830a588f5c090791100ce2a0c49e8ce54c72984f66
DIOR-R,20,7229cdd7dbc179af67299dc12675105e58f2387325b235c18074ae099241d5b3
DIOR-R,21,a63f9a12a9c5f6fabfda88557e3783f2134151847c089e9a54deee2693a8ac97
DIOR-R,22,2e642638a15e57fae5baa4de47582e9e2460e1891339e5f3e7326e7267983d15
DIOR-R,23,dd79993d796fd865066000b85cf1c1cd5ef7b7ff11b7f824b3aeaa2d42c0260c
DIOR-R,24,93eb0933bbea6fe8f0d4d81ae70bafbfc8399f60ffb49a368065ddf77615a425
DIOR-R,25,fe478813cb92dcac0f8a657dbbdc9bd0bc6c56678ed323b9ce6ecdf506f20d62
DIOR-R,26,5a98c88f7091bd15f39fd43e76228b236396a831615138486e881870dbc4ccda
DIOR-R,27,0fa78f2c6ed1d5f75132822e2e7ea9339960cad230b0f2cff33c343b6a55d09a
DIOR-R,28,461b54292f25f436d658512d0e4e3e1572fe71d4dbbd69def2ee359cec98c850
DIOR-R,29,6d565d78997aff6d44fb088dad64fd918a9c82b0237a2e21b69a168681e090f8
DIOR-R,30,98be7ea3ee85f744c8140950c0fbdd96abb4b571f5bbb15425ba4df58b269941
DIOR-R,31,5a77f551279689cb1d27c987955cf2f449f85607812ff2ac689e1d1fd0b9f9ae
DIOR-R,32,f28b621bed454576006568ea8d67ff56280f64e484a7bd84c356b1822140592c
DIOR-R,33,cc7b47eac240160025e6551858b94f91fe71bf4cdbf44248e6787d09762fccff
DIOR-R,34,599bd053d0957b7356f920e48a5059ace27b36954d245dc1c2ac3c15c49131aa
DIOR-R,35,22f71e67333a609f713a24d90a7fbe657599319cd11f0e0b1e17d0a4e2616b5b
DIOR-R,36,3ff1a375d9454f17c60b1ccfe00b5700caa631f8dbd0b88186de84e91db50ad2
DIOR-R,37,701d1ff7c0d42e38993a40bd4b7624310b142e603846a7e69b5d582f955f647a
DIOR-R,38,49b5710949b2993190d385f11959fb70671a9a3798ed7d7e3f7734a8e8e255b6
DIOR-R,39,0e884c256bbb60acc4b574552de6eb74eaa8724d2ca6f8726345ae103618167d
DIOR-R,40,cf3d3f8f13c028b58a0d4688c89cb53eecde1b30da54a32dc95d98d5f8557be6
DIOR-R,41,1aee9b4e037dbefdc8401b9765ff493048fc38ade951255cb8caca21cb9c63bd
DIOR-R,42,a8c748a0ddc0a93662396a55375fa43bfaf1468f8267d001f598c3283b6205cc
DIOR-R,43,9c65860b867acc3a09b65a1502ebe1d6cb0a084d0b76023f078c809826180102
DIOR-R,44,73988ea8ee0313d68dfb3f69d58716820a14a447feedc0a9e192c6375d292e5f
DIOR-R,45,b9062bf4e6acd6f721c3c21852a9c45f49ae67074bcf5f47eeba44079547490b
DIOR-R,46,2302aa20b236b27939b3c25474145342da69680ba1c935492e25bf147e0c162e
DIOR-R,47,8b724e776c2114f3d3ae708c7b391b0932581513593d6c83184d5a503005e6ff
