hypothesis_key,level,key,dataset,risk,estimand,contrast,left_ranker,right_ranker,endpoint,primary,delta_ar21,delta_all,dod,delta_ar21_ci_low,delta_ar21_ci_high,delta_all_ci_low,delta_all_ci_high,dod_ci_low,dod_ci_high,p_raw,p_holm,epsilon_ar21,epsilon_all,swap_ar21_70,swap_all_70,witness
unit|A|R_norm|pooled|probe-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-conf,probe,conf,AUGRC,False,0.0009674199180386631,-0.010814682063945813,0.011782101981984476,0.0007249620400934324,0.001203634055432643,-0.01198197965602351,-0.0096599155354092,0.010619570795138759,0.012979267547504808,9.999000099990002e-05,,0.0005,0.0009966844577271212,0.18138498990003626,0.2333371704846322,True
unit|A|R_norm|pooled|probe-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-conf,probe,conf,Risk@70,False,0.002402336916190642,-0.026408150519980397,0.02881048743617104,0.0014537351067653937,0.0033200798014010086,-0.030988938540748218,-0.021997799671153877,0.024332280744706846,0.03353729945349993,9.999000099990002e-05,,0.001,0.0020117875443038443,0.18138498990003626,0.2333371704846322,True
unit|A|R_norm|pooled|ARonly-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,ARonly-conf,ARonly,conf,AUGRC,False,0.0037500223334431364,0.0389126704208537,-0.03516264808741057,0.002949085952137093,0.004610449145627443,0.034989470594493324,0.04282560092867003,-0.03912725649552515,-0.031249313862791388,9.999000099990002e-05,,0.0005,0.0017749378661441953,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|pooled|ARonly-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,ARonly-conf,ARonly,conf,Risk@70,False,0.004984931055566973,0.050062749840901435,-0.04507781878533446,0.0034606819724571245,0.006658432124452252,0.043610108047151167,0.05632950634954272,-0.05137466511684763,-0.0386528402210523,9.999000099990002e-05,,0.001,0.003013042541121873,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|pooled|probe-ARonly|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-ARonly,probe,ARonly,AUGRC,False,-0.0027826024154044733,-0.049727352484799515,0.04694475006939504,-0.0038147014804333994,-0.0018245019283078122,-0.05451611902244156,-0.0448891602813248,0.042113483788633825,0.05182156643642546,9.999000099990002e-05,,0.0005,0.0017749378661441953,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|pooled|probe-ARonly|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-ARonly,probe,ARonly,Risk@70,False,-0.0025825941393763305,-0.07647090036088183,0.0738883062215055,-0.004749859651172479,-0.0005290398812902437,-0.0857488503616177,-0.06722748990963161,0.06445099942101434,0.08340040982483879,9.999000099990002e-05,,0.001,0.003013042541121873,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|pooled|oracleAR-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,oracleAR-conf,oracleAR,conf,AUGRC,False,0.0022317482790617307,0.0386892173018736,-0.03645746902281187,0.001631353699674447,0.0028133105699162807,0.03467455977054438,0.04274117856681378,-0.040547414918985086,-0.03248900718185666,9.999000099990002e-05,,0.0005,0.0017704688037645934,0.4020285636314018,0.4692035309959603,False
unit|A|R_norm|pooled|oracleAR-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,oracleAR-conf,oracleAR,conf,Risk@70,False,0.0038694148925568495,0.049082485474591,-0.04521307058203415,0.0024260244850767432,0.005352894826295063,0.04241348678158149,0.055241135151874565,-0.05131990845895053,-0.03866471517491093,9.999000099990002e-05,,0.001,0.0029934372537956644,0.4020285636314018,0.4692035309959603,False
unit|A|R_norm|pooled|probe-oracleAR|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-oracleAR,probe,oracleAR,AUGRC,False,-0.0012643283610230677,-0.049503899365819413,0.048239571004796346,-0.0019905663475795364,-0.0005362370920127064,-0.05443930497443311,-0.04456304570363298,0.04332432861817584,0.05322862037976143,9.999000099990002e-05,,0.0005,0.0017704688037645934,0.49110977495275726,0.5665047636839156,False
unit|A|R_norm|pooled|probe-oracleAR|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-oracleAR,probe,oracleAR,Risk@70,False,-0.0014670779763662073,-0.0754906359945714,0.07402355801820519,-0.0034093041621350165,0.00044302066459411024,-0.084585201924628,-0.06607962255493643,0.06448409275161131,0.08330141319528409,9.999000099990002e-05,,0.001,0.0029934372537956644,0.49110977495275726,0.5665047636839156,False
unit|A|R_norm|pooled|ARonly-oracleAR|AUGRC,unit,A,DIOR-R,R_norm,pooled,ARonly-oracleAR,ARonly,oracleAR,AUGRC,False,0.0015182740543814056,0.000223453118980102,0.0012948209354013036,0.0010875049255634113,0.002019153849635136,-0.000151682339628912,0.0005873356034561478,0.0008826047352117146,0.0017483285475358866,9.999000099990002e-05,,0.0005,0.0017749378661441953,0.2264122368620324,0.17079856972586413,False
unit|A|R_norm|pooled|ARonly-oracleAR|Risk@70,unit,A,DIOR-R,R_norm,pooled,ARonly-oracleAR,ARonly,oracleAR,Risk@70,False,0.0011155161630101232,0.000980264366310435,0.0001352517966996883,0.00037553538425173696,0.0019206470675961075,0.0004913215591230785,0.0018933264614390286,-0.0006224139789152108,0.0005704164121744096,0.6816318368163183,,0.001,0.003013042541121873,0.2264122368620324,0.17079856972586413,False
