hypothesis_key,level,key,dataset,risk,estimand,contrast,left_ranker,right_ranker,endpoint,primary,delta_ar21,delta_all,dod,delta_ar21_ci_low,delta_ar21_ci_high,delta_all_ci_low,delta_all_ci_high,dod_ci_low,dod_ci_high,p_raw,p_holm,epsilon_ar21,epsilon_all,swap_ar21_70,swap_all_70,witness
dataset|DIOR-R|R_norm|class-standardized|probe-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.001903685913725646,-0.0036162815229660167,0.0017125956092403707,-0.0038955153104465413,6.262961568292401e-05,-0.004375284260774941,-0.0028543645007593995,-0.0002950954506061231,0.0037453983051124657,0.0978902109789021,0.0978902109789021,0.0007125603007772858,0.0010889763587095395,0.16745471295623604,0.20687836858732203,False
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.007665553206008979,0.02255056615043887,-0.014885012944429891,0.00476625744266816,0.010253040543551016,0.02084496676732882,0.024110439192514745,-0.0180086425475733,-0.012052410696432859,9.999000099990002e-05,0.0011998800119988001,0.0008658713648974654,0.001539987681718317,0.41461090608517326,0.4813418104653484,False
dataset|DIOR-R|R_norm|class-standardized|probe-ARonly|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.009569239119734625,-0.026166847673404887,0.016597608553670262,-0.013126368948255447,-0.005309567885975919,-0.028145581766711083,-0.024028486080419516,0.012708042527147708,0.021103430164647788,9.999000099990002e-05,0.0011998800119988001,0.0008658713648974654,0.001539987681718317,0.5084368935512071,0.5694045767239432,False
dataset|DIOR-R|R_raw|class-standardized|probe-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.0018394279983616653,-0.005588055088371083,0.0037486270900094175,-0.002736909960391871,-0.000984529491601384,-0.006283590392290153,-0.004883890969536632,0.0026689498088125754,0.004841343266698387,9.999000099990002e-05,0.0011998800119988001,0.0005,0.000823491862362886,0.16745471295623604,0.20687836858732203,False
dataset|DIOR-R|R_raw|class-standardized|ARonly-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.003980575539777672,0.021176380956905855,-0.01719580541712818,0.0026417091179058725,0.00513720470057442,0.019602826863334064,0.02262324539859934,-0.019156771607557143,-0.015356332257727107,9.999000099990002e-05,0.0011998800119988001,0.0005,0.0012470194815010032,0.41461090608517326,0.4813418104653484,False
dataset|DIOR-R|R_raw|class-standardized|probe-ARonly|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.005820003538139338,-0.026764436045276938,0.0209444325071376,-0.007412303105593301,-0.00387504730882168,-0.02857824234931621,-0.024781256563212697,0.018539644693590235,0.023635100789320653,9.999000099990002e-05,0.0011998800119988001,0.0005,0.0012470194815010032,0.5084368935512071,0.5694045767239432,False
dataset|DOTA-v1.0|R_norm|class-standardized|probe-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,probe-conf,probe,conf,AUGRC,True,0.0010021421816559378,-0.002918603973288414,0.003920746154944352,0.0002673415543243249,0.0014974884652672077,-0.004289584784730155,-0.000716399956203033,0.0014903366053585002,0.005269600056489208,0.00029997000299970003,0.0011998800119988001,0.0007511415010988368,0.001482911502747574,0.23041052614379137,0.22382871534370716,False
dataset|DOTA-v1.0|R_norm|class-standardized|ARonly-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.0027094748185884365,0.014866134041291806,-0.01215665922270337,0.0011339002652038786,0.004771764830416878,0.011184846993132241,0.017318081599899865,-0.015110064312069764,-0.007695934756797424,9.999000099990002e-05,0.0011998800119988001,0.0007852881538374868,0.00178023418357341,0.4453919100922006,0.48049695884672616,False
dataset|DOTA-v1.0|R_norm|class-standardized|probe-ARonly|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.0017073326369324987,-0.01778473801458022,0.01607740537764772,-0.00431444556520259,0.00013514684932901665,-0.020263679574328203,-0.013119611728802548,0.010314473134079294,0.01901528530980463,9.999000099990002e-05,0.0011998800119988001,0.0007852881538374868,0.00178023418357341,0.5636562257556188,0.5756124453588934,False
dataset|DOTA-v1.0|R_raw|class-standardized|probe-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_raw,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.0002429506919717165,-0.0038416915858465878,0.0035987408938748713,-0.0005705400797827382,-7.32827995489326e-05,-0.005125274500312381,-0.0017730623294435809,0.0014106114635170901,0.00483575933490363,0.00029997000299970003,0.0011998800119988001,0.0005,0.0012448932610288914,0.23041052614379137,0.22382871534370716,False
