dataset,cluster_index,cluster
DIOR-R,0,11726
DIOR-R,1,11727
DIOR-R,2,11728
DIOR-R,3,11731
DIOR-R,4,11732
DIOR-R,5,11733
DIOR-R,6,11734
DIOR-R,7,11735
DIOR-R,8,11736
DIOR-R,9,11737
DIOR-R,10,11739
DIOR-R,11,11740
DIOR-R,12,11741
DIOR-R,13,11742
DIOR-R,14,11744
DIOR-R,15,11745
DIOR-R,16,11747
DIOR-R,17,11748
DIOR-R,18,11749
DIOR-R,19,11752
DIOR-R,20,11753
DIOR-R,21,11754
DIOR-R,22,11755
DIOR-R,23,11758
DIOR-R,24,11759
DIOR-R,25,11760
DIOR-R,26,11763
DIOR-R,27,11765
DIOR-R,28,11766
DIOR-R,29,11770
DIOR-R,30,11774
DIOR-R,31,11775
DIOR-R,32,11776
DIOR-R,33,11777
DIOR-R,34,11779
DIOR-R,35,11782
DIOR-R,36,11784
DIOR-R,37,11787
DIOR-R,38,11788
DIOR-R,39,11789
DIOR-R,40,11792
DIOR-R,41,11793
DIOR-R,42,11795
DIOR-R,43,11796
DIOR-R,44,11799
DIOR-R,45,11802
DIOR-R,46,11803
DIOR-R,47,11805
DIOR-R,48,11807
DIOR-R,49,11808
DIOR-R,50,11809
DIOR-R,51,11810
DIOR-R,52,11812
DIOR-R,53,11815
DIOR-R,54,11818
DIOR-R,55,11819
DIOR-R,56,11821
DIOR-R,57,11823
DIOR-R,58,11825
DIOR-R,59,11826
DIOR-R,60,11827
DIOR-R,61,11828
DIOR-R,62,11829
DIOR-R,63,11832
DIOR-R,64,11833
DIOR-R,65,11835
DIOR-R,66,11837
DIOR-R,67,11841
DIOR-R,68,11842
DIOR-R,69,11843
DIOR-R,70,11845
DIOR-R,71,11846
DIOR-R,72,11848
DIOR-R,73,11850
DIOR-R,74,11852
DIOR-R,75,11854
DIOR-R,76,11856
DIOR-R,77,11857
DIOR-R,78,11858
DIOR-R,79,11861
DIOR-R,80,11864
DIOR-R,81,11865
DIOR-R,82,11869
DIOR-R,83,11872
DIOR-R,84,11874
DIOR-R,85,11878
DIOR-R,86,11879
DIOR-R,87,11882
DIOR-R,88,11883
DIOR-R,89,11884
DIOR-R,90,11885
DIOR-R,91,11886
DIOR-R,92,11888
DIOR-R,93,11889
DIOR-R,94,11892
DIOR-R,95,11896
DIOR-R,96,11898
DIOR-R,97,11900
DIOR-R,98,11901
DIOR-R,99,11904
DIOR-R,100,11905
DIOR-R,101,11909
DIOR-R,102,11911
DIOR-R,103,11912
DIOR-R,104,11913
DIOR-R,105,11915
DIOR-R,106,11919
DIOR-R,107,11924
DIOR-R,108,11925
DIOR-R,109,11928
DIOR-R,110,11929
DIOR-R,111,11930
DIOR-R,112,11937
DIOR-R,113,11938
DIOR-R,114,11939
DIOR-R,115,11941
DIOR-R,116,11942
DIOR-R,117,11944
DIOR-R,118,11945
DIOR-R,119,11946
DIOR-R,120,11947
DIOR-R,121,11948
DIOR-R,122,11949
DIOR-R,123,11951
DIOR-R,124,11952
DIOR-R,125,11953
DIOR-R,126,11954
DIOR-R,127,11956
DIOR-R,128,11958
DIOR-R,129,11963
DIOR-R,130,11972
DIOR-R,131,11975
DIOR-R,132,11977
DIOR-R,133,11978
DIOR-R,134,11979
DIOR-R,135,11980
DIOR-R,136,11981
DIOR-R,137,11982
DIOR-R,138,11983
DIOR-R,139,11984
DIOR-R,140,11988
DIOR-R,141,11993
DIOR-R,142,11997
DIOR-R,143,11999
DIOR-R,144,12000
DIOR-R,145,12003
DIOR-R,146,12004
DIOR-R,147,12006
DIOR-R,148,12008
DIOR-R,149,12009
DIOR-R,150,12010
DIOR-R,151,12011
DIOR-R,152,12012
DIOR-R,153,12013
DIOR-R,154,12017
DIOR-R,155,12019
DIOR-R,156,12020
DIOR-R,157,12028
DIOR-R,158,12031
DIOR-R,159,12034
DIOR-R,160,12036
DIOR-R,161,12037
DIOR-R,162,12040
DIOR-R,163,12045
DIOR-R,164,12047
DIOR-R,165,12048
DIOR-R,166,12050
DIOR-R,167,12051
DIOR-R,168,12052
DIOR-R,169,12053
DIOR-R,170,12054
DIOR-R,171,12057
DIOR-R,172,12058
DIOR-R,173,12060
DIOR-R,174,12062
DIOR-R,175,12063
DIOR-R,176,12065
DIOR-R,177,12068
DIOR-R,178,12070
DIOR-R,179,12079
DIOR-R,180,12080
DIOR-R,181,12082
DIOR-R,182,12083
DIOR-R,183,12084
DIOR-R,184,12085
DIOR-R,185,12086
DIOR-R,186,12088
DIOR-R,187,12091
DIOR-R,188,12093
DIOR-R,189,12096
DIOR-R,190,12097
DIOR-R,191,12098
DIOR-R,192,12102
DIOR-R,193,12104
DIOR-R,194,12105
DIOR-R,195,12106
DIOR-R,196,12108
DIOR-R,197,12109
DIOR-R,198,12111
DIOR-R,199,12112
DIOR-R,200,12113
DIOR-R,201,12114
DIOR-R,202,12122
DIOR-R,203,12124
DIOR-R,204,12126
DIOR-R,205,12127
DIOR-R,206,12128
