unit,role,absolute_path,bytes,sha256,read_only
A,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
A,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,106414303,1680039b73ea6419143621ac5776713f2232b1f1bca953d22ba452dae3990800,True
A,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/manifest.json,1702,ef5971364c294a8accd47430c3ebc129fe77824f144c2e2b7e7a4279484fba77,True
B,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
B,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,76778217,a4a56429d092ae5f2b99eae5bdbad6033b2bc1d3e9db3cd205534903ccdbabb5,True
B,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/manifest.json,1698,f85b8e1b80596e90b6c89e7433ba0a118f76397995cc86d472317e6addfbd1b8,True
C,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
C,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,90348339,79b8b9299b7e758bbad663f4a55e94eaca186de14337212f8f1542c02fd38e44,True
C,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/manifest.json,1701,92f1da8b2c505fff6a39a6a530deb96e5dd4422738c5f6c4af36bddae64ab1a8,True
D,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
D,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,56298120,3d88592b74e3b6ee51515ab530c9020f07518f26ca74c69a84b90ca408d104af,True
D,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/manifest.json,1719,81b541db0afbad2465b9c7012bd4c6cb7b3dbfd496890984abfc48e27707172b,True
E,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
E,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,235374169,00e690cd03d5ff00cdd73b87a0c0bec1ad0d1e22889c2da3693975f203252f0b,True
E,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/manifest.json,1702,fb228289dd1c4fe41856bc9237c38cc7d6dc1cf342a880a834e76a68d6f6b16d,True
F,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,True
F,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,161849746,c3875f572b6c909b39ab4b5797d60963cf097969aca9ca4eb68a3f50c2caad75,True
F,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/manifest.json,1677,05c5522f003340c57a469c3960629d77af3be4851745616e8daf8404c79dd55b,True
G,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,2566084,99e2c19b1f604fa673966d922e9208b4d2698dbf499f08b98dd1eb42ef582111,True
G,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/orcnn.parquet,35893737,8510897cac2ac3be020efc99a457e0d2a99029be9849c32fbce1bf59899e6968,True
G,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/image_only_registry.json,1001320,a354781dc4c8fd28160483aae11f4d281d885e2f2c40608791e9551f273c72fa,True
H,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,2731372,507353fee671a594bbd69c3cf99d1d9069bfa2459015200595565bd2aa9b40cc,True
H,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/rtmdet.parquet,45469877,1013b727c62afb6d40a53288b56b87dc206836faf92dfa784d96065c3bf81da0,True
H,model_manifest,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/image_only_registry.json,1001320,a354781dc4c8fd28160483aae11f4d281d885e2f2c40608791e9551f273c72fa,True
