endpoint,relative_path,bytes,sha256
DOTA-v2.0 val annotations,P0003.txt,3555,178e4cb7eaa0f5f1c6516ca8341e941a8fac5f8d569bf48832502a2d45156e3c
DOTA-v2.0 val annotations,P0004.txt,6957,d03ba851113d9c81c01cabfd9a78c5867c6bd3fafa6cbbff88efb36e125b7669
DOTA-v2.0 val annotations,P0007.txt,10825,b6110b7d035c7cdfe015cb4f9ec2780a6755ddfd74086bc0b89c468b833f445f
DOTA-v2.0 val annotations,P0019.txt,7006,83b795f5a6ff5db9e727230a9c1ecf23c99f20619701db79b08691255b7999c3
DOTA-v2.0 val annotations,P0027.txt,2838,527629728b880a63d5303acab61a9c74ad57fde49cab0b329dc134ae46ec719b
DOTA-v2.0 val annotations,P0047.txt,7695,bbee6956b9f2ea1f42c3d113434c6ae5050fd7bba0b7ed7c13e1c04dbc32b726
DOTA-v2.0 val annotations,P0053.txt,6528,c9b29cf8d3bd36a68ca1ffecfd469c999ed8568caf7838494d4ddfbb7c11b485
DOTA-v2.0 val annotations,P0056.txt,1791,7ff2608ef115b57ed9c0e167c7e5ab8440a5abdd988ac7d0a1a4fa97336c7013
DOTA-v2.0 val annotations,P0060.txt,35079,182cb4df3a9952f43f10afe4499adb9df964429f3098f7da9e4382af1dee16b1
DOTA-v2.0 val annotations,P0075.txt,196,b76b1f3e0b85796952669df65a0da5bde2ab3640d60940eddee1f54f45642c3b
DOTA-v2.0 val annotations,P0079.txt,324,56c743f866a6ff97e8ba102a7bd4ade57e85680f89f97bb0229c7fa66e79c15b
DOTA-v2.0 val annotations,P0081.txt,132,16ad4179433693c96cee8b02463d10e3aee35627421e9f73ee86bd47d4c615d1
DOTA-v2.0 val annotations,P0086.txt,9730,ddbc27c0c6867ddfd063068033f7d4d44001297fdaa00997fd570f3ead109e06
DOTA-v2.0 val annotations,P0104.txt,4612,956bde9a8f7b25ab267b6cd457ce1fef362ea34c98cd252633eef2935f38d3a2
DOTA-v2.0 val annotations,P0110.txt,708,a2cf410abb78306d6d0efc32b4c1de93a1e507b21ff3a82690655d065f731a09
DOTA-v2.0 val annotations,P0117.txt,1287,03edf6f68615b0e75fa4fafa55619f89bf57adbaff163964a5ce9df310db786b
DOTA-v2.0 val annotations,P0123.txt,7216,1d57448f9bb463b9d8eb6608259ee749b584d3465e5d9b1658d2c41aabae9c6e
DOTA-v2.0 val annotations,P0128.txt,15711,679484be31ae0d4cfac8b9e7376a0b889c40d4f9c409fd5a10dd08f49577b70e
DOTA-v2.0 val annotations,P0130.txt,4588,3bac6e1f5703cb1914786d82f7aadfb9b32b891f644fc36ab05ef85c32b42545
DOTA-v2.0 val annotations,P0131.txt,14321,69bbfe0aebaaf046865dac40054c4f8874c1bcc6567e37b1abf592875ed1b694
DOTA-v2.0 val annotations,P0143.txt,261,fc23765868dd0022dbf79a6c00f190b4eb438bd2b57d6f619b95ccf0a29569d9
DOTA-v2.0 val annotations,P0146.txt,27778,a8bffd2aaea743042da13f1d3a81a7311053c9e3dfedca21fdbbcff3e631f01c
DOTA-v2.0 val annotations,P0150.txt,5259,86a8ad65c98b1f9edbf3552da7be28b83b0ae8dd86bc0323303bc15da2332424
DOTA-v2.0 val annotations,P0161.txt,108924,72002b8fd1f0ea37c68764cc31ac3deea19387a7b9ea4da6a4fd2f75d25cc863
DOTA-v2.0 val annotations,P0168.txt,8530,a2627b36e6089850682b2c8700d819817f133594049cc5ca310552be05bdd4ec
DOTA-v2.0 val annotations,P0170.txt,3573,46d3df49b329d248f7fc31499473a2d33b2e9a6f60cbc597ce01f0a1f1564138
DOTA-v2.0 val annotations,P0173.txt,829,54c02dc05e5a4e3f5277dba6f081af5ee68a19424273a2880db32dc75cabaf12
DOTA-v2.0 val annotations,P0175.txt,815,ebc6e8257329c501b733f0a0268bf8c0b08a80d81cb56a6ca1591316b3efd6f6
DOTA-v2.0 val annotations,P0179.txt,18831,b2fa34c391cf91c5a1b33b9d5ce34d04e8facf0f6f9b0996f5cb840afa80c28d
DOTA-v2.0 val annotations,P0186.txt,581,befb7d2098bc7491b93059b1149e2c84110765a4f060265a3552d5082ea37ec0
DOTA-v2.0 val annotations,P0189.txt,4003,1ebd4796247267c7cc906d3c7df1f2810178418ed3d4571252eb5b14c0034d42
DOTA-v2.0 val annotations,P0194.txt,927,afcd2d7514c58435ebac95b12e2fb8780cdb311ba5bbd6360b92422196a0e3ab
DOTA-v2.0 val annotations,P0198.txt,1285,6b62c861714ee7a39b86ffe8a719ee4b6e4f4c5b2671c18a4984187d0be5a72b
DOTA-v2.0 val annotations,P0199.txt,5308,1c0d9f4321d920001bf1380913307b7f673c580ccdb21a5f88ddb4ab39908ea7
DOTA-v2.0 val annotations,P0206.txt,773,ce7b13a84345bd67f5f07f1aaa40040d887445d3cf4d95b33f911ab870048724
DOTA-v2.0 val annotations,P0213.txt,12597,bf87aa06ee126981be942ff83e432d760274bf7f8fbba5af7816e8eecc33956c
DOTA-v2.0 val annotations,P0217.txt,2417,29b79984863eb2c55c2106958fd739fa1dc766cbdc8f836f588dd33227db73fe
DOTA-v2.0 val annotations,P0228.txt,897,9ff3d954a0d0580974efb21f0f5bc5eefcf10864213928d48b08b2e8af572c16
DOTA-v2.0 val annotations,P0237.txt,1423,16e6eea8adc35b1669e92262412e346b90b2561a8a23c0553d440d13e4c4dd71
DOTA-v2.0 val annotations,P0242.txt,706,065212ee7f9295129ebe4aaf91754cf9d7ca90f9ee09b0429108ea532c6d642e
DOTA-v2.0 val annotations,P0246.txt,2297,befe3f7781e5caebfe7bdc78f5cfc71938f6244771efe7808dcdf15dcfd1321c
DOTA-v2.0 val annotations,P0249.txt,3463,fed974e5418387d1c8608d7f6bda5d38fe8f23ad890174c47536ec8868a6859d
DOTA-v2.0 val annotations,P0257.txt,22817,38c479f000a8e231540d92178d71bc36bad6cfefc15b77f79a2b7984ac355e60
DOTA-v2.0 val annotations,P0259.txt,9223,edb009623c6dfca87424ba0e973d2c02f7127cd9b60bac4a0559ea12342e2eaa
DOTA-v2.0 val annotations,P0261.txt,12977,b5dac28205e83edf89b7e922495f3f21420d7b7ba725f86d1974f9af1a9d833c
DOTA-v2.0 val annotations,P0262.txt,53725,3f6721c5cdc19141fdb9e59bbbb2d402f3b9d9b477225834ebbb93b953588c4d
DOTA-v2.0 val annotations,P0300.txt,3088,ace5b9c026566b3c8617e4614873a8b2445890120918924ff5dc459d8564de0c
