unit,dataset,class_name,ar_bin,rows,dip,dip_p_asymptotic,delta_BIC_two_vs_one,single_loglik,mixture_loglik,multimodal,insufficient_n_lt20
A,DIOR-R,airport,0,3,0.0,1.0,,,,False,True
A,DIOR-R,airport,1,20,0.04166666666666667,1.0,35.75807475864673,-12.545292736561425,9.827343053092925,False,False
A,DIOR-R,airport,2,11,0.0844155844155845,1.0,,,,False,True
A,DIOR-R,airport,3,5,0.1777777777777778,1.0,,,,False,True
A,DIOR-R,airport,4,95,0.007894736842105288,1.0,51.31958942438194,67.6987108521982,100.18932090178998,False,False
A,DIOR-R,baseball-diamond,0,1181,0.25808208341074734,9.462078546029448e-69,2732.618634105792,-2147.659309049195,-770.7388167720032,True,False
A,DIOR-R,baseball-diamond,1,172,0.05930232558139514,0.5965332713975566,505.13371022357,-211.02814971888355,49.2599471081216,False,False
A,DIOR-R,baseball-diamond,2,1,0.0,1.0,,,,False,True
A,DIOR-R,basketball-court,0,55,0.16969696969696968,0.08420259092581629,203.50099839732914,-90.97755264240634,16.78394633410695,False,False
A,DIOR-R,basketball-court,1,819,0.006762468300929839,1.0,2650.1551494683204,8.889201756440286,1344.02890261638,False,False
A,DIOR-R,basketball-court,2,53,0.018867924528301883,1.0,-7.287025283166827,79.19648768146033,81.5084129102051,False,False
A,DIOR-R,basketball-court,3,3,0.0,1.0,,,,False,True
A,DIOR-R,bridge,0,3,0.0,1.0,,,,False,True
A,DIOR-R,bridge,1,30,0.044444444444444446,1.0,81.9626779704341,-30.89954127736176,15.183593780348524,False,False
A,DIOR-R,bridge,2,67,0.009950248756218905,1.0,0.4640297642643745,65.86259996273876,72.40165377395739,False,False
A,DIOR-R,bridge,3,79,0.008438818565400845,1.0,-3.5293175913322656,73.80687437279454,78.59638735582894,False,False
A,DIOR-R,bridge,4,406,0.002463054187192117,1.0,52.50995184387235,392.8382713802687,428.10277704160745,False,False
A,DIOR-R,chimney,0,218,0.19200524246395845,2.0910390702885317e-07,1125.792204265173,-336.51927656613555,234.45356816063466,True,False
A,DIOR-R,chimney,1,193,0.009211283822682787,1.0,710.3206540115891,18.7787949909032,381.83315728005505,False,False
A,DIOR-R,dam,0,5,0.16666666666666663,1.0,,,,False,True
A,DIOR-R,dam,1,13,0.12820512820512822,1.0,,,,False,True
A,DIOR-R,dam,2,10,1.1102230246251565e-16,1.0,,,,False,True
A,DIOR-R,dam,3,14,0.10150375939849623,1.0,,,,False,True
A,DIOR-R,dam,4,68,0.014705882352941124,1.0,-2.56846926785904,64.47458908250158,69.51961600633622,False,False
A,DIOR-R,expressway-service-area,0,14,0.09523809523809523,1.0,,,,False,True
A,DIOR-R,expressway-service-area,1,187,0.0047534165181224,1.0,166.56118799781447,44.05508802144891,135.18234494563802,False,False
A,DIOR-R,expressway-service-area,2,185,0.002702702702702897,1.0,-7.2515634083191,171.54335364660412,175.74810568006205,False,False
A,DIOR-R,expressway-service-area,3,54,0.012345679012345678,1.0,-4.565174380513996,54.23366536770102,57.934554247290436,False,False
A,DIOR-R,expressway-service-area,4,26,0.02564102564102555,1.0,-1.8150591211907106,28.01157178956504,31.991187036001907,False,False
A,DIOR-R,expressway-toll-station,0,22,0.06060606060606061,1.0,66.43473513990969,-26.654175079184206,11.199756170808115,False,False
A,DIOR-R,expressway-toll-station,1,97,0.015463917525773141,1.0,222.86336925266886,-41.051857268147174,77.24189382594233,False,False
A,DIOR-R,expressway-toll-station,2,59,0.00847457627118644,1.0,8.240561567885596,59.85222781708062,70.088814766882,False,False
A,DIOR-R,expressway-toll-station,3,33,0.020202020202020207,1.0,1.5586879980732586,45.69485162947643,51.71895697071278,False,False
A,DIOR-R,expressway-toll-station,4,37,0.013513513513513514,1.0,-2.008051897965526,51.64752076775022,56.059871687733796,False,False
A,DIOR-R,golffield,0,77,0.18701298701298708,0.009160753485707756,240.62215336085805,-131.86973771040226,-5.0429528971927,True,False
A,DIOR-R,golffield,1,131,0.022900763358778664,1.0,431.26126548742224,-126.35094667428093,96.59248205423194,False,False
A,DIOR-R,golffield,2,20,0.050000000000000155,1.0,24.843311761196595,-3.0078559931215327,13.907398297807749,False,False
A,DIOR-R,golffield,3,1,0.0,1.0,,,,False,True
A,DIOR-R,ground-track-field,0,13,0.06153846153846154,1.0,,,,False,True
