config,target_unit,alpha,nominal_coverage,rows,source_rows,mondrian_non_sparse_buckets,global_threshold,overall_coverage,coverage_deviation,worst_bucket_coverage,median_width_deg,normalized_median_width,near_full_gt150_rate,fallback_rate,kill
HOdet_A_to_B,B,0.1,0.9,47887,43848,48,1.6897889586430928,0.8984275481863554,-0.0015724518136446264,0.0,9.570391032807112,0.05316883907115062,0.1528180925929793,0.015912460584292187,False
HOdet_A_to_B,B,0.2,0.8,47887,43848,48,1.0686388389689108,0.77056403616848,-0.02943596383152003,0.0,6.382697432166758,0.03545943017870421,0.12686115229603023,0.015912460584292187,False
HOdet_A_to_C,C,0.1,0.9,47881,43848,48,1.6897889586430928,0.8961801131973016,-0.0038198868026984023,0.0,9.570391032807112,0.05316883907115062,0.15588646853658028,0.014640462814059856,False
HOdet_A_to_C,C,0.2,0.8,47881,43848,48,1.0686388389689108,0.7630584156554792,-0.036941584344520884,0.0,6.3775734422348505,0.03543096356797139,0.12161400137841732,0.014640462814059856,False
HOdet_BC_to_A,A,0.1,0.9,43848,95768,61,1.6542305413455722,0.8979656996898376,-0.0020343003101623847,0.4,9.173358293937264,0.0509631016329848,0.13061029009304873,0.005747126436781609,False
HOdet_BC_to_A,A,0.2,0.8,43848,95768,61,1.0853928084193538,0.8011539864988141,0.0011539864988140414,0.4,6.452648145240923,0.03584804525133846,0.11250228060572888,0.005747126436781609,False
HOdata_ABC_to_D,D,0.1,0.9,26108,139616,64,1.6643753173136038,0.9535391450896277,0.05353914508962765,0.0,16.041877657964207,0.08912154254424559,0.05595985904703539,0.8878121648536847,True
HOdata_ABC_to_D,D,0.2,0.8,26108,139616,64,1.082831301840152,0.8700781369695113,0.07007813696951126,0.0,10.43673688718903,0.05798187159549461,0.05182319595526275,0.8878121648536847,True
HOdata_ABC_to_E,E,0.1,0.9,157586,139616,64,1.6643753173136038,0.9470511339839833,0.047051133983983306,0.3333333333333333,13.759166340106688,0.07643981300059272,0.06861650146586626,0.7765791377406622,False
HOdata_ABC_to_E,E,0.2,0.8,157586,139616,64,1.082831301840152,0.8674501542015154,0.06745015420151534,0.3333333333333333,8.974984093168972,0.04986102273982762,0.05277118525757364,0.7765791377406622,True
HOdata_ABC_to_F,F,0.1,0.9,192249,139616,64,1.6643753173136038,0.9466941310487961,0.04669413104879605,0.5548895358794315,14.953048618031177,0.08307249232239543,0.05783645168505428,0.7923786339590844,False
HOdata_ABC_to_F,F,0.2,0.8,192249,139616,64,1.082831301840152,0.8627197020530666,0.06271970205306654,0.0,9.728352092889718,0.05404640051605399,0.04486369239892015,0.7923786339590844,True
HOdata_ABC_to_G,G,0.1,0.9,48889,139616,64,1.6643753173136038,0.8987502301131134,-0.0012497698868866314,0.0,8.502283517399768,0.04723490842999871,0.07801345906032031,0.3660128045163534,False
HOdata_ABC_to_G,G,0.2,0.8,48889,139616,64,1.082831301840152,0.7801141361042361,-0.019885863895763967,0.0,5.647962134010118,0.031377567411167324,0.06989302297040234,0.3660128045163534,False
HOdata_ABC_to_H,H,0.1,0.9,51736,139616,64,1.6643753173136038,0.9121694758002165,0.012169475800216434,0.0,8.568509942486767,0.04760283301381537,0.09857739291789083,0.3735889902582341,False
HOdata_ABC_to_H,H,0.2,0.8,51736,139616,64,1.082831301840152,0.7930647904747178,-0.00693520952528226,0.0,5.675365415782004,0.031529807865455575,0.08949280964898716,0.3735889902582341,False
