claim_id,manuscript_location,source_path,source_key,transform,expected,atol
SRC_FIG1,figure:fig1_accuracy_reliability_separation,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,__sha256__,identity,e69a159fb2da5dfde409d6d70f93bc9ee745342f898ee0296d0e567a74d29c1c,0
SRC_FIG2,figure:fig2_controlled_perturbation,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,__sha256__,identity,e69a159fb2da5dfde409d6d70f93bc9ee745342f898ee0296d0e567a74d29c1c,0
SRC_FIG3,figure:fig3_geometry_tolerance,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,__sha256__,identity,25ed7c7bb86b23cdefc7a0090ac64c41bf84f1e08476a6bbee96badc83a9ff65,0
SRC_FIG4,figure:fig4_representative_nrc,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,__sha256__,identity,eff52ab2512edae2ce44fdfd89f8c44ea4b2e999377c94503236cf1d3faa3eeb,0
SRC_FIG5,figure:fig5_image_vs_iid_bound,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,__sha256__,identity,a017bc287718ef659048a0f01a898894756f71070c65c2d49ffb3a286c9b4cbb,0
SRC_FIG6,figure:fig6_human_disagreement,reports/m4_human_annotation_primary_summary_073.csv,__sha256__,identity,f7f93b9da582df2b6b3412c95bc1f30d9dc5b1984b24dab84c6175c8c2d94f7b,0
P_DI3_AP50_BASE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|base_AP50,float,0.7999,0
P_DI3_AP50_PERT,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|pert_AP50,float,0.7999,0
P_DI3_AP75_BASE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|base_AP75,float,0.585,0
P_DI3_AP75_PERT,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|pert_AP75,float,0.0897,0
P_DI3_ANGLE_BASE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|base_angle,float,4.593,0
P_DI3_ANGLE_PERT,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|pert_angle,float,35.431,0
P_DI22_DAP75,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/22|dAP75,abs,0.4226,0
P_DI61_DAP75,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/61|dAP75,abs,0.6166,0
P_FAIR_DAP75,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=FAIR1M-v1.0/24|dAP75,abs,0.1731,0
P_S23_DAP75,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=SODA-A/23|dAP75,abs,0.2144,0
P_S4_DAP75,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=SODA-A/4|dAP75,abs,0.3413,0
P_DI3_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/3|d_angle,float,30.838,0
P_DI22_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/22|d_angle,float,30.116,0
P_DI61_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=DIOR-R/61|d_angle,float,31.535,0
P_FAIR_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=FAIR1M-v1.0/24|d_angle,float,31.886,0
P_S23_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=SODA-A/23|d_angle,float,29.186,0
P_S4_DANGLE,section:5.1,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,cell=SODA-A/4|d_angle,float,30.745,0
G_AR1_D75,section:3.2,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,ar=1.0|dtheta_075,round:4,25.5285,0.00005
G_AR16_D75,section:3.2,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,ar=1.6|dtheta_075,round:4,19.6727,0.00005
G_AR21_D75,section:3.2,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,ar=2.1|dtheta_075,round:4,15.3297,0.00005
G_AR4_D75,section:3.2,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,ar=4.0|dtheta_075,round:4,8.1577,0.00005
G_AR8_D75,section:3.2,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,ar=8.0|dtheta_075,round:4,4.0893,0.00005
GR_A_RATE,section:5.2,top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv,cell=A|severe_event_rate,float,0.0081,0
GR_C_RATE,section:5.2,top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv,cell=C|severe_event_rate,float,0.0167,0
GR_E_RATE,section:5.2,top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv,cell=E|severe_event_rate,float,0.0036,0
GR_G_RATE,section:5.2,top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv,cell=G_dota_orcnn|severe_event_rate,float,0.0019,0
NRC_DOTA_SCORE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=DOTA-v1.0/20&selector=detection_score|nrc,float,0.6926,0
NRC_DIOR_SCORE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=DIOR-R/22&selector=detection_score|nrc,float,0.5424,0
NRC_FAIR_SCORE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=FAIR1M-v1.0/24&selector=detection_score|nrc,float,0.8848,0
NRC_SODA_SCORE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=SODA-A/23&selector=detection_score|nrc,float,0.9138,0
NRC_DIOR_PHASE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=DIOR-R/22&selector=intrinsic_phase_mod|nrc,float,1.1286,0
