artifact_type,path,bytes,sha256,can_recompute
canonical_input,reports/m4_human_annotation_analysis_audit.json,3283,fa769fdacff4aae0bdf96d9217c5c0f2055e19b3226d845e1ae4fa0c8b88976f,existing_frozen_pipeline
canonical_input,reports/m4_human_annotation_primary_summary_073.csv,964,f7f93b9da582df2b6b3412c95bc1f30d9dc5b1984b24dab84c6175c8c2d94f7b,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,737,eff52ab2512edae2ce44fdfd89f8c44ea4b2e999377c94503236cf1d3faa3eeb,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,720006,53f7f243edab673632e7bee0206c1b6a75f2cf67b9a9b3c1fba4639aad29c07e,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,51648,a017bc287718ef659048a0f01a898894756f71070c65c2d49ffb3a286c9b4cbb,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,15095,25ed7c7bb86b23cdefc7a0090ac64c41bf84f1e08476a6bbee96badc83a9ff65,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv,5732,a652182ebb89a44355d424603eedc8a1bf3896012473289ca5a5e95e36cd65cd,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,947,e69a159fb2da5dfde409d6d70f93bc9ee745342f898ee0296d0e567a74d29c1c,existing_frozen_pipeline
canonical_input,top_journal_v3_reaudit_055/reports/r3_reverse_perturbation.csv,793,faf194faa397bdb4670fb3fe99a4cfb42a8df810a105709f5a07f222ef8b3059,existing_frozen_pipeline
execution_log,claude_code_and_supervisor.md,374517,872d1cac90c2ec24d9107c86186f7c6a3b679c79b75d2857ad264c7e933f05e0,authored_append_only
r044_artifact,audit_bundles/r044/build_manifest.py,2037,514c27f7db7ddcb027f5e1e7e8102c420c15f861d354c5ec24548dfa23f9eec5,yes
r044_artifact,audit_bundles/r044/claim_check.json,1340,c289e2eb3db29ee5026fe38174145397174f0dbf9f7b56f5a351607b60bd0d83,yes
r044_artifact,audit_bundles/r044/claim_spec.csv,8983,06fdef6a27020fa4f22f789a034a0a78fb4a0432c5795ec13983873ab05947bf,yes
r044_artifact,audit_bundles/r044/gate.json,1227,1d11c4da7d1f7289e0c62494f672402a7145ce6e16de6575c2faac652a5b8fbf,yes
r044_artifact,audit_bundles/r044/mutation_results.json,1084,0ab66566aa4372a6ecbf4b9d5e8d0b68544dd7babd9b94e55f9c7cd1cbfbcdc2,yes
r044_artifact,audit_bundles/r044/mutations/ap75_changed.csv,940,fc0d41e3261bf8db067f647fe6af51be7fffbc8e18054deb94d883fb87e6770c,yes
r044_artifact,audit_bundles/r044/mutations/human_mean_changed.csv,958,0e53f8f5846103133404f361cc218565bd953decde01451af44a50e259b199cb,yes
r044_artifact,audit_bundles/r044/mutations/mutate_ap75_claim_check.json,1969,f2b6e8972db6c40b365c8617f8e3501200c5734f61a21dfcfe8cbfd092e1c898,yes
r044_artifact,audit_bundles/r044/mutations/mutate_delete_row_claim_check.json,1762,43b8b7e9963903c575055678b1e2ecd7f420f504cec37707d6c6b290a8a3d9c9,yes
r044_artifact,audit_bundles/r044/mutations/mutate_human_claim_check.json,1714,0514f18e70ea6574192bf87f82076afb15ca70ff2f04aeea16be6757dc7fbb9d,yes
r044_artifact,audit_bundles/r044/mutations/nrc_row_deleted.csv,651,bfac1d4df0c37c9f026befbb211f66ab0f8ebc2099801e22f72e51097788adc0,yes
r044_artifact,audit_bundles/r044/mutations/pristine_claim_check.json,1340,c289e2eb3db29ee5026fe38174145397174f0dbf9f7b56f5a351607b60bd0d83,yes
r044_artifact,audit_bundles/r044/run_mutations.py,2795,eabf4712e2d3a73f87c2b6eb27e19a3853ec4ae1fcdf51a64bd534d341ed87b5,yes
r044_artifact,audit_bundles/r044/validate_claims.py,5153,8d9c374d1e8bd201aa3196cadcd6e0d573b1f90ae1c5fe185548b299f4de12fa,yes
r044_artifact,dis/server_reports/orientbench-b-r044-jprs-measurement-manuscript-20260818/SERVER_EXECUTION_REPORT.md,8360,9c41243bd7fb7b4455efbf3b327619130fa3ec5141e3f515fbe983ff8b4a84a5,authored_or_report
r044_artifact,dis/server_reports/orientbench-b-r044-jprs-measurement-manuscript-20260818/STARTED.json,463,ce6e0e81e14be59001a28bb5f5feaf1416ab7f97eca8942b83d37d81ad80014b,yes
r044_artifact,docs/paper_jprs_r044/claim_ledger.csv,1983,58beee4d6b780250cd006e27d7689b75e0b2a1f829f0211282ec1ac1d7add4fc,yes
r044_artifact,docs/paper_jprs_r044/cover_letter.md,1503,ae81fe68e705723b57063e6ceee557661cd331a992131d21c72d6ac83399ab09,authored_or_report
