heldout_dataset,unit,seed,n,clusters,l2,lambda_,delta_NRC,ci_low,ci_high,risk70_ci_low,risk90_ci_low,standalone_NRC,standalone_AUGRC,standalone_Risk70,standalone_Risk90,gr_eqs_NRC,gr_eqs_AUGRC,gr_eqs_Risk70,gr_eqs_Risk90
DIOR-R,A,20260830,25080,3497,0.1,0.0,0.00822705060009793,0.0028574690840298357,0.013559415211273258,-0.0006128610282610987,-0.0006765023976411543,0.4973405568819207,0.09810509002956636,0.11933481870477355,0.1425419558618694,0.48911350628182276,0.09716244779152258,0.11855611276180705,0.14226867123376324
DIOR-R,B,20260830,27682,3643,0.1,0.0,0.014132918328812749,0.005952472438154735,0.022466121370704185,-0.002718264223360592,-0.00168270751711787,0.49686369534454045,0.11476035016899286,0.13124238013830028,0.15483098146076782,0.4827307770157277,0.11307636160945918,0.13243228401976556,0.15579844099331355
DIOR-R,C,20260830,27410,3697,0.1,0.0,0.00022568635956721206,-0.0031914173733973553,0.003725100415097232,-0.001101744678739981,-0.00039857391546184174,0.3998540358417335,0.11737824437958765,0.1411937982631793,0.17165393367841997,0.3996283494821663,0.11734772772800049,0.14085414657519488,0.17107388160163817
DIOR-R,A,20260831,25080,3497,0.1,0.0,0.008573744896796964,0.003217008072607387,0.01391350265532615,-0.0005618861675233143,-0.000674347266105308,0.4973405568819207,0.09810509002956636,0.11933481870477355,0.1425419558618694,0.48876681198512373,0.09712272411609588,0.11854387910934847,0.14226497236831714
DIOR-R,B,20260831,27682,3643,0.1,0.0,0.013973500416432416,0.006068614573990515,0.021995762925592337,-0.0025934319062063415,-0.0016459063634502466,0.49686369534454045,0.11476035016899286,0.13124238013830028,0.15483098146076782,0.48289019492810803,0.11309535683283678,0.13237124471459646,0.15576816243104075
DIOR-R,C,20260831,27410,3697,0.1,0.0,-0.00020749951470400152,-0.003472991858749189,0.0032576959578538662,-0.0011547454777907737,-0.00036206829783804877,0.3998540358417335,0.11737824437958765,0.1411937982631793,0.17165393367841997,0.4000615353564375,0.11740630185903332,0.140890970817699,0.17106431543061837
DIOR-R,A,20260832,25080,3497,0.1,0.0,0.008076292708774635,0.00268521467997731,0.013488386497590097,-0.0005868640984737608,-0.0006912574173608812,0.4973405568819207,0.09810509002956636,0.11933481870477355,0.1425419558618694,0.48926426417314606,0.09717972138846363,0.11857143577080609,0.1422539146472526
DIOR-R,B,20260832,27682,3643,0.1,0.0,0.013557954088552926,0.0054347336091736895,0.02169973776339215,-0.0027284973026686144,-0.0016901128264689238,0.49686369534454045,0.11476035016899286,0.13124238013830028,0.15483098146076782,0.4833057412559875,0.11314487068735886,0.13247954526746034,0.15581781618200027
DIOR-R,C,20260832,27410,3697,0.1,0.0,-0.0001517859710606917,-0.0035472089478214867,0.003288534773937215,-0.0011188147135502125,-0.0003767289293546548,0.3998540358417335,0.11737824437958765,0.1411937982631793,0.17165393367841997,0.4000058218127942,0.11739876843608606,0.14086491478206375,0.1711023049901371
FAIR1M-v1.0,D,20260830,15148,1222,0.1,0.0,0.03838862295275858,0.02677045665294599,0.0498740817213486,0.0026159498246111274,-0.00011980710945251674,0.8250088592886736,0.17739747603793687,0.1877421085585438,0.19503076628524418,0.786620236335915,0.17246864826375785,0.18360029253419796,0.19451117527017675
FAIR1M-v1.0,D,20260831,15148,1222,0.1,0.0,0.039077111796312125,0.02769545696796802,0.05028324833269069,0.0026728932108743254,-0.00010093721421407728,0.8250088592886736,0.17739747603793687,0.1877421085585438,0.19503076628524418,0.7859317474923615,0.1723802511639584,0.1836159399216024,0.19446904111570176
FAIR1M-v1.0,D,20260832,15148,1222,0.1,0.0,0.03794376898063467,0.026596510870512034,0.04933898680488084,0.002544740759218355,-0.00010391126302994601,0.8250088592886736,0.17739747603793687,0.1877421085585438,0.19503076628524418,0.787065090308039,0.1725257643685985,0.18376029543343636,0.19447302779850129
SODA-A,E,20260830,100921,417,0.1,0.0,0.02260040346462444,0.012782337624074358,0.0349737411678208,0.0007040930272023919,0.00026951276113937263,0.7017095101496539,0.13694262151746447,0.15056166430903975,0.16247613960493654,0.6791091066850294,0.1344774465747544,0.148645797444866,0.16180379826725813
SODA-A,F,20260830,120686,419,0.1,0.0,-0.017113568655602984,-0.03909471524995621,-0.0005023316151039544,-0.002672285907426252,-0.0007845518095782447,0.6954723382830017,0.15180202615386573,0.16089818353020993,0.17588414028561766,0.7125859069386047,0.15383011715146952,0.16290998550884453,0.17611781695445336
SODA-A,E,20260831,100921,417,0.1,0.0,0.02365539262750027,0.013450885562711585,0.03585361981498969,0.000767092298330517,0.00027663406612463484,0.7017095101496539,0.13694262151746447,0.15056166430903975,0.16247613960493654,0.6780541175221536,0.13436237195437328,0.14857970593062292,0.16178726872132324
SODA-A,F,20260831,120686,419,0.1,0.0,-0.0149775853762395,-0.03825923694067609,0.0018637340515515791,-0.0025555848693813573,-0.0007300550757025369,0.6954723382830017,0.15180202615386573,0.16089818353020993,0.17588414028561766,0.7104499236592412,0.15357698651886525,0.16278543869529302,0.17609774820019466
