catalog_id,gsd_m,off_nadir_deg,azimuth_deg
1030010003D22F00,0.48,7.8,118.4
10300100023BC100,0.49,8.3,78.4
1030010003993E00,0.49,10.5,148.6
1030010003CAF100,0.48,10.6,57.6
1030010002B7D800,0.49,13.9,162
10300100039AB000,0.49,14.8,43
1030010002649200,0.52,16.9,168.7
1030010003C92000,0.52,19.3,35.1
1030010003127500,0.54,21.3,174.7
103001000352C200,0.54,23.5,30.7
103001000307D800,0.57,25.4,178.4
1030010003472200,0.58,27.4,27.7
1030010003315300,0.61,29.1,181
10300100036D5200,0.62,31,25.5
103001000392F600,0.65,32.5,182.8
1030010003697400,0.68,34,23.8
1030010003895500,0.74,37,22.6
1030010003832800,0.80,39.6,21.5
10300100035D1B00,0.87,42,20.7
1030010003CCD700,0.95,44.2,20
1030010003713C00,1.03,46.1,19.5
10300100033C5200,1.13,47.8,19
1030010003492700,1.23,49.3,18.5
10300100039E6200,1.36,50.9,18
1030010003BDDC00,1.48,52.2,17.7
1030010003193D00,1.63,53.4,17.4
1030010003CD4300,1.67,54,17.4
