figure,format,generator,canonical_source,bytes,sha256
fig1_accuracy_reliability_separation,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,45213,5f0e20b18c2d4bcf2f16eb87083b084e9664fa72f655936baec4fa592b5105f0
fig1_accuracy_reliability_separation,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,149558,71493f5d21c47f85390cae92efb80f9732d1d54811f20badb2c362f5c2698477
fig2_controlled_perturbation,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,44587,cf61b9db11727627bae2a8d2cd158190f840c5d26839bd8d23f019054852aaf7
fig2_controlled_perturbation,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.csv,83955,c02b09c61b5a245ac91f6d046245157af26707de60b3bbb3ab7d8f68ee9904bf
fig3_geometry_tolerance,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,36247,7aa7c8a552e6cd1093d4d603722cee41b9f13580cf7d9a8b9058f40e8a500b1a
fig3_geometry_tolerance,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/m4_delta_theta_tau_curve.csv,87158,1fd4343214937aa49e7384baa40c8a8224a4b81a6c0fd8ee2fc7d4e5b8c01641
fig4_representative_nrc,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,46091,c24bca46730673283e672a5ba0306e3bff1af2df93b32ebc73c43f91ecc75196
fig4_representative_nrc,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,87679,88d11c638cf6fd0043f4a4a655fe03ca9f344f1e20947bee330873f2b2838335
fig5_image_vs_iid_bound,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,31504,5a2cacb50dea54ec3e73ab89d9508387a80b37cfff811b370aa77dd52eeb8d88
fig5_image_vs_iid_bound,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,57098,1b9a9ef7ce652b1ccfb790f5590cc4a17fee4a34596af1926c39cdeb87776653
fig6_human_disagreement,svg,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,reports/m4_human_annotation_primary_summary_073.csv,36326,11814dd358a655fa13fcd0f3b6746c1e4f618597f102278d75a6729eee6f6336
fig6_human_disagreement,png,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,reports/m4_human_annotation_primary_summary_073.csv,79630,33d29a397ae3bd1a808e40fd6b7d25755eeafe73a5371f7e0e9a63f156c46e58
