citation_key,title,year,venue,doi_or_official_url,verification_status,verification_note
xia2018dota,DOTA: A Large-Scale Dataset for Object Detection in Aerial Images,2018,CVPR,https://doi.org/10.1109/CVPR.2018.00418,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
sun2022fair1m,FAIR1M: A Benchmark Dataset for Fine-Grained Object Recognition in High-Resolution Remote Sensing Imagery,2022,ISPRS JPRS,https://doi.org/10.1016/j.isprsjprs.2021.12.004,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
li2020dior,Object Detection in Optical Remote Sensing Images: A Survey and a New Benchmark,2020,ISPRS JPRS,https://doi.org/10.1016/j.isprsjprs.2019.11.023,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
cheng2023soda,Towards Large-Scale Small Object Detection: Survey and Benchmarks,2023,IEEE TPAMI,https://doi.org/10.1109/TPAMI.2023.3290594,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
xie2021orientedrcnn,Oriented R-CNN for Object Detection,2021,ICCV,https://openaccess.thecvf.com/content/ICCV2021/html/Xie_Oriented_R-CNN_for_Object_Detection_ICCV_2021_paper.html,VERIFIED_OFFICIAL_CVF,Official CVF record
lyu2022rtmdet,RTMDet: An Empirical Study of Designing Real-Time Object Detectors,2022,arXiv,https://arxiv.org/abs/2212.07784,VERIFIED_PROJECT_RECORD,Title and identifier present in prior checked bibliography
yang2020csl,Arbitrary-Oriented Object Detection with Circular Smooth Label,2020,ECCV,https://doi.org/10.1007/978-3-030-58598-3_40,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
yang2021dcl,Dense Label Encoding for Boundary Discontinuity Free Rotation Detection,2021,CVPR,https://doi.org/10.1109/CVPR46437.2021.01556,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
yu2023psc,Phase-Shifting Coder: Predicting Accurate Orientation in Oriented Object Detection,2023,CVPR,https://doi.org/10.1109/CVPR52729.2023.01283,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
yang2021gwd,Rethinking Rotated Object Detection with Gaussian Wasserstein Distance Loss,2021,ICML,https://proceedings.mlr.press/v139/yang21l.html,VERIFIED_OFFICIAL_PROCEEDINGS,PMLR record
yang2021kld,Learning High-Precision Bounding Box for Rotated Object Detection via Kullback--Leibler Divergence,2021,NeurIPS,https://proceedings.neurips.cc/paper/2021/hash/98f13708210194c475687be6106a3b84-Abstract.html,VERIFIED_OFFICIAL_PROCEEDINGS,NeurIPS record
zeng2024arsdetr,ARS-DETR: Aspect Ratio-Sensitive Detection Transformer for Aerial Oriented Object Detection,2024,IEEE TGRS,https://doi.org/10.1109/TGRS.2024.3364713,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
elyaniv2010foundations,On the Foundations of Noise-Free Selective Classification,2010,JMLR,https://www.jmlr.org/papers/v11/el-yaniv10a.html,VERIFIED_OFFICIAL_JMLR,JMLR record
geifman2017selective,Selective Classification for Deep Neural Networks,2017,NeurIPS,https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html,VERIFIED_OFFICIAL_PROCEEDINGS,NeurIPS record
geifman2019selectivenet,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,2019,ICML,https://proceedings.mlr.press/v97/geifman19a.html,VERIFIED_OFFICIAL_PROCEEDINGS,PMLR record
traub2024flaws,Overcoming Common Flaws in the Evaluation of Selective Classification Systems,2024,NeurIPS,https://doi.org/10.52202/079017-0076,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
guo2017calibration,On Calibration of Modern Neural Networks,2017,ICML,https://proceedings.mlr.press/v70/guo17a.html,VERIFIED_OFFICIAL_PROCEEDINGS,PMLR record
kuppers2020multivariate,Multivariate Confidence Calibration for Object Detection,2020,CVPR Workshops,https://doi.org/10.1109/CVPRW50498.2020.00171,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
pathiraja2023multiclass,Multiclass Confidence and Localization Calibration for Object Detection,2023,CVPR,https://doi.org/10.1109/CVPR52729.2023.01890,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
oksuz2023selfaware,Towards Building Self-Aware Object Detectors via Reliable Uncertainty Quantification and Calibration,2023,CVPR,https://doi.org/10.1109/CVPR52729.2023.00894,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18
vovk2005algorithmic,Algorithmic Learning in a Random World,2005,Springer,https://doi.org/10.1007/b106715,VERIFIED_PROJECT_RECORD,Established monograph metadata
angelopoulos2024crc,Conformal Risk Control,2024,ICLR,https://openreview.net/forum?id=33XGfHLtZg,VERIFIED_PROJECT_RECORD,Title and venue present in prior checked bibliography
angelopoulos2021ltt,Learn Then Test: Calibrating Predictive Algorithms to Achieve Risk Control,2025,Annals of Applied Statistics,https://doi.org/10.1214/24-AOAS1998,VERIFIED_CROSSREF_EXACT_TITLE,Crossref checked 2026-08-18; final journal year used
andeol2023conformal,Conformal Object Detection,2023,arXiv,https://arxiv.org/abs/2308.16005,VERIFIED_PROJECT_RECORD,Title and identifier present in prior checked bibliography
