dataset,baseline_id,detector,scope,NRC,ci_lo,ci_hi,nl_better_sig
DOTA-v1.0,20,psc,sizebin_small,0.1292,0.0866,0.1766,True
DOTA-v1.0,20,psc,sizebin_medium,0.076,0.0404,0.1149,True
DOTA-v1.0,20,psc,sizebin_large,0.1653,0.1334,0.2003,True
DIOR-R,22,psc,sizebin_small,0.3518,0.308,0.3956,True
DIOR-R,22,psc,sizebin_medium,0.2903,0.2194,0.3527,True
DIOR-R,22,psc,sizebin_large,0.2209,0.1805,0.2638,True
FAIR1M-v1.0,24,psc,sizebin_small,0.3673,0.3227,0.4026,True
FAIR1M-v1.0,24,psc,sizebin_medium,0.2759,0.2282,0.3191,True
FAIR1M-v1.0,24,psc,sizebin_large,0.1428,0.1175,0.1692,True
SODA-A,23,psc,sizebin_small,0.3122,0.2985,0.3243,True
SODA-A,23,psc,sizebin_medium,0.3244,0.3107,0.3389,True
SODA-A,23,psc,sizebin_large,0.2001,0.1882,0.2101,True
SODA-A,4,orcnn,sizebin_small,0.2733,0.2622,0.284,True
SODA-A,4,orcnn,sizebin_medium,0.2579,0.2475,0.2678,True
SODA-A,4,orcnn,sizebin_large,0.1829,0.1745,0.1903,True
DIOR-R,3,orcnn,sizebin_small,0.2725,0.2367,0.3079,True
DIOR-R,3,orcnn,sizebin_medium,0.3576,0.3131,0.4114,True
DIOR-R,3,orcnn,sizebin_large,0.4282,0.3664,0.4878,True
DIOR-R,10,lsknet,sizebin_small,0.29,0.2569,0.321,True
DIOR-R,10,lsknet,sizebin_medium,0.3639,0.3204,0.4143,True
DIOR-R,10,lsknet,sizebin_large,0.4344,0.3859,0.4852,True
