ar,dataset,baseline_id,detector,scope,selector,n_audit,NRC,NRC_sizelin,NRC_nl,AURC,Risk@70,Risk@90,p90_at70,p99_at70,ci_lo,ci_hi,nl_better_sig
primary_ar1.6,DOTA-v1.0,20,psc,overall,score_only,6696,0.7035,,,1.611,1.839,1.928,3.97,7.45,,,
primary_ar1.6,DOTA-v1.0,20,psc,overall,score_ar_linear,6696,0.698,,,1.6045,1.747,1.875,3.78,6.57,,,
primary_ar1.6,DOTA-v1.0,20,psc,overall,score_ar_size_linear,6696,0.6426,,,1.5386,1.739,1.879,3.75,6.58,,,
primary_ar1.6,DOTA-v1.0,20,psc,overall,nonlinear,6696,0.5481,,,1.4264,1.688,1.843,3.67,6.46,,,
primary_ar1.6,DOTA-v1.0,20,psc,overall,DELTA_sizelin_minus_nl,6696,0.0945,,,,,,,,0.0807,0.1105,True
primary_ar1.6,DOTA-v1.0,20,psc,sizebin_small,DELTA_sizelin_minus_nl,2155,0.1292,0.8863,0.7568,,,,,,0.0866,0.1766,True
primary_ar1.6,DOTA-v1.0,20,psc,sizebin_medium,DELTA_sizelin_minus_nl,1948,0.076,0.8195,0.7434,,,,,,0.0404,0.1149,True
primary_ar1.6,DOTA-v1.0,20,psc,sizebin_large,DELTA_sizelin_minus_nl,2593,0.1653,0.608,0.4425,,,,,,0.1334,0.2003,True
primary_ar1.6,DOTA-v1.0,20,psc,perm_importance,nonlinear,,"{""score"": 0.049, ""log_ar"": 0.048, ""log_sqrt_area"": 0.33, ""gv_obb_needed"": 0.025, ""w"": 0.824, ""h"": 0.298}",,,,,,,,,,
sens_ar1.3,DOTA-v1.0,20,psc,overall,score_only,6953,0.7208,,,1.709,1.967,2.044,4.03,8.11,,,
sens_ar1.3,DOTA-v1.0,20,psc,overall,score_ar_linear,6953,0.6703,,,1.6439,1.772,1.898,3.84,6.68,,,
sens_ar1.3,DOTA-v1.0,20,psc,overall,score_ar_size_linear,6953,0.6483,,,1.6156,1.766,1.892,3.82,6.62,,,
sens_ar1.3,DOTA-v1.0,20,psc,overall,nonlinear,6953,0.539,,,1.4751,1.713,1.871,3.71,6.46,,,
sens_ar1.3,DOTA-v1.0,20,psc,overall,DELTA_sizelin_minus_nl,6953,0.1086,,,,,,,,0.0905,0.131,True
sens_ar1.3,DOTA-v1.0,20,psc,sizebin_small,DELTA_sizelin_minus_nl,2215,0.0776,0.8815,0.8046,,,,,,0.0359,0.1214,True
sens_ar1.3,DOTA-v1.0,20,psc,sizebin_medium,DELTA_sizelin_minus_nl,2011,0.0415,0.826,0.7821,,,,,,0.0051,0.0838,True
sens_ar1.3,DOTA-v1.0,20,psc,sizebin_large,DELTA_sizelin_minus_nl,2727,0.1838,0.5752,0.3937,,,,,,0.1443,0.227,True
