id,model_id,dataset,train_val_or_trainval_test,epoch_best,mAP_best,valid,pth,pth_abs,pth_exists,log,log_abs,log_exists,config,config_abs,config_exists,source,mmrotate_stack,env,actual_gb,per_gpu_bs,gpus,actual_lr,optimizer,scheduler,angle,metric,eval_interval,inference_ready
1,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,train→val,11,0.7061,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_7061_epoch_11.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_7061_epoch_11.pth,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/train_20260430_175419.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/train_20260430_175419.log,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,True,/home/rspip/cqc/pro/study/pcbobb/results/p1_baseline_v2_dota10_oriented_rcnn_r50_lr020,onedl-mmrotate 1.1.1,pcp-obb,8,2,4,0.02,SGD,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
2,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,train→val,11,0.6531,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/best_mAP_6531_epoch_11.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/best_mAP_6531_epoch_11.pth,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/train_20260430_195418.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/train_20260430_195418.log,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/config.py,True,/home/rspip/cqc/pro/study/pcbobb/results/p1_baseline_v2_dota15_oriented_rcnn_r50_lr020,onedl-mmrotate 1.1.1,pcp-obb,8,2,4,0.02,SGD,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
3,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,trainval→test,11,0.6448,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/best_dota_mAP_epoch_11.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/best_dota_mAP_epoch_11.pth,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/20260515_222703/20260515_222703.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/20260515_222703/20260515_222703.log,True,baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/cell03_orcnn_dior_sgd_lr020.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/cell03_orcnn_dior_sgd_lr020.py,True,/home/rspip/cqc/pro/study/pcbobb/results/v10_realign_cell03_dior_oriented_rcnn_r50_sgd_lr020,onedl-mmrotate 1.1.1,pcp-obb,8,1,8,0.02,SGD,"MultiStepLR [8,11] warmup LinearLR (start_factor=0.001 NaN-safe)",le90,DOTAMetric mAP@0.5,1 epoch,True
4,oriented_rcnn_r50_fpn_1x_le90,SODA-A,train→val,9,0.7295,True,baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/best_mAP_7295_epoch_09.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/best_mAP_7295_epoch_09.pth,True,baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/train_20260504_101625.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/train_20260504_101625.log,True,baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/config.py,True,/home/rspip/cqc/pro/study/pcbobb/results/soda_a_isolated_baseline_20260504,onedl-mmrotate 1.1.1,pcp-obb,8,2,4,0.02,SGD,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
5,oriented_rcnn_r50_fpn_1x_le90,FAIR1M-v1.0,train_only→val,12,0.59,True,baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/best_mAP_5900_epoch_12.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/best_mAP_5900_epoch_12.pth,True,baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/train_20260505_000243.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/train_20260505_000243.log,True,baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,True,/home/rspip/cqc/pro/study/pcbobb/results/fair1m_isolated_baseline_20260504,onedl-mmrotate 1.1.1,pcp-obb,8,2,4,0.02,SGD,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
6,oriented_rcnn_r50_fpn_3x_le90,HRSC2016,trainval→test,34,0.9036,True,baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/best_dota_mAP_epoch_34.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/best_dota_mAP_epoch_34.pth,True,baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/20260515_215613/20260515_215613.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/20260515_215613/20260515_215613.log,True,baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/cell06_orcnn_hrsc_3x_sgd_lr020.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/cell06_orcnn_hrsc_3x_sgd_lr020.py,True,/home/rspip/cqc/pro/study/pcbobb/results/v10_realign_cell06_hrsc_oriented_rcnn_r50_3x_sgd_lr020,onedl-mmrotate 1.1.1,pcp-obb,8,1,8,0.02,SGD,MultiStepLR + warmup LinearLR,le90,DOTAMetric mAP@0.5,1 epoch,True
7,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.0,train→val,11,0.7492,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/best_mAP_epoch_11.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/best_mAP_epoch_11.pth,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/20260516_071627.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/20260516_071627.log,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/cell07_lsknet_dota10_lr2e-4.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/cell07_lsknet_dota10_lr2e-4.py,True,/home/rspip/cqc/pro/study/pcbobb/results/v10_realign_cell07_dota10_lsknet_s_lr2e-4,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env),pcp-obb-soda,8,2,4,0.0002,AdamW,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
8,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5,train→val,10,0.6875,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/best_mAP_epoch_10.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/best_mAP_epoch_10.pth,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/20260516_084624.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/20260516_084624.log,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/cell08_lsknet_dota15ss_lr2e-4.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/cell08_lsknet_dota15ss_lr2e-4.py,True,/home/rspip/cqc/pro/study/pcbobb/results/v10_realign_cell08_dota15ss_lsknet_s_lr2e-4,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env),pcp-obb-soda,8,2,4,0.0002,AdamW,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
9,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5 MS,train→val,11,0.6732,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/best_mAP_6732_epoch_11.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/best_mAP_6732_epoch_11.pth,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/train_20260501_052350.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/train_20260501_052350.log,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/config.py,True,/home/rspip/cqc/pro/study/pcbobb/results/p1_baseline_v2_dota15_ms_lsknet_s_adamw,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env),pcp-obb-soda,8,2,4,0.0001,AdamW,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
10,oriented_rcnn_lsknet_s_fpn_1x_le90,DIOR-R,trainval→test,12,0.7187,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/best_mAP_7187_epoch_12.pth,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/best_mAP_7187_epoch_12.pth,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/train_20260517_103603.log,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/train_20260517_103603.log,True,baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/config.py,True,/home/rspip/cqc/pro/study/pcbobb_beyond/checkpoints_v12_retrain/lsknet/dior_r/full,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env),pcp-obb-soda,8,2,4,0.0002,AdamW,"step [8,11] warmup",le90,DOTAMetric mAP@0.5,1 epoch,True
