baseline_id,model_id,dataset,box_type,angle_version,theta_unit,source,config_path,warnings
1,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,
2,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/config.py,
3,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/cell03_orcnn_dior_sgd_lr020.py,
4,oriented_rcnn_r50_fpn_1x_le90,SODA-A,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/config.py,
5,oriented_rcnn_r50_fpn_1x_le90,FAIR1M-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,
6,oriented_rcnn_r50_fpn_3x_le90,HRSC2016,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/cell06_orcnn_hrsc_3x_sgd_lr020.py,
7,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/cell07_lsknet_dota10_lr2e-4.py,
8,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/cell08_lsknet_dota15ss_lr2e-4.py,
9,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5 MS,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/config.py,
10,oriented_rcnn_lsknet_s_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/config.py,
11,oriented_rcnn_lsknet_s_fpn_1x_le90,SODA-A,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/SODA_train_val/config.py,
12,oriented_rcnn_lsknet_s_fpn_1x_le90,FAIR1M-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/FAIR1M_train_only_val/config.py,
13,oriented_rcnn_lsknet_s_fpn_3x_le90,HRSC2016,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_3x_le90/HRSC_trainval_test/cell13_lsknet_hrsc_3x_lr2e-4.py,
14,arsdetr_r50_fpn_36e_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA10_train_val/config.py,
15,arsdetr_r50_fpn_36e_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA15_train_val/config.py,
16,arsdetr_r50_fpn_36e_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test/config.py,
17,arsdetr_r50_fpn_36e_le90,SODA-A,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/SODA_train_val/config.py,
18,arsdetr_r50_fpn_36e_le90,FAIR1M-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/FAIR1M_train_only_val/config.py,
19,arsdetr_r50_fpn_36e_le90,HRSC2016,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/HRSC_trainval_test/config.py,
20,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA10_train_val/config.py,
21,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.5 MS,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_train_val/config.py,
22,rotated_retinanet_psc_r50_fpn_1x_le90,DIOR-R,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DIOR_trainval_test/config.py,
23,rotated_retinanet_psc_r50_fpn_1x_le90,SODA-A,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/SODA_train_val/config.py,
24,rotated_retinanet_psc_r50_fpn_1x_le90,FAIR1M-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,
25,faa_oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_faa_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,
26,rotated_retinanet_r50_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_r50_fpn_1x_le90/DOTA10_train_val/cell26_retinanet_dota10_lr5e-3.py,
27,rotated_retinanet_psc_r50_fpn_loadfrom_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_loadfrom_le90/DOTA10_train_val/cell27_v2_24ep.resolved.py,
28,oriented_rcnn_lsknet_s_fpn_1x_le90,DIOR-R,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test_taos/config.py,
29,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val_taos/config.py,
30,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_train_val_taos_filtered_oom/config.py,
31,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_taos_linear_lr/config.py,
