module,field,draft_value,input_needed,dcal_estimation,daudit_audit,status
B_C1,drop_rate_max,0.5,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
B_C1,cycle_err_max,0.3,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
B_C1,ot_vs_gt_identity.min_delta,0.03,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
B_C1,padding_only_tie.max_delta_abs,0.01,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
A_A4,partial_corr_max_abs,0.2,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
A_A4,hsic_p_min_after_correction,0.05,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
A_A4,all_source_vs_best_single_delta_min,0.02,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
D2,spearman_mAP_NRC_max,0.95,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
D2,effect_size_min.background_phase_spearman,0.2,real detector predictions on D_cal,"estimate metric distribution on D_cal, pick threshold at target coverage/FDR",re-evaluate on disjoint D_audit; no threshold tuning on D_audit,blocked_needs_real_prediction
D2,fdr_method,benjamini_hochberg,GT/bucket/source dry-run on D_cal,compute directly from D_cal GT-derived stats,re-evaluate on disjoint D_audit; no threshold tuning on D_audit,ready_to_estimate
