baseline_id,class_name,gt,matched_used,coverage
1,baseball-diamond,41,3,0.073
1,basketball-court,44,36,0.818
1,ground-track-field,6,2,0.333
1,harbor,682,525,0.77
1,helicopter,9,0,0.0
1,large-vehicle,646,601,0.93
1,plane,318,253,0.796
1,roundabout,5,0,0.0
1,ship,6489,6082,0.937
1,small-vehicle,1564,1172,0.749
1,soccer-ball-field,21,15,0.714
1,swimming-pool,205,176,0.859
1,tennis-court,440,427,0.97
20,baseball-diamond,41,2,0.049
20,basketball-court,44,21,0.477
20,ground-track-field,6,1,0.167
20,harbor,682,286,0.419
20,helicopter,9,0,0.0
20,large-vehicle,646,492,0.762
20,plane,318,206,0.648
20,roundabout,5,0,0.0
20,ship,6489,4573,0.705
20,small-vehicle,1564,883,0.565
20,soccer-ball-field,21,9,0.429
20,swimming-pool,205,146,0.712
20,tennis-court,440,425,0.966
32,baseball-diamond,41,4,0.098
32,basketball-court,44,43,0.977
32,ground-track-field,6,1,0.167
32,harbor,682,558,0.818
32,helicopter,9,1,0.111
32,large-vehicle,646,596,0.923
32,plane,318,250,0.786
32,roundabout,5,0,0.0
32,ship,6489,6065,0.935
32,small-vehicle,1564,1175,0.751
32,soccer-ball-field,21,15,0.714
32,swimming-pool,205,184,0.898
32,tennis-court,440,424,0.964
