dataset,detector,group,p75,p90,p95,p99
DIOR-R,orcnn,masked,2.257,4.004,5.471,11.962
DIOR-R,orcnn,unmasked,,4.723,,89.443
DIOR-R,psc,masked,2.052,3.836,5.227,10.048
DIOR-R,psc,unmasked,,4.615,,89.954
DIOR-R,rtmdet,masked,2.327,4.088,5.523,12.753
DIOR-R,rtmdet,unmasked,,4.619,,89.634
DIOR-R,lsknet,masked,2.295,3.947,5.33,10.903
DIOR-R,lsknet,unmasked,,4.6,,89.33
DIOR-R,strip,masked,2.469,4.161,5.62,12.313
DIOR-R,strip,unmasked,,4.976,,89.172
DIOR-R,arsdetr,masked,6.21,8.489,14.417,26.142
DIOR-R,arsdetr,unmasked,,81.873,,89.5
FAIR1M-v1.0,orcnn,masked,3.49,5.415,6.77,10.863
FAIR1M-v1.0,orcnn,unmasked,,5.761,,88.434
FAIR1M-v1.0,psc,masked,3.334,5.386,6.771,10.953
FAIR1M-v1.0,psc,unmasked,,5.978,,89.236
FAIR1M-v1.0,lsknet,masked,3.277,5.073,6.4,9.989
FAIR1M-v1.0,lsknet,unmasked,,5.364,,88.001
SODA-A,orcnn,masked,3.496,5.937,8.005,15.461
SODA-A,orcnn,unmasked,,6.767,,89.749
SODA-A,psc,masked,3.023,5.249,7.237,16.111
SODA-A,psc,unmasked,,6.241,,89.984
SODA-A,lsknet,masked,3.117,5.327,7.264,14.86
SODA-A,lsknet,unmasked,,6.111,,89.82
