dataset,baseline_id,detector,n_masked,NRC,ci95_lo,ci95_hi,gt1_significant
DOTA-v1.0,20,psc,14404,0.8403,0.7873,0.9003,False
FAIR1M-v1.0,24,psc,32100,1.0825,1.0268,1.134,True
SODA-A,23,psc,224991,1.2596,1.2384,1.2812,True
DIOR-R,22,psc,23362,0.5494,0.529,0.5721,False
DIOR-R,3,orcnn,28437,0.5212,0.5055,0.5371,False
DIOR-R,10,lsknet,29363,0.5294,0.5139,0.5449,False
DIOR-R,61,rtmdet,28583,0.4274,0.4135,0.4406,False
FAIR1M-v1.0,5,orcnn,48969,0.845,0.8235,0.8712,False
FAIR1M-v1.0,12,lsknet,53400,0.8256,0.8054,0.8479,False
SODA-A,4,orcnn,323616,0.8323,0.8228,0.8432,False
SODA-A,11,lsknet,273498,0.7632,0.7553,0.771,False
