archetype,detector_family,dataset,representative_baseline_id,required_env,env_installed,status,formal_capability,formal_scope
two_stage_oriented_rcnn,oriented_rcnn,DOTA-v1.0,1,mr_dev1x,True,already_available,formal_capable,formal_compatible
two_stage_oriented_rcnn,oriented_rcnn,DOTA-v1.5,2,mr_dev1x,True,ready_to_run,formal_capable,formal_compatible
two_stage_oriented_rcnn,oriented_rcnn,DIOR-R,3,mr_dev1x,True,ready_to_run,formal_capable,cross_dataset_exploratory
two_stage_oriented_rcnn,oriented_rcnn,HRSC2016,6,mr_dev1x,True,ready_to_run,formal_capable,cross_dataset_exploratory
two_stage_oriented_rcnn,oriented_rcnn,FAIR1M-v1.0,5,mr_dev1x,True,ready_to_run,formal_capable,cross_dataset_exploratory
angle_coder_psc,rotated_retinanet_psc,DOTA-v1.0,20,mr_dev1x,True,already_available,formal_capable,formal_compatible
angle_coder_psc,rotated_retinanet_psc,DOTA-v1.5,,mr_dev1x,True,not_applicable,formal_capable,formal_compatible
angle_coder_psc,rotated_retinanet_psc,DIOR-R,22,mr_dev1x,True,ready_to_run,formal_capable,cross_dataset_exploratory
angle_coder_psc,rotated_retinanet_psc,HRSC2016,,mr_dev1x,True,not_applicable,formal_capable,cross_dataset_exploratory
angle_coder_psc,rotated_retinanet_psc,FAIR1M-v1.0,24,mr_dev1x,True,ready_to_run,formal_capable,cross_dataset_exploratory
one_stage_rtmdet,rotated_rtmdet,DOTA-v1.0,32,mr_dev1x,True,already_available,formal_capable,formal_compatible
one_stage_rtmdet,rotated_rtmdet,DOTA-v1.5,,mr_dev1x,True,not_applicable,formal_capable,formal_compatible
one_stage_rtmdet,rotated_rtmdet,DIOR-R,,mr_dev1x,True,not_applicable,formal_capable,cross_dataset_exploratory
one_stage_rtmdet,rotated_rtmdet,HRSC2016,,mr_dev1x,True,not_applicable,formal_capable,cross_dataset_exploratory
one_stage_rtmdet,rotated_rtmdet,FAIR1M-v1.0,,mr_dev1x,True,not_applicable,formal_capable,cross_dataset_exploratory
rotated_detr_rhino,RHINO_host,DOTA-v1.0,rhino,ai4rs_train,True,already_available,formal_capable_locked_host,formal_compatible
rotated_detr_rhino,RHINO_host,DOTA-v1.5,,ai4rs_train,True,not_applicable,formal_capable_locked_host,formal_compatible
rotated_detr_rhino,RHINO_host,DIOR-R,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
