archetype,dataset,baseline_id,D2_orientation_reliability,D2_NRC_AUC,D2_Risk@90,C1_augmentation_view,A4_source_attribution
two_stage_oriented_rcnn,DOTA-v1.0,1,formal_compatible,0.5699,1.1773,not_applicable_or_exploratory,not_applicable_or_exploratory
angle_coder_psc,DOTA-v1.0,20,formal_compatible,1.0574,1.3539,not_applicable_or_exploratory,not_applicable_or_exploratory
rotated_detr_rhino,DOTA-v1.0,rhino,formal_compatible,0.771,2.0475,formal_frozen,not_applicable_or_exploratory
hybrid_encoder_oriented_detr_a4,DOTA-v1.5,a4_host,formal_compatible,0.5515,2.3314,not_applicable_or_exploratory,formal_frozen
two_stage_oriented_rcnn,DOTA-v1.5,2,formal_compatible,0.6943,2.3603,not_applicable_or_exploratory,not_applicable_or_exploratory
one_stage_rtmdet,DOTA-v1.5,33,formal_compatible,0.6263,2.4322,not_applicable_or_exploratory,not_applicable_or_exploratory
one_stage_rtmdet_m,DOTA-v1.5,39,formal_compatible,0.6156,2.3153,not_applicable_or_exploratory,not_applicable_or_exploratory
lsknet_backbone,DOTA-v1.0,7,formal_compatible,0.7138,1.9479,not_applicable_or_exploratory,not_applicable_or_exploratory
strip_rcnn,DOTA-v1.0,35,formal_compatible,0.7167,1.9425,not_applicable_or_exploratory,not_applicable_or_exploratory
weakly_supervised_h2rbox,DOTA-v1.0,70,formal_compatible,0.7602,2.5552,not_applicable_or_exploratory,not_applicable_or_exploratory
