dataset,split,class_name,count,gv_mean,gv_median,gv_p10,gv_p90,obb_needed_mean,near_square_count,valid_count,invalid_count
DIOR-R,trainval,Expressway-Service-area,23,0.58099,0.53273,0.43491,0.76776,0.41901,0,23,0
DIOR-R,trainval,Expressway-toll-station,7,0.63235,0.64519,0.44655,0.79866,0.36765,2,7,0
DIOR-R,trainval,airplane,40,0.85733,1.0,0.53146,1.0,0.14267,26,40,0
DIOR-R,trainval,airport,12,0.47873,0.33244,0.17337,0.99328,0.52127,1,12,0
DIOR-R,trainval,baseballfield,46,0.88626,0.98889,0.61986,1.0,0.11374,45,46,0
DIOR-R,trainval,basketballcourt,8,0.90038,0.96051,0.70588,1.0,0.09962,0,8,0
DIOR-R,trainval,bridge,13,0.64659,0.68179,0.27902,1.0,0.35341,1,13,0
DIOR-R,trainval,chimney,6,1.0,1.0,1.0,1.0,0.0,4,6,0
DIOR-R,trainval,dam,13,0.48925,0.42136,0.19911,0.9579,0.51075,0,13,0
DIOR-R,trainval,golffield,6,0.92937,0.97843,0.80969,1.0,0.07063,1,6,0
DIOR-R,trainval,groundtrackfield,20,0.77245,0.81063,0.48737,1.0,0.22755,0,20,0
DIOR-R,trainval,harbor,44,0.66029,0.64925,0.30101,1.0,0.33971,1,44,0
DIOR-R,trainval,overpass,8,0.55022,0.56882,0.30669,0.77029,0.44978,0,8,0
DIOR-R,trainval,ship,434,0.83508,1.0,0.43974,1.0,0.16492,1,434,0
DIOR-R,trainval,stadium,11,0.87519,1.0,0.52691,1.0,0.12481,2,11,0
DIOR-R,trainval,storagetank,44,0.99484,1.0,1.0,1.0,0.00516,39,44,0
DIOR-R,trainval,tenniscourt,74,0.89947,0.95975,0.60568,1.0,0.10053,0,74,0
DIOR-R,trainval,trainstation,10,0.86869,0.95309,0.5688,1.0,0.13131,0,10,0
DIOR-R,trainval,vehicle,182,0.74339,0.78429,0.42479,1.0,0.25661,1,182,0
DIOR-R,trainval,windmill,18,0.92309,1.0,0.65551,1.0,0.07691,5,18,0
DOTA-v1.0,train,baseball-diamond,4,0.9077,0.9041,0.90177,0.9165,0.0923,4,4,0
DOTA-v1.0,train,harbor,258,0.60118,0.63377,0.23103,0.95261,0.39882,0,258,0
DOTA-v1.0,train,large-vehicle,1521,0.45551,0.37819,0.23804,0.88683,0.54449,1,1521,0
DOTA-v1.0,train,plane,95,0.6912,0.58509,0.54603,0.94543,0.3088,48,95,0
DOTA-v1.0,train,ship,46,0.79739,0.83759,0.55447,0.9654,0.20261,0,46,0
DOTA-v1.0,train,small-vehicle,837,0.58539,0.48371,0.42168,0.94337,0.41461,0,837,0
DOTA-v1.0,train,soccer-ball-field,2,0.94125,0.94125,0.94125,0.94125,0.05875,0,2,0
DOTA-v1.0,train,tennis-court,11,0.9249,0.92368,0.91639,0.92759,0.0751,0,11,0
DOTA-v1.5,train,baseball-diamond,4,0.9077,0.9041,0.90177,0.9165,0.0923,4,4,0
DOTA-v1.5,train,harbor,274,0.6926,0.74045,0.33409,0.96594,0.3074,0,274,0
DOTA-v1.5,train,large-vehicle,1705,0.49487,0.40732,0.24085,0.95337,0.50513,1,1705,0
DOTA-v1.5,train,plane,94,0.6946,0.60103,0.53744,0.94548,0.3054,47,94,0
DOTA-v1.5,train,ship,187,0.75254,0.79085,0.46424,1.0,0.24746,0,187,0
DOTA-v1.5,train,small-vehicle,4443,0.76659,0.86804,0.44695,1.0,0.23341,0,4443,0
DOTA-v1.5,train,soccer-ball-field,2,0.94125,0.94125,0.94125,0.94125,0.05875,0,2,0
DOTA-v1.5,train,storage-tank,5,1.0,1.0,1.0,1.0,0.0,4,5,0
DOTA-v1.5,train,swimming-pool,2,0.95697,0.95697,0.95697,0.95697,0.04303,0,2,0
DOTA-v1.5,train,tennis-court,11,0.9249,0.92368,0.91639,0.92759,0.0751,0,11,0
FAIR1M-v1.0,train,A220,77,0.58875,0.51984,0.50142,0.84156,0.41125,61,77,0
FAIR1M-v1.0,train,A321,24,0.60596,0.55375,0.49754,0.81292,0.39404,6,24,0
FAIR1M-v1.0,train,A330,5,0.63101,0.6336,0.52289,0.75499,0.36899,3,5,0
FAIR1M-v1.0,train,A350,5,0.60454,0.54075,0.52644,0.74331,0.39546,4,5,0
FAIR1M-v1.0,train,Baseball Field,6,0.73891,0.7325,0.60569,0.87854,0.26109,0,6,0
FAIR1M-v1.0,train,Basketball Court,18,0.55837,0.49168,0.46284,0.87928,0.44163,0,18,0
FAIR1M-v1.0,train,Boeing737,40,0.58641,0.5327,0.50134,0.79734,0.41359,29,40,0
FAIR1M-v1.0,train,Boeing747,10,0.5852,0.53023,0.50251,0.74452,0.4148,8,10,0
FAIR1M-v1.0,train,Boeing777,5,0.61443,0.54051,0.51811,0.76699,0.38557,5,5,0
FAIR1M-v1.0,train,Boeing787,8,0.5779,0.53877,0.51147,0.65743,0.4221,8,8,0
FAIR1M-v1.0,train,Bridge,11,0.52403,0.49385,0.21806,1.0,0.47597,0,11,0
FAIR1M-v1.0,train,Bus,10,0.50136,0.4467,0.32756,0.72402,0.49864,0,10,0
FAIR1M-v1.0,train,C919,4,0.79354,0.85764,0.60423,0.93158,0.20646,1,4,0
FAIR1M-v1.0,train,Cargo Truck,46,0.67294,0.62989,0.40485,1.0,0.32706,0,46,0
FAIR1M-v1.0,train,Dry Cargo Ship,77,0.41297,0.36302,0.23272,0.70756,0.58703,0,77,0
FAIR1M-v1.0,train,Dump Truck,226,0.66536,0.59544,0.41197,1.0,0.33464,0,226,0
FAIR1M-v1.0,train,Engineering Ship,6,0.4214,0.41836,0.37474,0.47111,0.5786,0,6,0
FAIR1M-v1.0,train,Excavator,2,0.82979,0.82979,0.69363,0.96596,0.17021,1,2,0
FAIR1M-v1.0,train,Fishing Boat,24,0.51763,0.4367,0.25382,1.0,0.48237,0,24,0
FAIR1M-v1.0,train,Football Field,9,0.73947,0.82606,0.50678,0.95474,0.26053,0,9,0
FAIR1M-v1.0,train,Intersection,70,0.68496,0.59781,0.52148,0.95746,0.31504,40,70,0
FAIR1M-v1.0,train,Liquid Cargo Ship,23,0.42732,0.34181,0.25727,0.76852,0.57268,0,23,0
FAIR1M-v1.0,train,Motorboat,21,0.53024,0.43998,0.37496,1.0,0.46976,0,21,0
FAIR1M-v1.0,train,Passenger Ship,8,0.6036,0.5,0.41442,1.0,0.3964,0,8,0
FAIR1M-v1.0,train,Roundabout,7,0.93023,1.0,0.80465,1.0,0.06977,6,7,0
FAIR1M-v1.0,train,Small Car,1026,0.6744,0.60331,0.4355,1.0,0.3256,1,1026,0
FAIR1M-v1.0,train,Tennis Court,53,0.67751,0.57621,0.44636,0.97293,0.32249,4,53,0
FAIR1M-v1.0,train,Tractor,2,1.0,1.0,1.0,1.0,0.0,0,2,0
FAIR1M-v1.0,train,Truck Tractor,2,0.90075,0.90075,0.89622,0.90529,0.09925,0,2,0
FAIR1M-v1.0,train,Tugboat,4,0.50013,0.46478,0.415,0.61353,0.49987,0,4,0
FAIR1M-v1.0,train,Van,942,0.70034,0.66257,0.43824,1.0,0.29966,3,942,0
FAIR1M-v1.0,train,Warship,2,0.87144,0.87144,0.8196,0.92328,0.12856,0,2,0
FAIR1M-v1.0,train,other-airplane,63,0.62497,0.53739,0.49999,0.87143,0.37503,30,63,0
FAIR1M-v1.0,train,other-ship,31,0.48931,0.45066,0.34345,0.57905,0.51069,0,31,0
FAIR1M-v1.0,train,other-vehicle,7,0.67831,0.6246,0.51253,0.86264,0.32169,0,7,0
HRSC2016,trainval,100000001,149,0.42076,0.33614,0.25168,0.74347,0.57924,0,149,0
HRSC2016,trainval,100000003,12,0.35136,0.35713,0.26725,0.4821,0.64864,0,12,0
HRSC2016,trainval,100000005,18,0.50324,0.43735,0.32127,0.85226,0.49676,0,18,0
HRSC2016,trainval,100000007,87,0.35703,0.25525,0.22256,0.65996,0.64297,0,87,0
HRSC2016,trainval,100000008,33,0.3813,0.29631,0.2419,0.63963,0.6187,0,33,0
HRSC2016,trainval,100000009,37,0.35185,0.26961,0.2065,0.63321,0.64815,0,37,0
HRSC2016,trainval,100000010,8,0.31541,0.27635,0.2552,0.43386,0.68459,0,8,0
HRSC2016,trainval,100000011,67,0.321,0.21438,0.18938,0.61673,0.679,0,67,0
HRSC2016,trainval,100000013,8,0.58679,0.51912,0.35747,0.84627,0.41321,0,8,0
HRSC2016,trainval,100000015,37,0.4195,0.31936,0.26693,0.74838,0.5805,0,37,0
HRSC2016,trainval,100000016,45,0.42257,0.34719,0.25435,0.75646,0.57743,0,45,0
HRSC2016,trainval,100000018,2,0.54905,0.54905,0.51035,0.58775,0.45095,0,2,0
HRSC2016,trainval,100000019,22,0.42791,0.38584,0.2507,0.66626,0.57209,0,22,0
HRSC2016,trainval,100000022,23,0.65919,0.75588,0.43342,0.86816,0.34081,0,23,0
