baseline_id,model_id,dataset,config,checkpoint,repo_env_clue,gpu_suggestion,expected_output_path,needs_prediction_schema_conversion,blocked_reason,executable_now
1,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_7061_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline1_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
2,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val/best_mAP_6531_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline2_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
3,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/cell03_orcnn_dior_sgd_lr020.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test/best_dota_mAP_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline3_DIOR-R.pkl,True,(none — inference approval-gated),False
4,oriented_rcnn_r50_fpn_1x_le90,SODA-A,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/SODA_train_val/best_mAP_7295_epoch_09.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: SODA-A,False
5,oriented_rcnn_r50_fpn_1x_le90,FAIR1M-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/FAIR1M_train_only_val/best_mAP_5900_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline5_FAIR1M-v1.0.pkl,True,(none — inference approval-gated),False
6,oriented_rcnn_r50_fpn_3x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/cell06_orcnn_hrsc_3x_sgd_lr020.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_3x_le90/HRSC_trainval_test/best_dota_mAP_epoch_34.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline6_HRSC2016.pkl,True,(none — inference approval-gated),False
7,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/cell07_lsknet_dota10_lr2e-4.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val/best_mAP_epoch_11.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline7_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
8,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/cell08_lsknet_dota15ss_lr2e-4.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_SS_train_val/best_mAP_epoch_10.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline8_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
9,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5 MS,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_MS_train_val/best_mAP_6732_epoch_11.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline9_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
10,oriented_rcnn_lsknet_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test/best_mAP_7187_epoch_12.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline10_DIOR-R.pkl,True,(none — inference approval-gated),False
