ar_threshold,dataset,baseline_id,selector,n_cal,n_audit,NRC,AURC,AURC_oracle,Risk@70,Risk@90,p90_at70cov,p95_at70cov,p99_at70cov,delta_ci_lo,delta_ci_hi,p3_better_sig
primary_ar1.6,DOTA-v1.0,20,score_only,7037,6696,0.7035,1.611,0.7754,1.839,1.928,3.97,4.93,7.45,,,
primary_ar1.6,DOTA-v1.0,20,score_ar_linear,7037,6696,0.698,1.6045,0.7754,1.747,1.875,3.78,4.74,6.57,,,
primary_ar1.6,DOTA-v1.0,20,p3_nonlinear,7037,6696,0.5472,1.4254,0.7754,1.689,1.843,3.67,4.61,6.47,,,
primary_ar1.6,DOTA-v1.0,20,DELTA_linear_minus_p3,,6696,0.1498,,,,,,,,0.1309,0.1707,True
primary_ar1.6,DOTA-v1.0,20,p3_perm_importance,,,"{""score"": 0.049, ""log_ar"": 0.049, ""sqrt_area"": 0.327, ""gv_obb_needed"": 0.025, ""w"": 0.828, ""h"": 0.312}",,,,,,,,,,
primary_ar1.6,DIOR-R,22,score_only,10623,10999,0.5629,1.0871,0.4359,1.364,1.556,3.43,4.54,7.25,,,
primary_ar1.6,DIOR-R,22,score_ar_linear,10623,10999,0.6686,1.2094,0.4359,1.329,1.521,3.4,4.49,6.93,,,
primary_ar1.6,DIOR-R,22,p3_nonlinear,10623,10999,0.3535,0.8449,0.4359,1.122,1.396,2.98,4.04,6.57,,,
primary_ar1.6,DIOR-R,22,DELTA_linear_minus_p3,,10999,0.3144,,,,,,,,0.2879,0.3392,True
primary_ar1.6,DIOR-R,22,p3_perm_importance,,,"{""score"": 0.092, ""log_ar"": 0.019, ""sqrt_area"": 0.972, ""gv_obb_needed"": 0.253, ""w"": 0.817, ""h"": 1.717}",,,,,,,,,,
primary_ar1.6,FAIR1M-v1.0,24,score_only,15073,13796,0.896,2.2197,0.8,2.333,2.37,5.33,6.6,9.95,,,
primary_ar1.6,FAIR1M-v1.0,24,score_ar_linear,15073,13796,0.7596,2.0036,0.8,2.257,2.342,5.11,6.38,9.59,,,
primary_ar1.6,FAIR1M-v1.0,24,p3_nonlinear,15073,13796,0.52,1.6239,0.8,2.061,2.259,4.84,6.16,8.8,,,
primary_ar1.6,FAIR1M-v1.0,24,DELTA_linear_minus_p3,,13796,0.2393,,,,,,,,0.2169,0.2629,True
primary_ar1.6,FAIR1M-v1.0,24,p3_perm_importance,,,"{""score"": 0.007, ""log_ar"": 0.043, ""sqrt_area"": 0.041, ""gv_obb_needed"": 0.113, ""w"": 0.542, ""h"": 0.347}",,,,,,,,,,
primary_ar1.6,SODA-A,23,score_only,103262,105343,0.9823,2.1574,0.7151,2.065,2.133,4.7,6.34,10.91,,,
primary_ar1.6,SODA-A,23,score_ar_linear,103262,105343,0.6184,1.6231,0.7151,1.89,2.036,4.36,5.75,9.15,,,
primary_ar1.6,SODA-A,23,p3_nonlinear,103262,105343,0.389,1.2863,0.7151,1.64,1.943,3.78,4.96,8.13,,,
primary_ar1.6,SODA-A,23,DELTA_linear_minus_p3,,105343,0.2297,,,,,,,,0.223,0.2358,True
primary_ar1.6,SODA-A,23,p3_perm_importance,,,"{""score"": 0.008, ""log_ar"": 0.084, ""sqrt_area"": 0.627, ""gv_obb_needed"": 0.209, ""w"": 1.862, ""h"": 1.183}",,,,,,,,,,
sens_ar1.3,DOTA-v1.0,20,score_only,7247,6953,0.7208,1.709,0.7815,1.967,2.044,4.03,5.04,8.11,,,
sens_ar1.3,DOTA-v1.0,20,score_ar_linear,7247,6953,0.6703,1.6439,0.7815,1.772,1.898,3.84,4.82,6.68,,,
sens_ar1.3,DOTA-v1.0,20,p3_nonlinear,7247,6953,0.5397,1.476,0.7815,1.708,1.876,3.7,4.6,6.48,,,
sens_ar1.3,DOTA-v1.0,20,DELTA_linear_minus_p3,,6953,0.1306,,,,,,,,0.1088,0.1526,True
sens_ar1.3,DOTA-v1.0,20,p3_perm_importance,,,"{""score"": 0.118, ""log_ar"": 0.094, ""sqrt_area"": 0.254, ""gv_obb_needed"": 0.023, ""w"": 0.878, ""h"": 0.512}",,,,,,,,,,
sens_ar1.3,DIOR-R,22,score_only,11063,11428,0.5605,1.1212,0.427,1.425,1.628,3.44,4.58,7.44,,,
sens_ar1.3,DIOR-R,22,score_ar_linear,11063,11428,0.6641,1.2496,0.427,1.335,1.558,3.43,4.53,6.98,,,
sens_ar1.3,DIOR-R,22,p3_nonlinear,11063,11428,0.3668,0.8813,0.427,1.154,1.442,3.01,4.09,7.22,,,
sens_ar1.3,DIOR-R,22,DELTA_linear_minus_p3,,11428,0.2976,,,,,,,,0.2643,0.3311,True
sens_ar1.3,DIOR-R,22,p3_perm_importance,,,"{""score"": 0.085, ""log_ar"": 0.026, ""sqrt_area"": 1.083, ""gv_obb_needed"": 0.244, ""w"": 2.504, ""h"": 1.569}",,,,,,,,,,
sens_ar1.3,FAIR1M-v1.0,24,score_only,15951,14595,0.943,2.357,0.7976,2.411,2.439,5.36,6.63,10.35,,,
sens_ar1.3,FAIR1M-v1.0,24,score_ar_linear,15951,14595,0.7573,2.0499,0.7976,2.308,2.389,5.15,6.41,9.75,,,
sens_ar1.3,FAIR1M-v1.0,24,p3_nonlinear,15951,14595,0.5577,1.7199,0.7976,2.068,2.279,4.87,6.17,8.78,,,
