archetype,head_type,default_score,available,probe,expected_effect,measured_effect,is_template,notes
two_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Oriented R-CNN R50 two-stage angle regression
two_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Oriented R-CNN R50 two-stage angle regression
two_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Oriented R-CNN R50 two-stage angle regression
two_stage_regression_strong_backbone,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,LSKNet / Strip R-CNN strong-backbone two-stage
two_stage_regression_strong_backbone,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,LSKNet / Strip R-CNN strong-backbone two-stage
two_stage_regression_strong_backbone,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,LSKNet / Strip R-CNN strong-backbone two-stage
one_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RetinaNet vanilla regression
one_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RetinaNet vanilla regression
one_stage_regression,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RetinaNet vanilla regression
one_stage_dense_realtime,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RTMDet real-time dense
one_stage_dense_realtime,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RTMDet real-time dense
one_stage_dense_realtime,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated RTMDet real-time dense
angle_coder_psc,angle_distribution_head,negative_normalized_angle_entropy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,PSC angle-coder -> phase distribution
angle_coder_psc,angle_distribution_head,negative_normalized_angle_entropy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,PSC angle-coder -> phase distribution
angle_coder_psc,angle_distribution_head,negative_normalized_angle_entropy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,PSC angle-coder -> phase distribution
detr_angle_distribution,angle_distribution_head,negative_normalized_angle_entropy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,ARS-DETR ARCSL angle distribution (NOT a RHINO substitute)
detr_angle_distribution,angle_distribution_head,negative_normalized_angle_entropy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,ARS-DETR ARCSL angle distribution (NOT a RHINO substitute)
detr_angle_distribution,angle_distribution_head,negative_normalized_angle_entropy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,ARS-DETR ARCSL angle distribution (NOT a RHINO substitute)
rotated_detr_rhino,angle_distribution_head,negative_normalized_angle_entropy,False,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,"RHINO-style rotated DETR — MISSING in pth_data/readme.md (C1/B host, R6)"
rotated_detr_rhino,angle_distribution_head,negative_normalized_angle_entropy,False,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,"RHINO-style rotated DETR — MISSING in pth_data/readme.md (C1/B host, R6)"
rotated_detr_rhino,angle_distribution_head,negative_normalized_angle_entropy,False,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,"RHINO-style rotated DETR — MISSING in pth_data/readme.md (C1/B host, R6)"
weakly_supervised,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,weak-supervision OBB (H2RBox-v2 / Point2RBox-v2)
weakly_supervised,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,weak-supervision OBB (H2RBox-v2 / Point2RBox-v2)
weakly_supervised,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,weak-supervision OBB (H2RBox-v2 / Point2RBox-v2)
pseudo_label,pure_regression_head,calibrated_gv_obliquity_proxy,True,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated FCOS pseudo-label baseline
pseudo_label,pure_regression_head,calibrated_gv_obliquity_proxy,True,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated FCOS pseudo-label baseline
pseudo_label,pure_regression_head,calibrated_gv_obliquity_proxy,True,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,Rotated FCOS pseudo-label baseline
hybrid_encoder_oriented_detr,native_quality_head,native_plus_benchcore_default_comparison,False,background_phase,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,A-gate-1 must run on this frozen host; not yet provided
hybrid_encoder_oriented_detr,native_quality_head,native_plus_benchcore_default_comparison,False,layout_masking,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,A-gate-1 must run on this frozen host; not yet provided
hybrid_encoder_oriented_detr,native_quality_head,native_plus_benchcore_default_comparison,False,domain_survival,PENDING_PREREGISTRATION,PENDING_MEASUREMENT,True,A-gate-1 must run on this frozen host; not yet provided
