dataset,baseline_id,track,n_cal,n_audit,NRC,NRC_ci,Risk@70,Risk@90,AURC,AURC_oracle,p90,p99,note
DIOR-R,22,B_detscore,11488,11874,0.5574,"[0.53, 0.586]",1.488,1.751,1.18,0.411,3.92,10.31,
DIOR-R,22,C_posthoc,11488,11874,0.5102,"[0.458, 0.585]",1.315,1.466,1.114,0.411,3.92,10.31,
DIOR-R,22,A_intrinsic,,,,,,,,,,,unavailable_in_saved_preds_needs_forward_dump (PSCCoder encode_size=6 phase code)
DOTA-v1.0,20,B_detscore,7360,7044,0.7401,"[0.69, 0.796]",2.105,2.152,1.827,0.786,4.32,9.45,
DOTA-v1.0,20,C_posthoc,7360,7044,0.5025,"[0.469, 0.542]",1.735,1.882,1.493,0.786,4.32,9.45,
DOTA-v1.0,20,A_intrinsic,,,,,,,,,,,unavailable_in_saved_preds_needs_forward_dump (PSCCoder encode_size=6 phase code)
FAIR1M-v1.0,24,B_detscore,16806,15294,1.1534,"[1.074, 1.233]",2.703,2.678,2.967,0.796,5.47,11.31,
FAIR1M-v1.0,24,C_posthoc,16806,15294,0.627,"[0.593, 0.669]",2.242,2.376,1.976,0.796,5.47,11.31,
FAIR1M-v1.0,24,A_intrinsic,,,,,,,,,,,unavailable_in_saved_preds_needs_forward_dump (PSCCoder encode_size=6 phase code)
SODA-A,23,B_detscore,111224,113767,1.2538,"[1.226, 1.283]",2.604,2.577,3.071,0.715,5.22,16.01,
SODA-A,23,C_posthoc,111224,113767,0.4635,"[0.449, 0.482]",1.851,2.085,1.585,0.715,5.22,16.01,
SODA-A,23,A_intrinsic,,,,,,,,,,,unavailable_in_saved_preds_needs_forward_dump (PSCCoder encode_size=6 phase code)
