dataset,baseline_id,detector,ar_bin,n,NRC_AUC,median_err,p90,p99
DIOR-R,3,orcnn,1.0-1.1,2597,0.9731,1.68,89.51,89.95
DIOR-R,3,orcnn,1.1-1.3,1431,0.4261,0.97,26.04,89.73
DIOR-R,3,orcnn,1.3-1.6,1111,0.4595,1.06,6.25,84.18
DIOR-R,3,orcnn,1.6-2.0,1856,0.4704,1.2,5.61,44.39
DIOR-R,3,orcnn,2.0-3.0,15994,0.4728,1.06,4.05,9.58
DIOR-R,3,orcnn,3.0-100.0,8523,0.754,1.06,3.55,7.33
DIOR-R,22,psc,1.0-1.1,2458,0.9349,0.94,89.95,90.0
DIOR-R,22,psc,1.1-1.3,1275,0.6405,0.08,15.37,89.98
DIOR-R,22,psc,1.3-1.6,925,0.8882,0.24,5.21,89.88
DIOR-R,22,psc,1.6-2.0,1428,0.5307,0.69,4.26,44.99
DIOR-R,22,psc,2.0-3.0,13923,0.4891,0.74,3.88,8.12
DIOR-R,22,psc,3.0-100.0,6292,0.7945,0.85,3.68,7.45
DIOR-R,10,lsknet,1.0-1.1,2629,0.8939,2.09,89.41,89.96
DIOR-R,10,lsknet,1.1-1.3,1487,0.334,1.28,20.69,89.5
DIOR-R,10,lsknet,1.3-1.6,1153,0.416,1.29,6.82,87.78
DIOR-R,10,lsknet,1.6-2.0,1971,0.49,1.29,5.47,31.71
DIOR-R,10,lsknet,2.0-3.0,16288,0.4816,1.09,3.98,8.93
DIOR-R,10,lsknet,3.0-100.0,8860,0.7571,1.06,3.47,6.81
DIOR-R,47,strip,1.0-1.1,2579,1.0081,2.7,89.24,89.92
DIOR-R,47,strip,1.1-1.3,1382,0.3238,1.8,35.67,89.31
DIOR-R,47,strip,1.3-1.6,1027,0.3656,1.76,9.58,86.89
DIOR-R,47,strip,1.6-2.0,1681,0.4474,1.4,6.45,45.93
DIOR-R,47,strip,2.0-3.0,15775,0.4742,1.16,4.12,9.35
DIOR-R,47,strip,3.0-100.0,8408,0.8188,1.11,3.56,6.83
FAIR1M-v1.0,24,psc,1.0-1.1,3072,1.1676,1.96,89.13,89.95
FAIR1M-v1.0,24,psc,1.1-1.3,2878,1.0986,1.46,27.64,89.84
FAIR1M-v1.0,24,psc,1.3-1.6,1793,1.1315,1.66,6.67,87.51
FAIR1M-v1.0,24,psc,1.6-2.0,7109,0.8053,1.89,5.94,11.08
FAIR1M-v1.0,24,psc,2.0-3.0,16549,0.9803,1.94,5.52,10.02
FAIR1M-v1.0,24,psc,3.0-100.0,5257,0.867,1.14,3.82,7.63
SODA-A,23,psc,1.0-1.1,15104,0.9595,2.36,89.99,90.0
SODA-A,23,psc,1.1-1.3,12006,0.8383,1.5,89.92,90.0
SODA-A,23,psc,1.3-1.6,10566,0.8016,1.73,13.35,89.99
SODA-A,23,psc,1.6-2.0,34087,1.1794,2.09,7.22,21.39
SODA-A,23,psc,2.0-3.0,138013,0.9679,1.58,5.01,10.18
SODA-A,23,psc,3.0-100.0,36903,0.8473,0.75,2.53,5.64
SODA-A,4,orcnn,1.0-1.1,17245,0.9527,2.91,89.83,89.98
SODA-A,4,orcnn,1.1-1.3,13387,0.7377,1.73,89.45,89.96
SODA-A,4,orcnn,1.3-1.6,12748,0.7137,2.08,13.09,89.78
SODA-A,4,orcnn,1.6-2.0,58417,0.9253,2.48,7.77,17.96
SODA-A,4,orcnn,2.0-3.0,194813,0.8535,1.87,5.66,11.63
SODA-A,4,orcnn,3.0-100.0,51298,0.5907,0.9,2.94,6.56
