dataset,baseline_id,detector,n_masked,n_unmasked,masked_p75,masked_p90,masked_p95,masked_p99,unmasked_p90,unmasked_p99
DIOR-R,3,orcnn,28437,31512,2.257,4.004,5.471,11.962,4.723,89.443
DIOR-R,22,psc,23362,26301,2.052,3.836,5.227,10.048,4.615,89.954
DIOR-R,61,rtmdet,28583,31600,2.327,4.088,5.523,12.753,4.619,89.634
DIOR-R,10,lsknet,29363,32388,2.295,3.947,5.33,10.903,4.6,89.33
DIOR-R,47,strip,27846,30852,2.469,4.161,5.62,12.313,4.976,89.172
DIOR-R,16,arsdetr,33,44,6.21,8.489,14.417,26.142,81.873,89.5
FAIR1M-v1.0,5,orcnn,48969,53161,3.49,5.415,6.77,10.863,5.761,88.434
FAIR1M-v1.0,24,psc,32100,36658,3.334,5.386,6.771,10.953,5.978,89.236
FAIR1M-v1.0,12,lsknet,53400,57745,3.277,5.073,6.4,9.989,5.364,88.001
SODA-A,4,orcnn,323616,347908,3.496,5.937,8.005,15.461,6.767,89.749
SODA-A,23,psc,224991,246679,3.023,5.249,7.237,16.111,6.241,89.984
SODA-A,11,lsknet,273498,295666,3.117,5.327,7.264,14.86,6.111,89.82
