key,field,a,b,abs_diff,consistent
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,level,dataset,dataset,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,key,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dataset,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,risk,R_norm,R_norm,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,estimand,class-standardized,class-standardized,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,contrast,ARonly-conf,ARonly-conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,left_ranker,ARonly,ARonly,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,right_ranker,conf,conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,endpoint,AUGRC,AUGRC,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,primary,True,True,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,witness,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_ar21,0.0076655532060089,0.0076655532060089,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_all,0.0225505661504388,0.0225505661504388,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dod,-0.0148850129444298,-0.0148850129444298,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_ar21_ci_low,0.0047662574426681,0.0047662574426681,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_ar21_ci_high,0.010253040543551,0.010253040543551,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_all_ci_low,0.0208449667673288,0.0208449667673288,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,delta_all_ci_high,0.0241104391925147,0.0241104391925147,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dod_ci_low,-0.0180086425475733,-0.0180086425475733,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dod_ci_high,-0.0120524106964328,-0.0120524106964328,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,p_raw,9.999000099990002e-05,9.999000099990002e-05,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,p_holm,0.0011998800119988,0.0011998800119988,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,epsilon_ar21,0.0008658713648974,0.0008658713648974,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,epsilon_all,0.0015399876817183,0.0015399876817183,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,swap_ar21_70,0.4146109060851732,0.4146109060851732,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,swap_all_70,0.4813418104653484,0.4813418104653484,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,level,dataset,dataset,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,key,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,dataset,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,risk,R_norm,R_norm,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,estimand,class-standardized,class-standardized,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,contrast,ARonly-conf,ARonly-conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,left_ranker,ARonly,ARonly,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,right_ranker,conf,conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,endpoint,Risk@70,Risk@70,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,primary,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,witness,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_ar21,0.0098361289788463,0.0098361289788463,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_all,0.0327672031568358,0.0327672031568358,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,dod,-0.0229310741779894,-0.0229310741779894,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_ar21_ci_low,0.0041475922945239,0.0041475922945239,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_ar21_ci_high,0.0141275063850382,0.0141275063850382,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_all_ci_low,0.0294368133680135,0.0294368133680135,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,delta_all_ci_high,0.0352805721110041,0.0352805721110041,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,dod_ci_low,-0.0285151736214334,-0.0285151736214334,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,dod_ci_high,-0.0178552993317611,-0.0178552993317611,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,p_raw,9.999000099990002e-05,9.999000099990002e-05,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,p_holm,,,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,epsilon_ar21,0.001648211405593,0.001648211405593,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,epsilon_all,0.0028596045121199,0.0028596045121199,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,swap_ar21_70,0.4146109060851732,0.4146109060851732,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|Risk@70,swap_all_70,0.4813418104653484,0.4813418104653484,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,level,dataset,dataset,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,key,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,dataset,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,risk,R_norm,R_norm,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,estimand,class-standardized,class-standardized,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,contrast,ARonly-oracleAR,ARonly-oracleAR,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,left_ranker,ARonly,ARonly,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,right_ranker,oracleAR,oracleAR,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,endpoint,AUGRC,AUGRC,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,primary,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,witness,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_ar21,0.0055570814355476,0.0055570814355476,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_all,0.001441382021129,0.001441382021129,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,dod,0.0041156994144185,0.0041156994144185,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_ar21_ci_low,0.0024667654833519,0.0024667654833519,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_ar21_ci_high,0.009008221974961,0.009008221974961,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_all_ci_low,0.0007207025177674,0.0007207025177674,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,delta_all_ci_high,0.0021512765413087,0.0021512765413087,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,dod_ci_low,0.0011098591804421,0.0011098591804421,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,dod_ci_high,0.0074758516626131,0.0074758516626131,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,p_raw,0.012998700129987,0.012998700129987,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,p_holm,,,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,epsilon_ar21,0.0008658713648974,0.0008658713648974,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,epsilon_all,0.0015399876817183,0.0015399876817183,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,swap_ar21_70,0.196891291357859,0.196891291357859,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|AUGRC,swap_all_70,0.1555314153385726,0.1555314153385726,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,level,dataset,dataset,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,key,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,dataset,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,risk,R_norm,R_norm,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,estimand,class-standardized,class-standardized,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,contrast,ARonly-oracleAR,ARonly-oracleAR,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,left_ranker,ARonly,ARonly,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,right_ranker,oracleAR,oracleAR,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,endpoint,Risk@70,Risk@70,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,primary,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,witness,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_ar21,0.0071716438343452,0.0071716438343452,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_all,0.0029167621364585,0.0029167621364585,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,dod,0.0042548816978866,0.0042548816978866,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_ar21_ci_low,0.0018541879321793,0.0018541879321793,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_ar21_ci_high,0.0126539954985352,0.0126539954985352,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_all_ci_low,0.0014448649071293,0.0014448649071293,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,delta_all_ci_high,0.0043773915912331,0.0043773915912331,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,dod_ci_low,-0.0010618639235006,-0.0010618639235006,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,dod_ci_high,0.0098525730579048,0.0098525730579048,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,p_raw,0.1248875112488751,0.1248875112488751,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,p_holm,,,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,epsilon_ar21,0.001648211405593,0.001648211405593,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,epsilon_all,0.0028596045121199,0.0028596045121199,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,swap_ar21_70,0.196891291357859,0.196891291357859,0.0,True
dataset|DIOR-R|R_norm|class-standardized|ARonly-oracleAR|Risk@70,swap_all_70,0.1555314153385726,0.1555314153385726,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,level,dataset,dataset,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,key,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,dataset,DIOR-R,DIOR-R,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,risk,R_norm,R_norm,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,estimand,class-standardized,class-standardized,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,contrast,oracleAR-conf,oracleAR-conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,left_ranker,oracleAR,oracleAR,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,right_ranker,conf,conf,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,endpoint,AUGRC,AUGRC,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,primary,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,witness,False,False,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_ar21,0.0021084717704613,0.0021084717704613,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_all,0.0211091841293098,0.0211091841293098,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,dod,-0.0190007123588484,-0.0190007123588484,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_ar21_ci_low,-0.0010593211960968,-0.0010593211960968,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_ar21_ci_high,0.0042843023926585,0.0042843023926585,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_all_ci_low,0.0193572073014837,0.0193572073014837,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,delta_all_ci_high,0.022735037595479,0.022735037595479,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,dod_ci_low,-0.0225052096405922,-0.0225052096405922,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,dod_ci_high,-0.0163630420357399,-0.0163630420357399,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,p_raw,9.999000099990002e-05,9.999000099990002e-05,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,p_holm,,,0.0,True
dataset|DIOR-R|R_norm|class-standardized|oracleAR-conf|AUGRC,epsilon_ar21,0.0007547297361865,0.0007547297361865,0.0,True
