path,bytes,sha256
bootstrap_metrics.npz,58013158,c469034021aaa8fb1e71068fd42ba193ff433a2656af68605e5517647015be09
hypotheses.csv,244964,8392e03023b2c4add9c78348a98eb52f27d24aa6d28cc5b8150ab7cc21ca03c6
judgment.json,370,f9e45e9dc9ceae85b5ee8ea63824cdfd07290021f0ff876e4399191e835c42fa
metrics.csv,38818,103825e3e61b07a94d1cd75b57abbd20064f5981f3c12e5b6be82eec966790d6
multiplicities.npz,32039070,f9043d40c433ce7dba905021da116dc131252acdd43725023f46a5e2e5d30bcb
multiplicity_sha256.csv,3105585,2016698baf963a854aa60830c13f7e1e2642d025f58be7e3e3d5d0d7c1d9bd0b
primary_family.csv,5869,f711113b0c2d765583f58eccaef547dba2af3b41a499bee2fd1223c2b511f9f3
primary_replicates.parquet,3512233,3457b37fa0cf25a917c94841453072585b6b494577e248b5b70c434a0a5ba36f
protocol.json,885,882d44bf84086d3f721a231bb8c7c6d56efb53d8d5b61c0a7a5f85738debf8df
three_way_decomposition.csv,385,0c7cbc9ec0c0b6e71de70e1fb655bc3c599d3ac8a5f853084102e5006a2d6b1a
