unit,dataset,eligibility,rows,clusters,classes_present,official_class_count,near_square_fraction,gt_ar_q05,gt_ar_q50,gt_ar_q95,conf_q05,conf_q50,conf_q95,conf_hist_entropy_50bin
A,DIOR-R,all-AR,43848,5368,20,20,0.428024083196497,1.0245901670099686,2.217054395842583,4.108968151552522,0.11506395526230334,0.6422758400440216,0.9909166663885117,3.7105950636852327
A,DIOR-R,AR>=2.1,25080,3497,17,20,0.0,2.135135135135135,2.7777777777777777,4.777856001397688,0.12027117162942887,0.7394964694976807,0.9909414559602737,3.66968195838788
B,DIOR-R,all-AR,47887,5455,20,20,0.42193079541420425,1.0250000047683725,2.246428291062918,4.375,0.2887085199356079,0.9858282804489136,0.9997411847114563,2.1605502263797276
B,DIOR-R,AR>=2.1,27682,3643,18,20,0.0,2.1372549224935677,2.789473684210526,5.245922385236587,0.3145552828907967,0.9908830523490906,0.9997275471687317,1.9263920635982557
C,DIOR-R,all-AR,47881,5525,20,20,0.42753910737035566,1.0232558139534884,2.2222222222222223,4.299847376793884,0.13892269134521484,0.7334344983100891,0.9217529296875,3.626139788288227
C,DIOR-R,AR>=2.1,27410,3697,18,20,0.0,2.1367782667248707,2.782608695652174,5.166666649807927,0.16740455329418183,0.7549043595790863,0.9080705136060715,3.512395392703309
D,FAIR1M,all-AR,26108,1876,34,37,0.42040753791941166,1.0799336618895548,2.230769167752807,4.3534029440695265,0.15992555469274522,0.34034548699855804,0.6072689652442931,3.112902433887804
D,FAIR1M,AR>=2.1,15132,1222,23,37,0.0,2.138686144343702,2.6590910334403106,5.35974575412268,0.146265909075737,0.3262886703014374,0.4437268510460853,2.9357597183914312
E,SODA-A,all-AR,157586,569,9,9,0.3580648027109007,1.1018332063602516,2.2485033530332537,5.055015300368721,0.14795013517141342,0.4058988243341446,0.8241291344165802,3.5310916800199323
E,SODA-A,AR>=2.1,101160,415,8,9,0.0,2.1375711467075273,2.4819926324093498,5.354193361023533,0.15213262215256693,0.40114910900592804,0.6619840115308758,3.348819639992964
F,SODA-A,all-AR,192249,569,9,9,0.37088359367278895,1.1212285896131928,2.2373362536846817,4.953414803939078,0.20809514522552489,0.9017567038536072,0.9942989349365234,3.2073539314638166
F,SODA-A,AR>=2.1,120947,417,8,9,0.0,2.133855922085646,2.4639735383384953,5.264605845105993,0.22038144171237947,0.9047983288764954,0.9929136574268341,3.204519346408656
G,DOTA-v1.0,all-AR,48889,449,15,15,0.3243878991184111,1.0512820613141303,2.529412085461305,5.021670599702947,0.36480288505554204,0.9775769114494324,0.9993554472923278,2.1950080938719
G,DOTA-v1.0,AR>=2.1,33030,350,11,15,0.0,2.160484592384187,2.9100918140051393,5.75737223293352,0.4092007055878639,0.9767545461654663,0.9966436922550201,2.1586129858642473
H,DOTA-v1.0,all-AR,51736,449,15,15,0.3353757538271223,1.05,2.490022070699385,4.991168336817401,0.2954087108373642,0.756495326757431,0.8721189051866531,3.2724732767012363
H,DOTA-v1.0,AR>=2.1,34385,356,12,15,0.0,2.156409990518783,2.895270275049944,5.782197004571155,0.34483696818351744,0.762096643447876,0.8538873553276062,3.113484521307117
