level,key,dataset,risk,eligibility,estimand,ranker,rows,classes,AUGRC,Risk@70
unit,A,DIOR-R,R_norm,AR>=2.1,pooled,conf,25080,17,0.02026966782991315,0.041802659499434104
unit,A,DIOR-R,R_norm,AR>=2.1,pooled,ARonly,25080,17,0.024019690163356287,0.04678759055500108
unit,A,DIOR-R,R_norm,AR>=2.1,pooled,oracleAR,25080,17,0.02250141610897488,0.045672074391990954
unit,A,DIOR-R,R_norm,AR>=2.1,pooled,probe,25080,17,0.021237087747951813,0.044204996415624746
unit,A,DIOR-R,R_norm,AR>=2.1,class-standardized,conf,25080,17,0.02914295950677773,0.05997922825382466
unit,A,DIOR-R,R_norm,AR>=2.1,class-standardized,ARonly,25080,17,0.03682542838079305,0.07088523150803498
unit,A,DIOR-R,R_norm,AR>=2.1,class-standardized,oracleAR,25080,17,0.03193305843193406,0.06303398572107159
unit,A,DIOR-R,R_norm,AR>=2.1,class-standardized,probe,25080,17,0.02809568755859764,0.056698857867117265
unit,A,DIOR-R,R_norm,all-AR,pooled,conf,43848,20,0.04983422288635606,0.10058937721519222
unit,A,DIOR-R,R_norm,all-AR,pooled,ARonly,43848,20,0.08874689330720976,0.15065212705609365
unit,A,DIOR-R,R_norm,all-AR,pooled,oracleAR,43848,20,0.08852344018822965,0.14967186268978322
unit,A,DIOR-R,R_norm,all-AR,pooled,probe,43848,20,0.03901954082241025,0.07418122669521182
unit,A,DIOR-R,R_norm,all-AR,class-standardized,conf,43848,20,0.053371924761909925,0.1076341887819466
unit,A,DIOR-R,R_norm,all-AR,class-standardized,ARonly,43848,20,0.07482370987168512,0.13870928254549808
unit,A,DIOR-R,R_norm,all-AR,class-standardized,oracleAR,43848,20,0.07395469571278838,0.13672803034693956
unit,A,DIOR-R,R_norm,all-AR,class-standardized,probe,43848,20,0.04931490154326825,0.09960339796167142
unit,A,DIOR-R,R_raw,AR>=2.1,pooled,conf,25080,17,0.007719557522387441,0.015988001306613743
unit,A,DIOR-R,R_raw,AR>=2.1,pooled,ARonly,25080,17,0.009772204823858011,0.019059827854792072
unit,A,DIOR-R,R_raw,AR>=2.1,pooled,oracleAR,25080,17,0.00945454266885776,0.01919325399249363
unit,A,DIOR-R,R_raw,AR>=2.1,pooled,probe,25080,17,0.007516526446358655,0.015460724846024261
unit,A,DIOR-R,R_raw,AR>=2.1,class-standardized,conf,25080,17,0.010797871100025312,0.022109009254620088
unit,A,DIOR-R,R_raw,AR>=2.1,class-standardized,ARonly,25080,17,0.014533247768905666,0.027710331960715456
unit,A,DIOR-R,R_raw,AR>=2.1,class-standardized,oracleAR,25080,17,0.013195593838855447,0.025836302226043138
unit,A,DIOR-R,R_raw,AR>=2.1,class-standardized,probe,25080,17,0.009472868378684617,0.019005073039963277
unit,A,DIOR-R,R_raw,all-AR,pooled,conf,43848,20,0.04038895818644927,0.08131126990286393
unit,A,DIOR-R,R_raw,all-AR,pooled,ARonly,43848,20,0.08067768521133181,0.1338828455301455
unit,A,DIOR-R,R_raw,all-AR,pooled,oracleAR,43848,20,0.08098226863270724,0.1339065056832521
unit,A,DIOR-R,R_raw,all-AR,pooled,probe,43848,20,0.02736013234758792,0.04911552469793528
unit,A,DIOR-R,R_raw,all-AR,class-standardized,conf,43848,20,0.04226054355068889,0.08493622184473384
unit,A,DIOR-R,R_raw,all-AR,class-standardized,ARonly,43848,20,0.06285603996259666,0.11507315951249926
unit,A,DIOR-R,R_raw,all-AR,class-standardized,oracleAR,43848,20,0.06335370636893727,0.1157230851077268
unit,A,DIOR-R,R_raw,all-AR,class-standardized,probe,43848,20,0.03648760746470367,0.07373076782461745
unit,B,DIOR-R,R_norm,AR>=2.1,pooled,conf,27682,18,0.022654420891975075,0.04588508438521489
unit,B,DIOR-R,R_norm,AR>=2.1,pooled,ARonly,27682,18,0.02751076731611172,0.05390361027673925
unit,B,DIOR-R,R_norm,AR>=2.1,pooled,oracleAR,27682,18,0.026468178212031908,0.05353086407764439
unit,B,DIOR-R,R_norm,AR>=2.1,pooled,probe,27682,18,0.02332963464550149,0.047270297054225266
unit,B,DIOR-R,R_norm,AR>=2.1,class-standardized,conf,27682,18,0.036932259276497764,0.0714320061948721
unit,B,DIOR-R,R_norm,AR>=2.1,class-standardized,ARonly,27682,18,0.041986869266860016,0.07890687610196605
unit,B,DIOR-R,R_norm,AR>=2.1,class-standardized,oracleAR,27682,18,0.03768606931181385,0.07479934550301913
unit,B,DIOR-R,R_norm,AR>=2.1,class-standardized,probe,27682,18,0.034147146185104296,0.06961577851127713
unit,B,DIOR-R,R_norm,all-AR,pooled,conf,47887,20,0.04913481584088957,0.095808678942763
unit,B,DIOR-R,R_norm,all-AR,pooled,ARonly,47887,20,0.08653560854189582,0.14703659071557593
unit,B,DIOR-R,R_norm,all-AR,pooled,oracleAR,47887,20,0.08605357758643672,0.14655321587929127
unit,B,DIOR-R,R_norm,all-AR,pooled,probe,47887,20,0.0409736493526017,0.07764611087223573
unit,B,DIOR-R,R_norm,all-AR,class-standardized,conf,47887,20,0.0558818900539802,0.11265535803052998
unit,B,DIOR-R,R_norm,all-AR,class-standardized,ARonly,47887,20,0.07961349464115064,0.14788344322237212
unit,B,DIOR-R,R_norm,all-AR,class-standardized,oracleAR,47887,20,0.07833054285366839,0.14468017696463414
unit,B,DIOR-R,R_norm,all-AR,class-standardized,probe,47887,20,0.051944717161785926,0.10383143870938809
unit,B,DIOR-R,R_raw,AR>=2.1,pooled,conf,27682,18,0.008532055293516966,0.0173519744070976
unit,B,DIOR-R,R_raw,AR>=2.1,pooled,ARonly,27682,18,0.011312755284662461,0.022220562208138173
unit,B,DIOR-R,R_raw,AR>=2.1,pooled,oracleAR,27682,18,0.01113698991759672,0.022505911826726618
unit,B,DIOR-R,R_raw,AR>=2.1,pooled,probe,27682,18,0.00824285518601154,0.01666409250526524
unit,B,DIOR-R,R_raw,AR>=2.1,class-standardized,conf,27682,18,0.013252924402397115,0.025520811521537595
unit,B,DIOR-R,R_raw,AR>=2.1,class-standardized,ARonly,27682,18,0.01608120967718069,0.02991267625677025
unit,B,DIOR-R,R_raw,AR>=2.1,class-standardized,oracleAR,27682,18,0.014933437230595628,0.029174006586491736
unit,B,DIOR-R,R_raw,AR>=2.1,class-standardized,probe,27682,18,0.011278860497876428,0.023256774088528328
unit,B,DIOR-R,R_raw,all-AR,pooled,conf,47887,20,0.0381560929211293,0.07333853101113555
unit,B,DIOR-R,R_raw,all-AR,pooled,ARonly,47887,20,0.07655693265252216,0.1265369234144625
unit,B,DIOR-R,R_raw,all-AR,pooled,oracleAR,47887,20,0.07652189731950501,0.12671755378807142
