dataset,replicate,sha256
DIOR-R,0,1ca5bad81c87e7a9e556e2698321ca8444d08cb00888bccc87d11a0bd8abb1d3
DIOR-R,1,d3d33b1822e71ee776f2fec120b6a31bd85a2bfc89be9acba4443d9777978030
DIOR-R,2,d0c781d00d376b627bafe6a9e2ada0a3e6d3bd544270aa8d6f15a994ace5d3e5
DIOR-R,3,5350190e1cc0435884ba3695c5d0b360834c292e6921bcb466e5ee06c2dd775e
DIOR-R,4,cc259ab09febb8cb0473322457c3995ef84e53c35dd749386ffd60a9e17ff779
DIOR-R,5,451b3bc9a699fabb1745055dccdef82d1ee888d9fbc4a16a40d0dfdc32f5a92f
DIOR-R,6,04ac2a23737f044e1967e2df1535ff24ec4357feaab2e17afef9f09be18c8658
DIOR-R,7,e97961c8c16177c77d48fa20471d1ba68e4b8a315e4b3f5490e41756dc85e3eb
DIOR-R,8,4dd59e4b5b8761d3fc6bb191715e16f39f1450c1d6ecfcbcf5779fbb7db2a4d0
DIOR-R,9,9a22589d809fb50a0c87b12688be361d89672fad1c472d7cb70ae2bbe6865e15
DIOR-R,10,f768feb84d5daa73b045bfca64fcf0ba759b6b1d47dcd53438168433076d7ae7
DIOR-R,11,55611e70a50e38887c5246dba0d9009e5a471d5c4c2a50097878a6c1b2e0c5e6
DIOR-R,12,bcb4bd76a6157783f254c1b40a692905e7670daa3c3afb90275b48867cd7b557
DIOR-R,13,cbf79f927a80f7892193197cebb05b5aa21e79a77d007c47f2aae1996f967036
DIOR-R,14,7eca30596caf0d71329d4a04fcb4ca41f2464e57ebf9e1ad270d62011068bda6
DIOR-R,15,12cac62b0972805211e34b0ab0060b4a67b60e3dc024194fbd46669372c42f34
DIOR-R,16,a0dee3e9f8629fcf1ad9c271d938bb5ce4dbb43af9aca24a2465196d6a577d7c
DIOR-R,17,57743a7f2976926bdb63f7493a58449a12611a2a049e3b1f25ac8c0f61164400
DIOR-R,18,b0cba02936f88149688068c52bfe27f55d4eb77ece91c6fe5faf36d3833d6632
DIOR-R,19,47cc8478e26050cd99427c830a588f5c090791100ce2a0c49e8ce54c72984f66
FAIR1M,0,e4e3fabd479119e2d3759ff234ab9bdeba9ab32771c276c2b55c0f613af3896f
FAIR1M,1,a7ec63067e25665419475049ee31dd6434bb7a6fa06a02050047e0903a165c9d
FAIR1M,2,13cc9d4512148b4c222399e5b42606da3a0b0a427d833e3b30515d706469efdc
FAIR1M,3,865db9b12cd642cb790cef800ef92cecd1606bb259792ff5e0f6656017cbd60a
FAIR1M,4,26138d4d5b22c1b511affa5d6239ba08eea4432b9a74ed2bf22847b315f8c565
FAIR1M,5,c728a7cf37669a0b6b1feb36a3678a7bfdf223e4cfe6d1314a57399a44f67f40
FAIR1M,6,924ea48755fd6c6a86dd0b69b951b502c9f2c3453a57eae2de95f2ece3ee0fd5
FAIR1M,7,139d9c56a1679fc67beb49deadbb7e1b5c76834df6cb08cfac72a16bab5eb0ce
FAIR1M,8,ad574e31c0fbc406e879df0ad0f77d438da8a5747e8bc3cd20af53cf118fddbb
FAIR1M,9,9ba34080c4651551a0283df1a1fff7a1ba0ba6e0e8f6c72f5dd37d1127058100
FAIR1M,10,7d80d78663a2785522ce715cf0d01f48e710459ed3574de59095e550edb9bf18
FAIR1M,11,b7be6577aea6ba10b63704a3ac40a1d5596397a1441823cefa87565952c7efd0
FAIR1M,12,c9e69e18fe56d65718e76cbae1a0dfb192004fb9d1747ed302534e1d02cb71c9
FAIR1M,13,a612a3fffc9397723ac49b636d41e00c1d261fe30c02796b2687ad70a5b70bcf
FAIR1M,14,2773418aaec54d40bd0f2f0e11303109490d1bf657c91428d51c0907d8e3d3d9
FAIR1M,15,941cda6f81d96b30b5a0edf7dd376c736b967dd5afdc311fd73b0d8be0f08a38
FAIR1M,16,3f59825398939360e5dad4333677641107305868ce12a4959474abd1cf0b0758
FAIR1M,17,1a4ac13a723605dfe1a25fb0f7b828310a2b1482009508649be549445c37b522
FAIR1M,18,bea19607f67d97ce47e8364d455df78452823cbb1fa2dbab0d6da01e5bcf9eaf
FAIR1M,19,b07fde9460cc4d51c28444155094aab69fc00800ccacfeda5d20936409096c1e
SODA-A,0,2f1496be4811b5a04b80628678d1f74559e1322f91574d98fa7ed452bc57323b
SODA-A,1,e495a7860f9ec5f2cfb46942fa7d276345df39dacfbfc50aa2eae7670d8d7f01
SODA-A,2,d10c286da2c74c2ea5204af2e5a383054677e88ea35f4b46b94c5969af2e21be
SODA-A,3,f224629b10989e8f0e651189fa9667111aae5edc5c08ab98362d3f69c5f2f620
SODA-A,4,4cf99deb4b4441f3f8fe6e285b66209b0f1052a5d9fe961ecb28f788bef04ecf
SODA-A,5,341aa04ea65e26983e1f0d764fa60f355a16df2766074893e33c05f9723b3588
SODA-A,6,4fe4322918bfde1ff31864745ca0a182d968a75721ae7c376bddb1d1a6262918
SODA-A,7,03e62e45398a3baa786800b60153e722514af102763d4230c4770aa0290a8d92
