hypothesis_key,level,key,dataset,risk,estimand,contrast,left_ranker,right_ranker,endpoint,primary,delta_ar21,delta_all,dod,delta_ar21_ci_low,delta_ar21_ci_high,delta_all_ci_low,delta_all_ci_high,dod_ci_low,dod_ci_high,p_raw,p_holm,epsilon_ar21,epsilon_all,swap_ar21_70,swap_all_70,witness
unit|A|R_norm|pooled|probe-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-conf,probe,conf,AUGRC,False,0.0009674199180386631,-0.010814682063945813,0.011782101981984476,0.0007658848254026631,0.001153412168326338,-0.012151608090826327,-0.009525249444225049,0.010465242497047436,0.013064614669683648,0.047619047619047616,,0.0005,0.0009966844577271212,0.18138498990003626,0.2333371704846322,True
unit|A|R_norm|pooled|probe-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-conf,probe,conf,Risk@70,False,0.002402336916190642,-0.026408150519980397,0.02881048743617104,0.0016617077588326101,0.0032929142928050078,-0.031898597808061056,-0.021193592629676707,0.02353158455487512,0.03399429204177251,0.047619047619047616,,0.001,0.0020117875443038443,0.18138498990003626,0.2333371704846322,True
unit|A|R_norm|pooled|ARonly-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,ARonly-conf,ARonly,conf,AUGRC,False,0.0037500223334431364,0.0389126704208537,-0.03516264808741057,0.0032208490513878545,0.004279025996806681,0.03600916368607369,0.042572877261280305,-0.03857714873410274,-0.03200472891547091,0.047619047619047616,,0.0005,0.0017749378661441953,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|pooled|ARonly-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,ARonly-conf,ARonly,conf,Risk@70,False,0.004984931055566973,0.050062749840901435,-0.04507781878533446,0.0042387603952523745,0.00563883146643135,0.04619754166604756,0.05602008398887481,-0.05122159451505989,-0.040688077301855474,0.047619047619047616,,0.001,0.003013042541121873,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|pooled|probe-ARonly|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-ARonly,probe,ARonly,AUGRC,False,-0.0027826024154044733,-0.049727352484799515,0.04694475006939504,-0.003475692868444483,-0.002095900196383065,-0.05470465723725286,-0.04587870538547381,0.04274784413065693,0.051515208367132366,0.047619047619047616,,0.0005,0.0017749378661441953,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|pooled|probe-ARonly|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-ARonly,probe,ARonly,Risk@70,False,-0.0025825941393763305,-0.07647090036088183,0.0738883062215055,-0.003828969784513034,-0.0009615036796501992,-0.0856379046711948,-0.06895411435347476,0.06517517019106861,0.08237393605124022,0.047619047619047616,,0.001,0.003013042541121873,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|pooled|oracleAR-conf|AUGRC,unit,A,DIOR-R,R_norm,pooled,oracleAR-conf,oracleAR,conf,AUGRC,False,0.0022317482790617307,0.0386892173018736,-0.03645746902281187,0.0019326180757520415,0.0025598564383763297,0.03558854532037904,0.042150012114479884,-0.03977790920992918,-0.03325191973942464,0.047619047619047616,,0.0005,0.0017704688037645934,0.4020285636314018,0.4692035309959603,False
unit|A|R_norm|pooled|oracleAR-conf|Risk@70,unit,A,DIOR-R,R_norm,pooled,oracleAR-conf,oracleAR,conf,Risk@70,False,0.0038694148925568495,0.049082485474591,-0.04521307058203415,0.0032000645476154958,0.004442394542002898,0.04467513140325674,0.05487631575170624,-0.05108171716652938,-0.04041519530916719,0.047619047619047616,,0.001,0.0029934372537956644,0.4020285636314018,0.4692035309959603,False
unit|A|R_norm|pooled|probe-oracleAR|AUGRC,unit,A,DIOR-R,R_norm,pooled,probe-oracleAR,probe,oracleAR,AUGRC,False,-0.0012643283610230677,-0.049503899365819413,0.048239571004796346,-0.0017563799086891905,-0.0008131708030014821,-0.054180339080605995,-0.045458087019779166,0.04399503495461066,0.05279063844297384,0.047619047619047616,,0.0005,0.0017704688037645934,0.49110977495275726,0.5665047636839156,False
unit|A|R_norm|pooled|probe-oracleAR|Risk@70,unit,A,DIOR-R,R_norm,pooled,probe-oracleAR,probe,oracleAR,Risk@70,False,-0.0014670779763662073,-0.0754906359945714,0.07402355801820519,-0.002743820574489305,8.170333930706186e-05,-0.08360412482263123,-0.06760344694311454,0.06516923600925942,0.08213146916689827,0.047619047619047616,,0.001,0.0029934372537956644,0.49110977495275726,0.5665047636839156,False
unit|A|R_norm|pooled|ARonly-oracleAR|AUGRC,unit,A,DIOR-R,R_norm,pooled,ARonly-oracleAR,ARonly,oracleAR,AUGRC,False,0.0015182740543814056,0.000223453118980102,0.0012948209354013036,0.001193861287597926,0.0018140916596505606,-8.033472678712836e-05,0.000564124784967139,0.0010526936888128786,0.0017048845756913469,0.047619047619047616,,0.0005,0.0017749378661441953,0.2264122368620324,0.17079856972586413,False
unit|A|R_norm|pooled|ARonly-oracleAR|Risk@70,unit,A,DIOR-R,R_norm,pooled,ARonly-oracleAR,ARonly,oracleAR,Risk@70,False,0.0011155161630101232,0.000980264366310435,0.0001352517966996883,0.0005031335133561307,0.0017805368080138543,0.00045542484545869064,0.0021316055240016827,-0.0006024724407321866,0.0006430990475858893,0.9047619047619048,,0.001,0.003013042541121873,0.2264122368620324,0.17079856972586413,False
unit|A|R_norm|class-standardized|probe-conf|AUGRC,unit,A,DIOR-R,R_norm,class-standardized,probe-conf,probe,conf,AUGRC,False,-0.001047271948180089,-0.004057023218641681,0.003009751270461592,-0.0027084665193871484,0.0021868562345576247,-0.004922689025702974,-0.002892429151339329,0.001481673344002961,0.005266393386342563,0.047619047619047616,,0.0005828591901355546,0.0010674384952381985,0.18138498990003626,0.2333371704846322,False
unit|A|R_norm|class-standardized|probe-conf|Risk@70,unit,A,DIOR-R,R_norm,class-standardized,probe-conf,probe,conf,Risk@70,False,-0.003280370386707393,-0.008030790820275177,0.004750420433567784,-0.008197924660321373,0.0036406602221883307,-0.011730356063788213,-0.004814935060858191,1.8908035385581227e-05,0.012032276549745858,0.14285714285714285,,0.0011995845650764933,0.002152683775638932,0.18138498990003626,0.2333371704846322,False
unit|A|R_norm|class-standardized|ARonly-conf|AUGRC,unit,A,DIOR-R,R_norm,class-standardized,ARonly-conf,ARonly,conf,AUGRC,False,0.00768246887401532,0.02145178510977519,-0.01376931623575987,0.004238429988551009,0.010770580231850263,0.019056437726069936,0.023513340870805043,-0.017592944481796692,-0.009901830696553099,0.047619047619047616,,0.000736508567615861,0.0014964741974337024,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|class-standardized|ARonly-conf|Risk@70,unit,A,DIOR-R,R_norm,class-standardized,ARonly-conf,ARonly,conf,Risk@70,False,0.010906003254210324,0.031075093763551484,-0.02016909050934116,0.004300373898515753,0.01793824556413263,0.02806199597924007,0.034089327487114296,-0.02911838752596467,-0.013258069891902069,0.047619047619047616,,0.0014177046301606998,0.0027741856509099615,0.40595632632678075,0.4706527154957648,False
unit|A|R_norm|class-standardized|probe-ARonly|AUGRC,unit,A,DIOR-R,R_norm,class-standardized,probe-ARonly,probe,ARonly,AUGRC,False,-0.008729740822195409,-0.02550880832841687,0.016779067506221462,-0.010873445154775032,-0.0025379472676795812,-0.02794204633454749,-0.022702502909842125,0.014149488274154074,0.022614184867983105,0.047619047619047616,,0.000736508567615861,0.0014964741974337024,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|class-standardized|probe-ARonly|Risk@70,unit,A,DIOR-R,R_norm,class-standardized,probe-ARonly,probe,ARonly,Risk@70,False,-0.014186373640917717,-0.03910588458382666,0.024919510942908944,-0.01872127626264546,-0.0038550187502368258,-0.04471284021821585,-0.03443073089132887,0.01928346661542674,0.037249508210737005,0.047619047619047616,,0.0014177046301606998,0.0027741856509099615,0.506825430576228,0.5765761587868389,False
unit|A|R_norm|class-standardized|oracleAR-conf|AUGRC,unit,A,DIOR-R,R_norm,class-standardized,oracleAR-conf,oracleAR,conf,AUGRC,False,0.002790098925156328,0.02058277095087846,-0.01779267202572213,-0.0011803137175880993,0.006104291264390625,0.01861332007347066,0.022860294977471093,-0.022431227871099912,-0.01367593827796657,0.047619047619047616,,0.0006386611686386811,0.0014790939142557678,0.4020285636314018,0.4692035309959603,False
unit|A|R_norm|class-standardized|oracleAR-conf|Risk@70,unit,A,DIOR-R,R_norm,class-standardized,oracleAR-conf,oracleAR,conf,Risk@70,False,0.003054757467246934,0.029093841564992964,-0.02603908409774603,-0.002695695795205861,0.01236770889923908,0.025675926901486602,0.03254353253712269,-0.03256802227829627,-0.014491689968966773,0.047619047619047616,,0.001260679714421432,0.0027345606069387914,0.4020285636314018,0.4692035309959603,False
