hypothesis_key,level,key,dataset,risk,estimand,contrast,left_ranker,right_ranker,endpoint,primary,delta_ar21,delta_all,dod,delta_ar21_ci_low,delta_ar21_ci_high,delta_all_ci_low,delta_all_ci_high,dod_ci_low,dod_ci_high,p_raw,p_holm,epsilon_ar21,epsilon_all,swap_ar21_70,swap_all_70,witness
dataset|DIOR-R|R_norm|class-standardized|probe-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.001903685913725646,-0.0036162815229660167,0.0017125956092403707,-0.002936367159393285,0.00031357216121346334,-0.0041040829780229285,-0.002891879576585303,0.0006027973235970353,0.0033573234135197195,0.09523809523809523,0.5714285714285714,0.0007125603007772858,0.0010889763587095395,0.16745471295623604,0.20687836858732203,False
dataset|DIOR-R|R_norm|class-standardized|ARonly-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.007665553206008979,0.02255056615043887,-0.014885012944429891,0.005121890610806727,0.009875334625970497,0.021251507272556834,0.024431783990862346,-0.018253065616496582,-0.012448138057308471,0.047619047619047616,0.5714285714285714,0.0008658713648974654,0.001539987681718317,0.41461090608517326,0.4813418104653484,False
dataset|DIOR-R|R_norm|class-standardized|probe-ARonly|AUGRC,dataset,DIOR-R,DIOR-R,R_norm,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.009569239119734625,-0.026166847673404887,0.016597608553670262,-0.011729863547047673,-0.0051429509145362465,-0.02821182898719526,-0.024835162552829967,0.014551182135848335,0.02110166395629081,0.047619047619047616,0.5714285714285714,0.0008658713648974654,0.001539987681718317,0.5084368935512071,0.5694045767239432,False
dataset|DIOR-R|R_raw|class-standardized|probe-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.0018394279983616653,-0.005588055088371083,0.0037486270900094175,-0.002336212836752725,-0.0009117713246027899,-0.006047626959434217,-0.004851231480602591,0.0029900547902123845,0.004587188840113247,0.047619047619047616,0.5714285714285714,0.0005,0.000823491862362886,0.16745471295623604,0.20687836858732203,False
dataset|DIOR-R|R_raw|class-standardized|ARonly-conf|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.003980575539777672,0.021176380956905855,-0.01719580541712818,0.0027742853586287023,0.004891153247550963,0.020078135165122902,0.022942724856666867,-0.019655937006883065,-0.01577480136785435,0.047619047619047616,0.5714285714285714,0.0005,0.0012470194815010032,0.41461090608517326,0.4813418104653484,False
dataset|DIOR-R|R_raw|class-standardized|probe-ARonly|AUGRC,dataset,DIOR-R,DIOR-R,R_raw,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.005820003538139338,-0.026764436045276938,0.0209444325071376,-0.006806599025460397,-0.0037361984762896644,-0.028725594833642825,-0.02554537945734343,0.01964251601408153,0.023969972237667756,0.047619047619047616,0.5714285714285714,0.0005,0.0012470194815010032,0.5084368935512071,0.5694045767239432,False
dataset|DOTA-v1.0|R_norm|class-standardized|probe-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,probe-conf,probe,conf,AUGRC,True,0.0010021421816559378,-0.002918603973288414,0.003920746154944352,0.0004382727527471701,0.0014214920373780936,-0.0038607378270349027,-0.0009052775450099998,0.0013854000990145658,0.004877436981872147,0.047619047619047616,0.5714285714285714,0.0007511415010988368,0.001482911502747574,0.23041052614379137,0.22382871534370716,False
dataset|DOTA-v1.0|R_norm|class-standardized|ARonly-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,ARonly-conf,ARonly,conf,AUGRC,True,0.0027094748185884365,0.014866134041291806,-0.01215665922270337,0.001420029056370763,0.0044202788632300444,0.011686589342562807,0.01642838768772768,-0.014676946932330475,-0.009058841303299843,0.047619047619047616,0.5714285714285714,0.0007852881538374868,0.00178023418357341,0.4453919100922006,0.48049695884672616,False
dataset|DOTA-v1.0|R_norm|class-standardized|probe-ARonly|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_norm,class-standardized,probe-ARonly,probe,ARonly,AUGRC,True,-0.0017073326369324987,-0.01778473801458022,0.01607740537764772,-0.003867358450078083,-0.00020954953917456652,-0.01949985100009321,-0.01329135856886373,0.010626951108119904,0.018836601289817085,0.047619047619047616,0.5714285714285714,0.0007852881538374868,0.00178023418357341,0.5636562257556188,0.5756124453588934,False
dataset|DOTA-v1.0|R_raw|class-standardized|probe-conf|AUGRC,dataset,DOTA-v1.0,DOTA-v1.0,R_raw,class-standardized,probe-conf,probe,conf,AUGRC,True,-0.0002429506919717165,-0.0038416915858465878,0.0035987408938748713,-0.0005931550270338625,-9.999883969656116e-05,-0.004607742200091184,-0.0018452195649041432,0.001348419702610785,0.004347689065857672,0.047619047619047616,0.5714285714285714,0.0005,0.0012448932610288914,0.23041052614379137,0.22382871534370716,False
