dataset,unit,cutoff,rows,probe,AUGRC,Risk@70,Risk@90,status
DOTA-v1.0,orcnn,1.0,48889,tta_localization_corrected,0.045077214851875436,0.08733870960381056,0.09114543368848188,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.1,44859,tta_localization_corrected,0.027755270987387864,0.05482493930949542,0.06021111171754519,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.2,43264,tta_localization_corrected,0.024902062716678736,0.049735991888222995,0.054314414315272216,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.3,42222,tta_localization_corrected,0.024580644095800564,0.04928312782461538,0.05328235885260804,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.4,41095,tta_localization_corrected,0.024444982348423367,0.04924521933134712,0.05297670108306841,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.5,40199,tta_localization_corrected,0.024554417743027385,0.04949835336613022,0.05314223629723219,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.6,39507,tta_localization_corrected,0.024595654315937444,0.049625618632083195,0.0531885528249441,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.7,38874,tta_localization_corrected,0.02456049334374847,0.04958892659260425,0.053044729113143986,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.8,38088,tta_localization_corrected,0.02456852887542406,0.049633951825094266,0.053011415633722456,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,1.9,36751,tta_localization_corrected,0.024613279895857047,0.04973990947129272,0.05302821573825106,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.0,35305,tta_localization_corrected,0.024639423949073223,0.049806542024208374,0.053047347943985274,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.1,33030,tta_localization_corrected,0.025184198729688204,0.05080155552675793,0.05388458369694476,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.2,30585,tta_localization_corrected,0.025986999020436358,0.0521409686823456,0.05505009855977937,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.3,28735,tta_localization_corrected,0.026101961540853657,0.05236806079177068,0.05526554968299362,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.4,27047,tta_localization_corrected,0.026159929570266728,0.052506666366629935,0.055396418860517785,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.5,24986,tta_localization_corrected,0.026121054949318732,0.05241531050724722,0.055341997206327015,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.6,22990,tta_localization_corrected,0.02611516733063672,0.05246518123060612,0.055338554916447506,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.7,20912,tta_localization_corrected,0.025859568206819734,0.051854723741430055,0.05483382764193812,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.8,18743,tta_localization_corrected,0.025658479548653006,0.05145827073455107,0.054595568690996944,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,2.9,16718,tta_localization_corrected,0.02551279770140676,0.05105856153112495,0.054417199894507454,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,3.0,14765,tta_localization_corrected,0.025132161608054916,0.05019432430862631,0.05380336265739417,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.0,51736,tta_localization_corrected,0.045740042571000596,0.08642472264940755,0.09070279272847707,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.1,47370,tta_localization_corrected,0.02740371238433545,0.053560556047043066,0.05938308939714675,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.2,45528,tta_localization_corrected,0.024453276829063987,0.04867271976439312,0.05334595650135427,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.3,44393,tta_localization_corrected,0.02419601262249794,0.04837939942387959,0.052744331398480206,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.4,43201,tta_localization_corrected,0.02403883468249295,0.04813424501611517,0.05228514295138627,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.5,42273,tta_localization_corrected,0.024095978726027714,0.048290425427766265,0.052274608856654685,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.6,41544,tta_localization_corrected,0.02412963503654641,0.048413227745806614,0.052234863800994485,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.7,40854,tta_localization_corrected,0.024127892429675342,0.048438663361252764,0.052238608224794814,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.8,39967,tta_localization_corrected,0.02413264490040269,0.0484563720079629,0.05224917482895279,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,1.9,38473,tta_localization_corrected,0.02416519038748559,0.04847666891193205,0.052336624824338464,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.0,36876,tta_localization_corrected,0.02414960054026329,0.04846401939244434,0.0523292118446028,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.1,34385,tta_localization_corrected,0.02460907524674017,0.049216887497485116,0.05296985622052597,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.2,31722,tta_localization_corrected,0.02542018037946,0.05056955165661301,0.05415382907769595,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.3,29687,tta_localization_corrected,0.02553415274854235,0.05077060480284122,0.054347359020958566,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.4,27832,tta_localization_corrected,0.025589667102814156,0.05084175597973729,0.05454937964126519,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.5,25666,tta_localization_corrected,0.02555737018866174,0.05076044046357638,0.0545477334656959,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.6,23558,tta_localization_corrected,0.02556158267328945,0.05072583940949603,0.054659148314203855,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.7,21406,tta_localization_corrected,0.02547304180836888,0.05057836580362182,0.05472155644422644,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.8,19176,tta_localization_corrected,0.02543222157626405,0.05047965276575276,0.054788978136077145,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,2.9,17107,tta_localization_corrected,0.025417608458887547,0.05057574039087467,0.05485813706074589,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,3.0,15128,tta_localization_corrected,0.025379867862853546,0.05042334381045182,0.055072728450729205,DESCRIPTIVE_R028_CORRECTED
