dataset,unit,cohort,probe,rows,AUGRC,Risk@70,Risk@90,status
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,raw_confidence,33030,0.026330781620593387,0.052908569281744616,0.05506771461113228,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,linear_source_frozen,33030,0.026684801848114337,0.05401728439892741,0.055424564847454796,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,tta_localization_corrected,33030,0.025184198729688204,0.05080155552675793,0.05388458369694476,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,ALL_AR,raw_confidence,48889,0.04873665202616412,0.09426208622350205,0.09397268246741969,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,ALL_AR,linear_source_frozen,48889,0.03642116712803054,0.07129828747226179,0.08678547212946543,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,orcnn,ALL_AR,tta_localization_corrected,48889,0.045077214851875436,0.08733870960381056,0.09114543368848188,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,raw_confidence,34385,0.025077941153996072,0.05021434716148424,0.053962722078601304,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,linear_source_frozen,34385,0.027440798535929966,0.05455362926074631,0.054552752247703666,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,tta_localization_corrected,34385,0.02460907524674017,0.049216887497485116,0.05296985622052597,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,ALL_AR,raw_confidence,51736,0.04504209507939958,0.0842819114456542,0.09265796227897702,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,ALL_AR,linear_source_frozen,51736,0.0314322300984928,0.054678255971630764,0.07633603554255236,DESCRIPTIVE_R028_CORRECTED
DOTA-v1.0,rtmdet,ALL_AR,tta_localization_corrected,51736,0.045740042571000596,0.08642472264940755,0.09070279272847707,DESCRIPTIVE_R028_CORRECTED
