dataset,unit,cutoff,endpoint,rows,delta_linear_minus_raw,ci_low,ci_high,bootstrap_replicates,status
DIOR-R,A,1.0,AUGRC,43848,-0.010814682063945813,-0.011844971981925823,-0.009775194266758965,200,DESCRIPTIVE
DIOR-R,A,1.0,Risk@70,43848,-0.026408150519980397,-0.03037349855036022,-0.02195085443127698,200,DESCRIPTIVE
DIOR-R,A,1.0,Risk@90,43848,-0.017924850339732748,-0.020093965474779506,-0.015393581914309097,200,DESCRIPTIVE
DIOR-R,A,1.1,AUGRC,37471,-0.0029029760486512166,-0.00359268805291247,-0.0021706028567826737,200,DESCRIPTIVE
DIOR-R,A,1.1,Risk@70,37471,-0.007445757013538071,-0.010070541767901358,-0.004945769878481489,200,DESCRIPTIVE
DIOR-R,A,1.1,Risk@90,37471,-0.010142458261766019,-0.012306229236342902,-0.008158052746315016,200,DESCRIPTIVE
DIOR-R,A,1.2,AUGRC,34397,-0.0006167755976726058,-0.0010065972191931475,-0.000202904545635998,200,DESCRIPTIVE
DIOR-R,A,1.2,Risk@70,34397,-0.0014995949074996032,-0.0031480417950655233,-1.0349855834098622e-06,200,DESCRIPTIVE
DIOR-R,A,1.2,Risk@90,34397,-0.003922810629471307,-0.0054655056463884235,-0.0026007634936143597,200,DESCRIPTIVE
DIOR-R,A,1.3,AUGRC,32616,7.595503251023317e-05,-0.00021413510790566922,0.00039968281094894883,200,DESCRIPTIVE
DIOR-R,A,1.3,Risk@70,32616,0.0001215141306569606,-0.0010881489799487248,0.0014158578322570514,200,DESCRIPTIVE
DIOR-R,A,1.3,Risk@90,32616,-0.0019063934624613116,-0.0027554390993015394,-0.000992819654634541,200,DESCRIPTIVE
DIOR-R,A,1.4,AUGRC,31384,0.0005683107323438165,0.00035293746184224885,0.0008453962339213261,200,DESCRIPTIVE
DIOR-R,A,1.4,Risk@70,31384,0.001714531618683554,0.0008003583081037866,0.0025654168103397316,200,DESCRIPTIVE
DIOR-R,A,1.4,Risk@90,31384,-0.0005028523623344591,-0.0012604735761535999,9.721742528515571e-05,200,DESCRIPTIVE
DIOR-R,A,1.5,AUGRC,30542,0.0007810265853550741,0.0005675614591053484,0.001020869196358522,200,DESCRIPTIVE
DIOR-R,A,1.5,Risk@70,30542,0.002158574304783077,0.001260109845919867,0.003076754179574577,200,DESCRIPTIVE
DIOR-R,A,1.5,Risk@90,30542,-0.00012386183707740334,-0.0009006812880377135,0.0004140400366407755,200,DESCRIPTIVE
DIOR-R,A,1.6,AUGRC,29844,0.0008208577183346707,0.0006198125738226366,0.001050560391851991,200,DESCRIPTIVE
DIOR-R,A,1.6,Risk@70,29844,0.00214046753968717,0.001374059634271082,0.003066724956385438,200,DESCRIPTIVE
DIOR-R,A,1.6,Risk@90,29844,5.122114036415493e-06,-0.000730039654868882,0.0006037108837248572,200,DESCRIPTIVE
DIOR-R,A,1.7,AUGRC,28940,0.0008428134199546938,0.000639950112883511,0.0010636976330591777,200,DESCRIPTIVE
DIOR-R,A,1.7,Risk@70,28940,0.0022589755069400766,0.001457494416543247,0.003044051163513689,200,DESCRIPTIVE
DIOR-R,A,1.7,Risk@90,28940,0.00019684293304224332,-0.00047311086959015786,0.0008127694580174812,200,DESCRIPTIVE
DIOR-R,A,1.8,AUGRC,28240,0.0008678717145037228,0.0006604285373338398,0.0010875539197370279,200,DESCRIPTIVE
DIOR-R,A,1.8,Risk@70,28240,0.002352217197056722,0.0015340037751538623,0.0031697023193853627,200,DESCRIPTIVE
DIOR-R,A,1.8,Risk@90,28240,0.0003752429059717538,-0.0003872765399997287,0.0009503755411900529,200,DESCRIPTIVE
DIOR-R,A,1.9,AUGRC,27484,0.0008900500816728489,0.0006763707426358661,0.0010955661858243343,200,DESCRIPTIVE
DIOR-R,A,1.9,Risk@70,27484,0.0024979858542538425,0.0015339936937596836,0.0032450588728990914,200,DESCRIPTIVE
DIOR-R,A,1.9,Risk@90,27484,0.0003998897188817324,-0.0003112377443650138,0.0010364339217576496,200,DESCRIPTIVE
DIOR-R,A,2.0,AUGRC,26901,0.0009168497967261616,0.0006945746816107615,0.0011251150419725113,200,DESCRIPTIVE
DIOR-R,A,2.0,Risk@70,26901,0.0024517234979143307,0.0015800585569906902,0.003249273033843537,200,DESCRIPTIVE
DIOR-R,A,2.0,Risk@90,26901,0.0005683631563918601,-0.00013088887804346328,0.0011865987398153636,200,DESCRIPTIVE
DIOR-R,A,2.1,AUGRC,25080,0.0009674199180386631,0.0007285957538217374,0.0011979998495050253,200,DESCRIPTIVE
DIOR-R,A,2.1,Risk@70,25080,0.002402336916190642,0.0014160033944514555,0.003327552052632787,200,DESCRIPTIVE
DIOR-R,A,2.1,Risk@90,25080,0.000671496080758234,-8.671615954707767e-05,0.00128853004150856,200,DESCRIPTIVE
DIOR-R,A,2.2,AUGRC,22240,0.0011063350561835161,0.0008219169018446487,0.0013840881928799795,200,DESCRIPTIVE
DIOR-R,A,2.2,Risk@70,22240,0.0027406125014495866,0.001542416647992224,0.0037930275641542945,200,DESCRIPTIVE
DIOR-R,A,2.2,Risk@90,22240,0.0006903916150156966,-0.00012115491357745244,0.0014639302483118123,200,DESCRIPTIVE
DIOR-R,A,2.3,AUGRC,20833,0.0011274842774632102,0.0008125452007412266,0.0014246734370057853,200,DESCRIPTIVE
DIOR-R,A,2.3,Risk@70,20833,0.0026371596296158595,0.0013869432937788013,0.0037693670557269457,200,DESCRIPTIVE
DIOR-R,A,2.3,Risk@90,20833,0.0007213356902992588,-0.0001844308562682448,0.001511075076936762,200,DESCRIPTIVE
DIOR-R,A,2.4,AUGRC,19357,0.0011896985578741283,0.0008191451404913564,0.0015104349711624677,200,DESCRIPTIVE
DIOR-R,A,2.4,Risk@70,19357,0.0025140628282843552,0.0012384298646448753,0.00394207905196758,200,DESCRIPTIVE
DIOR-R,A,2.4,Risk@90,19357,0.0007926827762751443,-0.000268711106777777,0.0015941257085009717,200,DESCRIPTIVE
DIOR-R,A,2.5,AUGRC,17785,0.0012608813042456098,0.0008642823107962289,0.0015892572505575818,200,DESCRIPTIVE
DIOR-R,A,2.5,Risk@70,17785,0.002547606996406486,0.0011448884228144533,0.003915376438429459,200,DESCRIPTIVE
DIOR-R,A,2.5,Risk@90,17785,0.0009523737024660708,-0.00025012602880214945,0.001844234352262542,200,DESCRIPTIVE
DIOR-R,A,2.6,AUGRC,15890,0.0012925290249966581,0.0008677894835719601,0.0016703840344182398,200,DESCRIPTIVE
DIOR-R,A,2.6,Risk@70,15890,0.002473457549787693,0.0010535514792292166,0.004015073686533363,200,DESCRIPTIVE
DIOR-R,A,2.6,Risk@90,15890,0.0008968759336053719,-0.0002803329516412742,0.001869858763909758,200,DESCRIPTIVE
DIOR-R,A,2.7,AUGRC,13994,0.0014369241519987218,0.0009924903038758535,0.001858623516906416,200,DESCRIPTIVE
DIOR-R,A,2.7,Risk@70,13994,0.0029977593902329527,0.0015114696705240257,0.004451175609908285,200,DESCRIPTIVE
DIOR-R,A,2.7,Risk@90,13994,0.0011066725142231254,-0.00037380638077368024,0.002132794157867765,200,DESCRIPTIVE
DIOR-R,A,2.8,AUGRC,12196,0.0015080529100823283,0.0010200568059896926,0.001975186877449926,200,DESCRIPTIVE
DIOR-R,A,2.8,Risk@70,12196,0.003101984390788501,0.0014759716660796467,0.004519109484566796,200,DESCRIPTIVE
DIOR-R,A,2.8,Risk@90,12196,0.0010608663999844142,-0.00043246897080809546,0.002168558422086223,200,DESCRIPTIVE
DIOR-R,A,2.9,AUGRC,10373,0.0015357199694468575,0.0010062451655546943,0.0020374301952046097,200,DESCRIPTIVE
DIOR-R,A,2.9,Risk@70,10373,0.0031590675195777435,0.0014456529497743034,0.0045186816669907336,200,DESCRIPTIVE
DIOR-R,A,2.9,Risk@90,10373,0.0010803257868809493,-0.0004051809759917493,0.0021526346730753637,200,DESCRIPTIVE
DIOR-R,A,3.0,AUGRC,9029,0.0017401697785345803,0.0011601995314412658,0.0022774652539730555,200,DESCRIPTIVE
DIOR-R,A,3.0,Risk@70,9029,0.0037349964909919667,0.0018762405156292137,0.005201534213933096,200,DESCRIPTIVE
DIOR-R,A,3.0,Risk@90,9029,0.0014230748030921447,0.00021710040614079907,0.0024610317283634206,200,DESCRIPTIVE
DIOR-R,B,1.0,AUGRC,47887,-0.008161166488287866,-0.008892103788391788,-0.007242194354369535,200,DESCRIPTIVE
DIOR-R,B,1.0,Risk@70,47887,-0.01816256807052727,-0.021138177331003687,-0.014786301264856666,200,DESCRIPTIVE
DIOR-R,B,1.0,Risk@90,47887,-0.012672260120918169,-0.014559004065335973,-0.011047510746861817,200,DESCRIPTIVE
DIOR-R,B,1.1,AUGRC,41115,-0.0018911448891865516,-0.0023055111402152644,-0.0014531504210948964,200,DESCRIPTIVE
DIOR-R,B,1.1,Risk@70,41115,-0.004236601675231565,-0.00580673936906872,-0.0026786740727084667,200,DESCRIPTIVE
DIOR-R,B,1.1,Risk@90,41115,-0.007083834384719885,-0.008562718204753272,-0.005317114106387523,200,DESCRIPTIVE
DIOR-R,B,1.2,AUGRC,37764,-0.0001452727432292543,-0.00037584648984021233,0.00010910981771554549,200,DESCRIPTIVE
DIOR-R,B,1.2,Risk@70,37764,-0.0007975521365244653,-0.0016967322995134534,0.00019079424980468913,200,DESCRIPTIVE
DIOR-R,B,1.2,Risk@90,37764,-0.0024728333820211376,-0.0031468997200154013,-0.0015266177400046026,200,DESCRIPTIVE
DIOR-R,B,1.3,AUGRC,35830,0.00027997960092157603,0.0001170116511166765,0.0004785350997607639,200,DESCRIPTIVE
DIOR-R,B,1.3,Risk@70,35830,5.067546879227586e-05,-0.0007404973141655125,0.0007788813388570009,200,DESCRIPTIVE
DIOR-R,B,1.3,Risk@90,35830,-0.0010613201330150895,-0.0015739875298242138,-0.00046034841295689016,200,DESCRIPTIVE
DIOR-R,B,1.4,AUGRC,34486,0.0004932600103445262,0.00033442378261517815,0.0006723451621489572,200,DESCRIPTIVE
DIOR-R,B,1.4,Risk@70,34486,0.0005138807755318345,-0.00020158053694778097,0.0012744544359941724,200,DESCRIPTIVE
DIOR-R,B,1.4,Risk@90,34486,-0.0004390139820933392,-0.0009634646410468089,4.047213232573051e-06,200,DESCRIPTIVE
DIOR-R,B,1.5,AUGRC,33567,0.0005980484461808669,0.00044778535375554067,0.0007458990684910701,200,DESCRIPTIVE
DIOR-R,B,1.5,Risk@70,33567,0.0007465821295758387,6.773727926099542e-05,0.0014765252897994932,200,DESCRIPTIVE
DIOR-R,B,1.5,Risk@90,33567,-2.08226386131799e-05,-0.000400915061089609,0.0002582718826864492,200,DESCRIPTIVE
