dataset,unit,clusters,eligible_clusters_main,endpoint,bootstrap_se,mde80_normal_approx,status
DIOR-R,A,5368,3497.0,AUGRC,0.00012300363137529116,0.00034441016785081524,DESCRIPTIVE
DIOR-R,A,5368,3497.0,Risk@70,0.0004825995022790868,0.001351278606381443,DESCRIPTIVE
DIOR-R,A,5368,3497.0,Risk@90,0.00033623876235809114,0.0009414685346026551,DESCRIPTIVE
DIOR-R,B,5455,3643.0,AUGRC,8.478651965147402e-05,0.00023740225502412722,DESCRIPTIVE
DIOR-R,B,5455,3643.0,Risk@70,0.0003446754807441757,0.0009650913460836919,DESCRIPTIVE
DIOR-R,B,5455,3643.0,Risk@90,0.0001872333991702418,0.000524253517676677,DESCRIPTIVE
DIOR-R,C,5525,3697.0,AUGRC,0.00016784704851889102,0.0004699717358528948,DESCRIPTIVE
DIOR-R,C,5525,3697.0,Risk@70,0.0004111740139419371,0.001151287239037424,DESCRIPTIVE
DIOR-R,C,5525,3697.0,Risk@90,0.00033599682502741707,0.0009407911100767678,DESCRIPTIVE
FAIR1M,D,1876,1222.0,AUGRC,0.0001596554974660734,0.0004470353929050055,DESCRIPTIVE
FAIR1M,D,1876,1222.0,Risk@70,0.0003656726963636235,0.0010238835498181458,DESCRIPTIVE
FAIR1M,D,1876,1222.0,Risk@90,0.0001817637950179926,0.0005089386260503792,DESCRIPTIVE
SODA-A,E,569,415.0,AUGRC,0.0001341408448283084,0.0003755943655192635,DESCRIPTIVE
SODA-A,E,569,415.0,Risk@70,0.0002972566366178375,0.000832318582529945,DESCRIPTIVE
SODA-A,E,569,415.0,Risk@90,0.0002185981413966218,0.000612074795910541,DESCRIPTIVE
SODA-A,F,569,417.0,AUGRC,4.802168397658405e-05,0.00013446071513443532,DESCRIPTIVE
SODA-A,F,569,417.0,Risk@70,0.00011585838918724557,0.00032440348972428756,DESCRIPTIVE
SODA-A,F,569,417.0,Risk@90,0.0002969634819622429,0.0008314977494942802,DESCRIPTIVE
DOTA-v1.0,orcnn,458,,AUGRC,0.0029043732445871964,0.008132245084844149,DESCRIPTIVE
DOTA-v1.0,rtmdet,458,,AUGRC,0.0036946028438957514,0.010344887962908103,DESCRIPTIVE
DOTA-v1.0,orcnn,458,,Risk@70,0.0060944286380136695,0.017064400186438275,DESCRIPTIVE
DOTA-v1.0,rtmdet,458,,Risk@70,0.008302679853379303,0.023247503589462048,DESCRIPTIVE
