dataset,unit,cohort,probe,rows,AUGRC,Risk@70,Risk@90,status
DIOR-R,A,MAIN_AR_GE_2.1,raw_confidence,25080,0.02026966782991315,0.041802659499434104,0.04772550419977981,DESCRIPTIVE
DIOR-R,A,MAIN_AR_GE_2.1,linear_source_frozen,25080,0.021237087747951813,0.044204996415624746,0.04839700028053805,DESCRIPTIVE
DIOR-R,A,MAIN_AR_GE_2.1,tta_angle,25080,0.01830063253225945,0.036589297948901305,0.0453506314660333,DESCRIPTIVE
DIOR-R,A,MAIN_AR_GE_2.1,tta_localization,25080,0.019975091122620855,0.040546336012696554,0.04798833804208275,DESCRIPTIVE
DIOR-R,A,ALL_AR,raw_confidence,43848,0.04983422288635606,0.10058937721519222,0.11777888644811246,DESCRIPTIVE
DIOR-R,A,ALL_AR,linear_source_frozen,43848,0.03901954082241025,0.07418122669521182,0.09985403610837972,DESCRIPTIVE
DIOR-R,A,ALL_AR,tta_angle,43848,0.049719358029436236,0.08595773932148155,0.0882897788088376,DESCRIPTIVE
DIOR-R,A,ALL_AR,tta_localization,43848,0.05388248036989796,0.1079225994697553,0.11778538211425629,DESCRIPTIVE
DIOR-R,B,MAIN_AR_GE_2.1,raw_confidence,27682,0.022654420891975075,0.04588508438521489,0.052833048994450495,DESCRIPTIVE
DIOR-R,B,MAIN_AR_GE_2.1,linear_source_frozen,27682,0.02332963464550149,0.047270297054225266,0.05275589572845661,DESCRIPTIVE
DIOR-R,B,MAIN_AR_GE_2.1,tta_angle,27682,0.021868716085535367,0.043534516448031205,0.05060310358717695,DESCRIPTIVE
DIOR-R,B,MAIN_AR_GE_2.1,tta_localization,27682,0.022212764913449014,0.04445955616535309,0.05196069575253521,DESCRIPTIVE
DIOR-R,B,ALL_AR,raw_confidence,47887,0.049134815840889565,0.095808678942763,0.11602939837993748,DESCRIPTIVE
DIOR-R,B,ALL_AR,linear_source_frozen,47887,0.0409736493526017,0.07764611087223573,0.10335713825901931,DESCRIPTIVE
DIOR-R,B,ALL_AR,tta_angle,47887,0.04068192669506853,0.07331693553090717,0.0847684931164413,DESCRIPTIVE
DIOR-R,B,ALL_AR,tta_localization,47887,0.0505719293471487,0.10194300229770843,0.11326601438869979,DESCRIPTIVE
DIOR-R,C,MAIN_AR_GE_2.1,raw_confidence,27410,0.02412686078598819,0.0480817459141519,0.058624435006139425,DESCRIPTIVE
DIOR-R,C,MAIN_AR_GE_2.1,linear_source_frozen,27410,0.02697116493270991,0.052412743426860746,0.05772995417989536,DESCRIPTIVE
DIOR-R,C,MAIN_AR_GE_2.1,tta_angle,27410,0.024385728158108865,0.048730688360695336,0.05659624740452102,DESCRIPTIVE
DIOR-R,C,MAIN_AR_GE_2.1,tta_localization,27410,0.023696640660623765,0.04729874992848907,0.0577199151337836,DESCRIPTIVE
DIOR-R,C,ALL_AR,raw_confidence,47881,0.05039712376526445,0.09818307220466597,0.11897483869876145,DESCRIPTIVE
DIOR-R,C,ALL_AR,linear_source_frozen,47881,0.03975204726446964,0.07657377853804936,0.10497302197745922,DESCRIPTIVE
DIOR-R,C,ALL_AR,tta_angle,47881,0.06086656553652953,0.11680935554471882,0.12089912066290937,DESCRIPTIVE
DIOR-R,C,ALL_AR,tta_localization,47881,0.05094390397728883,0.10009400564571562,0.11901764198941724,DESCRIPTIVE
FAIR1M,D,MAIN_AR_GE_2.1,raw_confidence,15132,0.03193682148765096,0.06394912364531259,0.06494086007175166,DESCRIPTIVE
FAIR1M,D,MAIN_AR_GE_2.1,linear_source_frozen,15132,0.03231278079845012,0.06452054969996383,0.06544836590112074,DESCRIPTIVE
FAIR1M,D,MAIN_AR_GE_2.1,tta_angle,15132,0.028784731399507622,0.058635755882903845,0.06254666340141625,DESCRIPTIVE
FAIR1M,D,MAIN_AR_GE_2.1,tta_localization,15132,0.03143755462514973,0.06354016761628585,0.06535499957705986,DESCRIPTIVE
FAIR1M,D,ALL_AR,raw_confidence,26108,0.045576693865798934,0.08591842200033531,0.08302716791874716,DESCRIPTIVE
FAIR1M,D,ALL_AR,linear_source_frozen,26108,0.04859832467756975,0.0895900136218706,0.0840495640205032,DESCRIPTIVE
FAIR1M,D,ALL_AR,tta_angle,26108,0.03464569569639537,0.07053170936147382,0.07224788158435587,DESCRIPTIVE
FAIR1M,D,ALL_AR,tta_localization,26108,0.04558954692641887,0.08686570464909513,0.08383087821530427,DESCRIPTIVE
SODA-A,E,MAIN_AR_GE_2.1,raw_confidence,101160,0.025867630593730758,0.05127798570828881,0.054373959939830185,DESCRIPTIVE
SODA-A,E,MAIN_AR_GE_2.1,linear_source_frozen,101160,0.025835131822848557,0.05096037787686278,0.05401310673913511,DESCRIPTIVE
SODA-A,E,MAIN_AR_GE_2.1,tta_angle,101160,0.02347183503625715,0.04788727725643975,0.052296853426296426,DESCRIPTIVE
SODA-A,E,MAIN_AR_GE_2.1,tta_localization,101160,0.025108033287484857,0.05076860384114341,0.054499033822047516,DESCRIPTIVE
SODA-A,E,ALL_AR,raw_confidence,157586,0.0481062997854491,0.08786098787732968,0.08515570671474373,DESCRIPTIVE
SODA-A,E,ALL_AR,linear_source_frozen,157586,0.05061241863404378,0.09077765084154854,0.08593859310043295,DESCRIPTIVE
SODA-A,E,ALL_AR,tta_angle,157586,0.03702441069348291,0.06927717100841414,0.0713187972184377,DESCRIPTIVE
SODA-A,E,ALL_AR,tta_localization,157586,0.043004783485493955,0.08585344671953603,0.0854827911372475,DESCRIPTIVE
