dataset,unit,cutoff,endpoint,rows,delta_linear_minus_raw,status
DIOR-R,A,1.0,AUGRC,43848,-0.010814682063945813,DESCRIPTIVE
DIOR-R,A,1.0,Risk@70,43848,-0.026408150519980397,DESCRIPTIVE
DIOR-R,A,1.1,AUGRC,37471,-0.0029029760486512166,DESCRIPTIVE
DIOR-R,A,1.1,Risk@70,37471,-0.007445757013538071,DESCRIPTIVE
DIOR-R,A,1.2,AUGRC,34397,-0.0006167755976726058,DESCRIPTIVE
DIOR-R,A,1.2,Risk@70,34397,-0.0014995949074996032,DESCRIPTIVE
DIOR-R,A,1.3,AUGRC,32616,7.595503251023317e-05,DESCRIPTIVE
DIOR-R,A,1.3,Risk@70,32616,0.0001215141306569606,DESCRIPTIVE
DIOR-R,A,1.4,AUGRC,31384,0.0005683107323438165,DESCRIPTIVE
DIOR-R,A,1.4,Risk@70,31384,0.001714531618683554,DESCRIPTIVE
DIOR-R,A,1.5,AUGRC,30542,0.0007810265853550741,DESCRIPTIVE
DIOR-R,A,1.5,Risk@70,30542,0.002158574304783077,DESCRIPTIVE
DIOR-R,A,1.6,AUGRC,29844,0.0008208577183346707,DESCRIPTIVE
DIOR-R,A,1.6,Risk@70,29844,0.00214046753968717,DESCRIPTIVE
DIOR-R,A,1.7,AUGRC,28940,0.0008428134199546938,DESCRIPTIVE
DIOR-R,A,1.7,Risk@70,28940,0.0022589755069400766,DESCRIPTIVE
DIOR-R,A,1.8,AUGRC,28240,0.0008678717145037228,DESCRIPTIVE
DIOR-R,A,1.8,Risk@70,28240,0.002352217197056722,DESCRIPTIVE
DIOR-R,A,1.9,AUGRC,27484,0.0008900500816728489,DESCRIPTIVE
DIOR-R,A,1.9,Risk@70,27484,0.0024979858542538425,DESCRIPTIVE
DIOR-R,A,2.0,AUGRC,26901,0.0009168497967261616,DESCRIPTIVE
DIOR-R,A,2.0,Risk@70,26901,0.0024517234979143307,DESCRIPTIVE
DIOR-R,A,2.1,AUGRC,25080,0.0009674199180386631,DESCRIPTIVE
DIOR-R,A,2.1,Risk@70,25080,0.002402336916190642,DESCRIPTIVE
DIOR-R,A,2.2,AUGRC,22240,0.0011063350561835161,DESCRIPTIVE
DIOR-R,A,2.2,Risk@70,22240,0.0027406125014495866,DESCRIPTIVE
DIOR-R,A,2.3,AUGRC,20833,0.0011274842774632102,DESCRIPTIVE
DIOR-R,A,2.3,Risk@70,20833,0.0026371596296158595,DESCRIPTIVE
DIOR-R,A,2.4,AUGRC,19357,0.0011896985578741283,DESCRIPTIVE
DIOR-R,A,2.4,Risk@70,19357,0.0025140628282843552,DESCRIPTIVE
DIOR-R,A,2.5,AUGRC,17785,0.0012608813042456098,DESCRIPTIVE
DIOR-R,A,2.5,Risk@70,17785,0.002547606996406486,DESCRIPTIVE
DIOR-R,A,2.6,AUGRC,15890,0.0012925290249966581,DESCRIPTIVE
DIOR-R,A,2.6,Risk@70,15890,0.002473457549787693,DESCRIPTIVE
DIOR-R,A,2.7,AUGRC,13994,0.0014369241519987218,DESCRIPTIVE
DIOR-R,A,2.7,Risk@70,13994,0.0029977593902329527,DESCRIPTIVE
DIOR-R,A,2.8,AUGRC,12196,0.0015080529100823283,DESCRIPTIVE
DIOR-R,A,2.8,Risk@70,12196,0.003101984390788501,DESCRIPTIVE
DIOR-R,A,2.9,AUGRC,10373,0.0015357199694468575,DESCRIPTIVE
DIOR-R,A,2.9,Risk@70,10373,0.0031590675195777435,DESCRIPTIVE
DIOR-R,A,3.0,AUGRC,9029,0.0017401697785345803,DESCRIPTIVE
DIOR-R,A,3.0,Risk@70,9029,0.0037349964909919667,DESCRIPTIVE
DIOR-R,B,1.0,AUGRC,47887,-0.008161166488287866,DESCRIPTIVE
DIOR-R,B,1.0,Risk@70,47887,-0.01816256807052727,DESCRIPTIVE
DIOR-R,B,1.1,AUGRC,41115,-0.0018911448891865516,DESCRIPTIVE
DIOR-R,B,1.1,Risk@70,41115,-0.004236601675231565,DESCRIPTIVE
DIOR-R,B,1.2,AUGRC,37764,-0.0001452727432292543,DESCRIPTIVE
DIOR-R,B,1.2,Risk@70,37764,-0.0007975521365244653,DESCRIPTIVE
DIOR-R,B,1.3,AUGRC,35830,0.00027997960092157603,DESCRIPTIVE
DIOR-R,B,1.3,Risk@70,35830,5.067546879227586e-05,DESCRIPTIVE
DIOR-R,B,1.4,AUGRC,34486,0.0004932600103445262,DESCRIPTIVE
DIOR-R,B,1.4,Risk@70,34486,0.0005138807755318345,DESCRIPTIVE
DIOR-R,B,1.5,AUGRC,33567,0.0005980484461808669,DESCRIPTIVE
DIOR-R,B,1.5,Risk@70,33567,0.0007465821295758387,DESCRIPTIVE
DIOR-R,B,1.6,AUGRC,32795,0.0006217322794330321,DESCRIPTIVE
DIOR-R,B,1.6,Risk@70,32795,0.0008120129140099797,DESCRIPTIVE
DIOR-R,B,1.7,AUGRC,31853,0.0006350348281140006,DESCRIPTIVE
DIOR-R,B,1.7,Risk@70,31853,0.0009796992424011969,DESCRIPTIVE
DIOR-R,B,1.8,AUGRC,31116,0.0006406531953015021,DESCRIPTIVE
DIOR-R,B,1.8,Risk@70,31116,0.0011092636027260974,DESCRIPTIVE
DIOR-R,B,1.9,AUGRC,30303,0.0006574707574075397,DESCRIPTIVE
DIOR-R,B,1.9,Risk@70,30303,0.001281795561387175,DESCRIPTIVE
DIOR-R,B,2.0,AUGRC,29635,0.000682744051741728,DESCRIPTIVE
DIOR-R,B,2.0,Risk@70,29635,0.0014130600130144097,DESCRIPTIVE
DIOR-R,B,2.1,AUGRC,27682,0.0006752137535264158,DESCRIPTIVE
DIOR-R,B,2.1,Risk@70,27682,0.0013852126690103786,DESCRIPTIVE
DIOR-R,B,2.2,AUGRC,24693,0.000673999645652637,DESCRIPTIVE
