dataset,unit_aggregation,clusters,eligible_clusters_main,endpoint,bootstrap_se,mde80_normal_approx,bootstrap_replicates,status
DIOR-R,equal_unit,5697,3904,AUGRC,9.83969928060141e-05,0.00027551157985683945,10000,DESCRIPTIVE
DIOR-R,equal_unit,5697,3904,Risk@70,0.0003163807366234043,0.000885866062545532,10000,DESCRIPTIVE
DIOR-R,equal_unit,5697,3904,Risk@90,0.00021328829143392206,0.0005972072160149817,10000,DESCRIPTIVE
FAIR1M,equal_unit,1876,1222,AUGRC,0.0001596554974660734,0.0004470353929050055,10000,DESCRIPTIVE
FAIR1M,equal_unit,1876,1222,Risk@70,0.0003656726963636235,0.0010238835498181458,10000,DESCRIPTIVE
FAIR1M,equal_unit,1876,1222,Risk@90,0.0001817637950179926,0.0005089386260503792,10000,DESCRIPTIVE
SODA-A,equal_unit,569,419,AUGRC,8.501326639892783e-05,0.0002380371459169979,10000,DESCRIPTIVE
SODA-A,equal_unit,569,419,Risk@70,0.00019338090316678693,0.0005414665288670034,10000,DESCRIPTIVE
SODA-A,equal_unit,569,419,Risk@90,0.00025135188829614424,0.0007037852872292038,10000,DESCRIPTIVE
DOTA-v1.0,equal_unit,458,458,AUGRC,0.0002911695584175,0.000815274763569,200,DESCRIPTIVE_CI_DERIVED
DOTA-v1.0,equal_unit,458,458,Risk@70,0.0006032414524343622,0.001689076066816214,200,DESCRIPTIVE_CI_DERIVED
DOTA-v1.0,equal_unit,458,458,Risk@90,0.0001794278138577929,0.0005023978788018201,200,DESCRIPTIVE_CI_DERIVED
