source,unit,cohort,endpoint,rows,value,status,ci_low,ci_high,bootstrap_replicates
FAIR1M_source,orcnn,MAIN,AUGRC,33030,0.02638934700486108,DESCRIPTIVE,,,
FAIR1M_source,orcnn,MAIN,Risk@70,33030,0.05308611971975188,DESCRIPTIVE,,,
FAIR1M_source,orcnn,ALL_AR,AUGRC,48889,0.047740352251538165,DESCRIPTIVE,,,
FAIR1M_source,orcnn,ALL_AR,Risk@70,48889,0.09299257071273254,DESCRIPTIVE,,,
FAIR1M_source,rtmdet,MAIN,AUGRC,34385,0.026495236604713104,DESCRIPTIVE,,,
FAIR1M_source,rtmdet,MAIN,Risk@70,34385,0.05278160483524992,DESCRIPTIVE,,,
FAIR1M_source,rtmdet,ALL_AR,AUGRC,51736,0.04469543564779654,DESCRIPTIVE,,,
FAIR1M_source,rtmdet,ALL_AR,Risk@70,51736,0.08469123201648505,DESCRIPTIVE,,,
FAIR1M_source,DOTA_equal_unit,MAIN,AUGRC,67415,0.02644229180478709,DESCRIPTIVE,0.025049587766957045,0.027644365733146672,1000.0
FAIR1M_source,DOTA_equal_unit,MAIN,Risk@70,67415,0.052933862277500895,DESCRIPTIVE,0.05011262283652565,0.05544161278539872,1000.0
FAIR1M_source,DOTA_equal_unit,ALL_AR,AUGRC,100625,0.046217893949667355,DESCRIPTIVE,0.03832797149871527,0.05621940457277973,1000.0
FAIR1M_source,DOTA_equal_unit,ALL_AR,Risk@70,100625,0.08884190136460879,DESCRIPTIVE,0.07396920170716961,0.10840539361312153,1000.0
SODA_source,orcnn,MAIN,AUGRC,33030,0.026289809332893984,DESCRIPTIVE,,,
SODA_source,orcnn,MAIN,Risk@70,33030,0.05273564668816496,DESCRIPTIVE,,,
SODA_source,orcnn,ALL_AR,AUGRC,48889,0.051906523694431564,DESCRIPTIVE,,,
SODA_source,orcnn,ALL_AR,Risk@70,48889,0.09776071229686761,DESCRIPTIVE,,,
SODA_source,rtmdet,MAIN,AUGRC,34385,0.025199705338994932,DESCRIPTIVE,,,
SODA_source,rtmdet,MAIN,Risk@70,34385,0.050474143274936045,DESCRIPTIVE,,,
SODA_source,rtmdet,ALL_AR,AUGRC,51736,0.0513478592506454,DESCRIPTIVE,,,
SODA_source,rtmdet,ALL_AR,Risk@70,51736,0.09433233132299404,DESCRIPTIVE,,,
SODA_source,DOTA_equal_unit,MAIN,AUGRC,67415,0.02574475733594446,DESCRIPTIVE,0.02426656039750385,0.026990667357000418,1000.0
SODA_source,DOTA_equal_unit,MAIN,Risk@70,67415,0.051604894981550506,DESCRIPTIVE,0.04851974336095859,0.05428981568545193,1000.0
SODA_source,DOTA_equal_unit,ALL_AR,AUGRC,100625,0.05162719147253848,DESCRIPTIVE,0.041184084571600464,0.06466748756206897,1000.0
SODA_source,DOTA_equal_unit,ALL_AR,Risk@70,100625,0.09604652180993083,DESCRIPTIVE,0.07733065615167141,0.12005056602225812,1000.0
