dataset,cluster,cluster_index
DIOR-R,11726,0
DIOR-R,11727,1
DIOR-R,11728,2
DIOR-R,11731,3
DIOR-R,11732,4
DIOR-R,11733,5
DIOR-R,11734,6
DIOR-R,11736,7
DIOR-R,11737,8
DIOR-R,11739,9
DIOR-R,11740,10
DIOR-R,11741,11
DIOR-R,11742,12
DIOR-R,11744,13
DIOR-R,11745,14
DIOR-R,11747,15
DIOR-R,11748,16
DIOR-R,11749,17
DIOR-R,11752,18
DIOR-R,11753,19
DIOR-R,11754,20
DIOR-R,11755,21
DIOR-R,11758,22
DIOR-R,11759,23
DIOR-R,11760,24
DIOR-R,11763,25
DIOR-R,11765,26
DIOR-R,11766,27
DIOR-R,11770,28
DIOR-R,11774,29
DIOR-R,11775,30
DIOR-R,11776,31
DIOR-R,11777,32
DIOR-R,11779,33
DIOR-R,11782,34
DIOR-R,11784,35
DIOR-R,11787,36
DIOR-R,11788,37
DIOR-R,11789,38
DIOR-R,11792,39
DIOR-R,11793,40
DIOR-R,11795,41
DIOR-R,11796,42
DIOR-R,11799,43
DIOR-R,11803,44
DIOR-R,11805,45
DIOR-R,11807,46
DIOR-R,11808,47
DIOR-R,11809,48
DIOR-R,11810,49
DIOR-R,11815,50
DIOR-R,11818,51
DIOR-R,11819,52
DIOR-R,11821,53
DIOR-R,11823,54
DIOR-R,11825,55
DIOR-R,11826,56
DIOR-R,11827,57
DIOR-R,11828,58
DIOR-R,11829,59
DIOR-R,11832,60
DIOR-R,11833,61
DIOR-R,11835,62
DIOR-R,11837,63
DIOR-R,11841,64
DIOR-R,11842,65
DIOR-R,11843,66
DIOR-R,11845,67
DIOR-R,11846,68
DIOR-R,11848,69
DIOR-R,11850,70
DIOR-R,11852,71
DIOR-R,11854,72
DIOR-R,11856,73
DIOR-R,11857,74
DIOR-R,11858,75
DIOR-R,11861,76
DIOR-R,11864,77
DIOR-R,11865,78
DIOR-R,11869,79
DIOR-R,11872,80
DIOR-R,11874,81
DIOR-R,11878,82
DIOR-R,11879,83
DIOR-R,11882,84
DIOR-R,11883,85
DIOR-R,11884,86
DIOR-R,11885,87
DIOR-R,11886,88
DIOR-R,11888,89
DIOR-R,11889,90
DIOR-R,11892,91
DIOR-R,11896,92
DIOR-R,11898,93
DIOR-R,11900,94
DIOR-R,11901,95
DIOR-R,11904,96
DIOR-R,11905,97
DIOR-R,11909,98
DIOR-R,11911,99
DIOR-R,11912,100
DIOR-R,11913,101
DIOR-R,11915,102
DIOR-R,11919,103
DIOR-R,11924,104
DIOR-R,11925,105
DIOR-R,11928,106
DIOR-R,11929,107
DIOR-R,11937,108
DIOR-R,11938,109
DIOR-R,11939,110
DIOR-R,11941,111
DIOR-R,11942,112
DIOR-R,11944,113
DIOR-R,11945,114
DIOR-R,11946,115
DIOR-R,11947,116
DIOR-R,11948,117
DIOR-R,11949,118
DIOR-R,11951,119
DIOR-R,11952,120
DIOR-R,11953,121
DIOR-R,11954,122
DIOR-R,11956,123
DIOR-R,11958,124
DIOR-R,11963,125
DIOR-R,11972,126
DIOR-R,11975,127
DIOR-R,11977,128
DIOR-R,11978,129
DIOR-R,11979,130
DIOR-R,11980,131
DIOR-R,11981,132
DIOR-R,11982,133
DIOR-R,11984,134
DIOR-R,11988,135
DIOR-R,11993,136
DIOR-R,11997,137
DIOR-R,11999,138
DIOR-R,12000,139
DIOR-R,12003,140
DIOR-R,12006,141
DIOR-R,12008,142
DIOR-R,12009,143
DIOR-R,12010,144
DIOR-R,12011,145
DIOR-R,12012,146
DIOR-R,12013,147
DIOR-R,12017,148
DIOR-R,12019,149
DIOR-R,12020,150
DIOR-R,12028,151
DIOR-R,12031,152
DIOR-R,12034,153
DIOR-R,12036,154
DIOR-R,12040,155
DIOR-R,12045,156
DIOR-R,12047,157
DIOR-R,12048,158
DIOR-R,12050,159
DIOR-R,12051,160
DIOR-R,12052,161
DIOR-R,12053,162
DIOR-R,12054,163
DIOR-R,12057,164
DIOR-R,12058,165
DIOR-R,12060,166
DIOR-R,12062,167
DIOR-R,12063,168
DIOR-R,12065,169
DIOR-R,12068,170
DIOR-R,12070,171
DIOR-R,12079,172
DIOR-R,12080,173
DIOR-R,12082,174
DIOR-R,12083,175
DIOR-R,12084,176
DIOR-R,12085,177
DIOR-R,12086,178
DIOR-R,12091,179
DIOR-R,12093,180
DIOR-R,12096,181
DIOR-R,12097,182
DIOR-R,12098,183
DIOR-R,12102,184
DIOR-R,12104,185
DIOR-R,12105,186
DIOR-R,12106,187
DIOR-R,12108,188
DIOR-R,12109,189
DIOR-R,12111,190
DIOR-R,12112,191
DIOR-R,12113,192
DIOR-R,12114,193
DIOR-R,12122,194
DIOR-R,12124,195
DIOR-R,12126,196
DIOR-R,12127,197
DIOR-R,12128,198
DIOR-R,12129,199
DIOR-R,12131,200
DIOR-R,12133,201
DIOR-R,12134,202
DIOR-R,12135,203
DIOR-R,12137,204
DIOR-R,12140,205
DIOR-R,12143,206
DIOR-R,12144,207
DIOR-R,12145,208
DIOR-R,12146,209
DIOR-R,12147,210
DIOR-R,12152,211
DIOR-R,12156,212
DIOR-R,12157,213
DIOR-R,12159,214
DIOR-R,12160,215
DIOR-R,12161,216
DIOR-R,12163,217
DIOR-R,12164,218
DIOR-R,12168,219
DIOR-R,12169,220
DIOR-R,12170,221
DIOR-R,12172,222
DIOR-R,12173,223
DIOR-R,12174,224
DIOR-R,12175,225
DIOR-R,12176,226
DIOR-R,12178,227
DIOR-R,12182,228
DIOR-R,12183,229
DIOR-R,12185,230
DIOR-R,12186,231
DIOR-R,12187,232
DIOR-R,12188,233
DIOR-R,12190,234
DIOR-R,12191,235
DIOR-R,12195,236
DIOR-R,12196,237
DIOR-R,12200,238
DIOR-R,12202,239
DIOR-R,12203,240
DIOR-R,12204,241
DIOR-R,12205,242
DIOR-R,12206,243
DIOR-R,12210,244
DIOR-R,12212,245
DIOR-R,12214,246
DIOR-R,12215,247
DIOR-R,12216,248
DIOR-R,12218,249
DIOR-R,12220,250
DIOR-R,12221,251
DIOR-R,12224,252
DIOR-R,12226,253
DIOR-R,12227,254
DIOR-R,12230,255
DIOR-R,12236,256
DIOR-R,12237,257
DIOR-R,12241,258
DIOR-R,12243,259
DIOR-R,12250,260
DIOR-R,12253,261
DIOR-R,12254,262
DIOR-R,12255,263
DIOR-R,12260,264
DIOR-R,12263,265
DIOR-R,12264,266
DIOR-R,12265,267
DIOR-R,12268,268
DIOR-R,12270,269
DIOR-R,12273,270
DIOR-R,12277,271
DIOR-R,12278,272
DIOR-R,12279,273
DIOR-R,12280,274
DIOR-R,12283,275
DIOR-R,12284,276
DIOR-R,12286,277
DIOR-R,12288,278
DIOR-R,12289,279
DIOR-R,12290,280
DIOR-R,12291,281
DIOR-R,12292,282
DIOR-R,12294,283
DIOR-R,12297,284
DIOR-R,12300,285
DIOR-R,12301,286
DIOR-R,12302,287
DIOR-R,12303,288
DIOR-R,12304,289
DIOR-R,12306,290
DIOR-R,12312,291
DIOR-R,12313,292
DIOR-R,12314,293
DIOR-R,12319,294
DIOR-R,12323,295
DIOR-R,12324,296
DIOR-R,12325,297
DIOR-R,12326,298
DIOR-R,12327,299
DIOR-R,12328,300
DIOR-R,12330,301
DIOR-R,12332,302
DIOR-R,12334,303
DIOR-R,12335,304
DIOR-R,12338,305
DIOR-R,12339,306
DIOR-R,12340,307
DIOR-R,12341,308
DIOR-R,12344,309
DIOR-R,12345,310
DIOR-R,12346,311
DIOR-R,12347,312
DIOR-R,12352,313
DIOR-R,12358,314
DIOR-R,12360,315
DIOR-R,12363,316
DIOR-R,12364,317
DIOR-R,12368,318
DIOR-R,12370,319
DIOR-R,12374,320
DIOR-R,12376,321
DIOR-R,12377,322
DIOR-R,12378,323
DIOR-R,12381,324
DIOR-R,12382,325
DIOR-R,12385,326
DIOR-R,12386,327
DIOR-R,12388,328
DIOR-R,12389,329
DIOR-R,12391,330
DIOR-R,12392,331
DIOR-R,12393,332
DIOR-R,12395,333
DIOR-R,12396,334
DIOR-R,12399,335
DIOR-R,12400,336
DIOR-R,12401,337
DIOR-R,12405,338
DIOR-R,12406,339
