unit,role,absolute_path,bytes,sha256,read_only
A,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/A.parquet,106414303,1680039b73ea6419143621ac5776713f2232b1f1bca953d22ba452dae3990800,True
A,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,133273156,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,True
B,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,76778217,a4a56429d092ae5f2b99eae5bdbad6033b2bc1d3e9db3cd205534903ccdbabb5,True
B,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,132369719,e1772d642990fb45ee00d31a2cc62b8fd468d0e1a99e009e0430e91e51082513,True
C,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,90348339,79b8b9299b7e758bbad663f4a55e94eaca186de14337212f8f1542c02fd38e44,True
C,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,132382835,91d4b372e5340a4849af680d82a3973be0999b2778e89375116067fa6009ea2e,True
D,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,56298120,3d88592b74e3b6ee51515ab530c9020f07518f26ca74c69a84b90ca408d104af,True
D,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,86428641,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,True
E,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,235374169,00e690cd03d5ff00cdd73b87a0c0bec1ad0d1e22889c2da3693975f203252f0b,True
E,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,482776147,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,True
F,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,161849746,c3875f572b6c909b39ab4b5797d60963cf097969aca9ca4eb68a3f50c2caad75,True
F,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,528736628,dd7f37b067a569541140a1bad49bf6ae3a5aea7b0f9eff031ef3fe9a9a2c723f,True
G,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/orcnn.parquet,35893737,8510897cac2ac3be020efc99a457e0d2a99029be9849c32fbce1bf59899e6968,True
G,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,35316997,055d415b6e9ec86b4f339c33a17108a02317b4bde7edf3190bbc36178dbbf79d,True
H,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/rtmdet.parquet,45469877,1013b727c62afb6d40a53288b56b87dc206836faf92dfa784d96065c3bf81da0,True
H,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,37595709,4c19f140c395757b83ca868aab7763fdd0e01f99de2e345461f330a7a8c73e3e,True
