cell,dataset,view,path,bytes,sha256,image_records,unique_images,prediction_count,expected_full_universe_rows,full_universe_rows,zero_prediction_images,status
DIOR-R/22,DIOR-R,identity,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_22/identity.pkl,16654761,0f6fed537fe35b0e1fa34b92dc5550ab6588b982bd86644f324d48b5a70d74b4,5863,5863,212448,5863,5863,0,READY
DIOR-R/22,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_22/hflip.pkl,17008723,9a5611de4706972973ad9505ecb3439d7059fc2361fa79606ca41fdf47b646fb,5863,5863,212605,5863,5863,0,READY
DIOR-R/22,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_22/vflip.pkl,17027938,f0d7b7fe80c38b93608080e46fb3ade35102b59223cd8fd7a97d11a2c123281f,5863,5863,213392,5863,5863,0,READY
DIOR-R/3,DIOR-R,identity,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_3/identity.pkl,10322845,281e2cf2d9c8ef439416eb678e69a40bf133df80f5fdeccd660a598dfea336c9,5863,5863,60881,5863,5863,0,READY
DIOR-R/3,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_3/hflip.pkl,10662045,d74d8ec882d9222264289ba89d1ba254d0ac451390a1c2d4f10af0d1ffd00e53,5863,5863,60701,5863,5863,2,READY
DIOR-R/3,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_3/vflip.pkl,10643044,2d8b61b9e2011ed882fbfbedcfc2f96d708ed1fda8f818a6a89b86b101e2e7df,5863,5863,60529,5863,5863,1,READY
DIOR-R/61,DIOR-R,identity,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_61/identity.pkl,13225443,39c314b913281cd3a398f5672e55dd4aa0e4084d23e147d4d02711e067471494,5863,5863,131067,5863,5863,0,READY
DIOR-R/61,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_61/hflip.pkl,13570736,8dbc216bee1ccf4856f4775d4b76e956072e532adfaba8729bf98719271758fb,5863,5863,131099,5863,5863,0,READY
DIOR-R/61,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_61/vflip.pkl,13541793,98579ab8e652321c7ca9bdc5b4a6cc3b3cd644c1b7a08a4b70cc492f33438384,5863,5863,130689,5863,5863,0,READY
FAIR1M-v1.0/24,FAIR1M-v1.0,identity,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_24/identity.pkl,29244053,f1bdec9d8ca94fbd3dd8e45775ccc266e8c98ddcaad7b56f8178483f8e1322ca,3896,3896,484332,4362,3896,0,FAIL_UNIVERSE
FAIR1M-v1.0/24,FAIR1M-v1.0,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_24/hflip.pkl,25628031,d4dcdce7f24a2bb59a6cdde4e2a68ad6d21e54cd138aa6cb0ee89d073d272e4d,3896,3896,484229,4362,3896,0,FAIL_UNIVERSE
FAIR1M-v1.0/24,FAIR1M-v1.0,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_24/vflip.pkl,25617866,6f72c7c3299399813106bb1cce68f15a09354c56d0a4beb1b2b8e816c7eba4b4,3896,3896,484438,4362,3896,1,FAIL_UNIVERSE
SODA-A/23,SODA-A,identity,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_23/identity.pkl,117275534,a9f5156bf0036ca16789a974b0822741b2480b5cf8a83cee2bd01c3b0c155c62,22994,22994,1663631,22994,22994,3326,READY
SODA-A/23,SODA-A,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_23/hflip.pkl,102130375,0e4177757c2d81c463e545a8f09ff7dcd02812255459fa28ce3d6c9daa9970cc,22994,22994,1661728,22994,22994,3393,READY
SODA-A/23,SODA-A,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_23/vflip.pkl,102176598,b0038d916c3079df2606cb92462eaa0e6f3ab27dc2c03d41567bd1c5e71fbaaa,22994,22994,1664218,22994,22994,3357,READY
SODA-A/4,SODA-A,identity,outputs/persistent_artifacts/orientbench_v2/SODA-A/4/raw/result_b4.pkl,62734324,7ed1d2d3b943c6aa2b7cf545427708788e9d2c22c0d0cce41d1fb399faccd439,22994,22994,749109,22994,22994,4753,READY
SODA-A/4,SODA-A,hflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_4/hflip.pkl,64020458,9f9b0dbdc75f6f0cac714cb3e4b3af4e77cef7f897a89d220818bd90d0b59b51,22994,22994,749352,22994,22994,4770,READY
SODA-A/4,SODA-A,vflip,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_4/vflip.pkl,64007127,0804f755a9dcf43c14bd99238c11cb29801542fc35259748faaaa9e6b79f0f0d,22994,22994,750250,22994,22994,4778,READY
