image_id,gt_count,old_r011_n_pred,m069_n_pred,r014_identity_n_pred,r014_hflip_n_pred,r014_vflip_n_pred
10000__1024__0___0,5,80,80,80,89,98
10002__1024__0___0,2,36,36,36,29,26
10004__1024__0___0,19,294,294,294,300,278
10005__1024__0___0,2,24,24,24,18,26
10005__1024__0___824,2,11,11,11,4,13
10005__1024__0___976,2,26,26,26,24,22
10005__1024__824___0,2,18,18,18,12,10
10005__1024__824___824,5,34,34,34,40,38
10005__1024__824___976,5,41,41,41,43,38
10005__1024__976___0,2,13,13,13,15,11
10005__1024__976___824,5,38,38,38,47,39
10005__1024__976___976,5,43,43,43,43,38
10006__1024__0___0,9,90,90,90,90,91
10010__1024__0___0,29,198,198,198,204,200
10012__1024__0___0,81,376,376,376,374,372
10013__1024__0___0,5,51,51,51,49,49
10014__1024__0___0,8,34,34,34,31,37
10017__1024__0___0,3,47,47,47,44,49
10018__1024__0___0,5,48,48,48,49,47
1001__1024__0___0,124,391,391,391,388,385
10020__1024__0___0,6,67,67,67,70,64
10021__1024__0___0,36,238,238,238,250,242
10025__1024__0___0,6,57,57,57,46,50
10028__1024__0___0,3,22,22,22,23,28
1002__1024__0___0,6,47,47,47,50,45
10030__1024__0___0,9,64,64,64,59,54
10032__1024__0___0,31,304,304,304,303,295
10035__1024__0___0,3,36,36,36,37,41
10036__1024__0___0,12,102,102,102,119,102
10047__1024__0___0,30,238,238,238,246,266
10053__1024__0___0,17,178,178,178,195,182
10054__1024__0___0,5,86,86,86,91,87
10058__1024__0___0,1,12,12,12,9,11
10067__1024__0___0,4,48,48,48,50,53
10069__1024__0___0,2,40,40,40,33,33
10074__1024__0___0,34,207,207,207,201,207
10089__1024__0___0,3,30,30,30,30,34
10090__1024__0___0,11,82,82,82,85,84
10096__1024__0___0,42,182,182,182,192,190
10099__1024__0___0,77,394,394,394,376,398
100__1024__0___0,52,256,256,256,265,262
10110__1024__0___0,40,295,295,295,303,297
10111__1024__0___0,6,82,82,82,84,84
10118__1024__0___0,5,31,31,31,33,32
1011__1024__0___0,129,466,466,466,472,443
10123__1024__0___0,148,387,387,387,386,375
10128__1024__0___0,76,296,296,296,307,320
10130__1024__0___0,6,56,56,56,57,55
10139__1024__0___0,1,16,16,16,14,16
1013__1024__0___0,118,403,403,403,416,406
10141__1024__0___0,1,9,9,9,7,9
10155__1024__0___0,6,74,74,74,79,77
10158__1024__0___0,99,409,409,409,421,431
1015__1024__0___0,108,343,343,343,347,347
10168__1024__0___0,3,30,30,30,22,28
10173__1024__0___0,1,24,24,24,22,21
10174__1024__0___0,8,51,51,51,51,54
10184__1024__0___0,1,20,20,20,17,16
10185__1024__0___0,5,44,44,44,50,48
10207__1024__0___0,3,30,30,30,26,25
10208__1024__0___0,4,56,56,56,74,70
10222__1024__0___0,196,597,597,597,607,610
10223__1024__0___0,2,96,96,96,84,109
10226__1024__0___0,1,28,28,28,24,29
10227__1024__0___0,6,72,72,72,69,74
10228__1024__0___0,4,46,46,46,51,35
10232__1024__0___0,1,8,8,8,7,8
10233__1024__0___0,42,278,278,278,293,277
10235__1024__0___0,4,93,93,93,91,90
10237__1024__0___0,1,7,7,7,7,6
10243__1024__0___0,35,338,338,338,360,338
10245__1024__0___0,18,91,91,91,89,89
1024__1024__0___0,21,339,339,339,328,315
1024__1024__0___476,34,445,445,445,453,418
1024__1024__476___0,144,563,563,563,551,577
1024__1024__476___476,71,464,464,464,433,468
10250__1024__0___0,1,15,15,15,13,13
10251__1024__0___0,2,25,25,25,24,25
10258__1024__0___0,3,29,29,29,21,27
1026__1024__0___0,8,84,84,84,87,91
10270__1024__0___0,7,100,100,100,90,104
10274__1024__0___0,2,41,41,41,55,46
10280__1024__0___0,1,11,11,11,14,10
10284__1024__0___0,60,298,298,298,313,319
10285__1024__0___0,6,79,79,79,80,68
10286__1024__0___0,10,151,151,151,187,160
1028__1024__0___0,8,51,51,51,43,43
10293__1024__0___0,126,396,396,396,396,361
10296__1024__0___0,3,26,26,26,25,28
1029__1024__0___0,2,29,29,29,30,33
10306__1024__0___0,1,19,19,19,19,19
10313__1024__0___0,2,47,47,47,42,33
10315__1024__0___0,12,307,307,307,322,323
10329__1024__0___0,3,41,41,41,36,33
10334__1024__0___0,9,195,195,195,165,163
10339__1024__0___0,2,25,25,25,21,21
10345__1024__0___0,49,247,247,247,226,243
10351__1024__0___0,86,528,528,528,494,500
10356__1024__0___0,0,MISSING,6,6,3,7
10356__1024__0___1648,0,MISSING,6,6,4,5
10356__1024__0___2472,0,MISSING,3,3,3,1
10356__1024__0___3296,0,MISSING,9,9,7,14
10356__1024__0___3922,0,MISSING,4,4,2,4
10356__1024__0___824,0,MISSING,5,5,2,5
10356__1024__1648___0,0,MISSING,0,0,3,0
10356__1024__1648___1648,10,60,60,60,62,55
10356__1024__1648___2472,4,68,68,68,52,50
10356__1024__1648___3296,1,17,17,17,16,12
10356__1024__1648___3922,0,MISSING,5,5,1,1
10356__1024__1648___824,0,MISSING,5,5,8,7
10356__1024__2472___0,0,MISSING,2,2,2,2
10356__1024__2472___1648,5,49,49,49,59,49
10356__1024__2472___2472,0,MISSING,1,1,0,0
10356__1024__2472___3296,0,MISSING,0,0,0,0
10356__1024__2472___3922,0,MISSING,2,2,1,1
10356__1024__2472___824,0,MISSING,2,2,3,2
10356__1024__3296___0,0,MISSING,3,3,6,3
10356__1024__3296___1648,0,MISSING,3,3,5,0
10356__1024__3296___2472,0,MISSING,4,4,3,2
10356__1024__3296___3296,0,MISSING,4,4,5,5
10356__1024__3296___3922,0,MISSING,2,2,3,1
10356__1024__3296___824,0,MISSING,0,0,0,1
10356__1024__3677___0,0,MISSING,1,1,4,4
10356__1024__3677___1648,0,MISSING,2,2,0,2
10356__1024__3677___2472,0,MISSING,10,10,4,1
10356__1024__3677___3296,0,MISSING,7,7,6,6
10356__1024__3677___3922,0,MISSING,4,4,6,2
10356__1024__3677___824,0,MISSING,1,1,0,4
10356__1024__824___0,0,MISSING,6,6,5,9
10356__1024__824___1648,2,12,12,12,15,15
10356__1024__824___2472,4,49,49,49,49,54
10356__1024__824___3296,7,79,79,79,93,90
10356__1024__824___3922,0,MISSING,1,1,0,0
10356__1024__824___824,0,MISSING,5,5,5,9
10357__1024__0___0,1,21,21,21,18,16
10358__1024__0___0,2,22,22,22,23,20
10359__1024__0___0,12,150,150,150,127,148
10361__1024__0___0,1,8,8,8,9,8
10363__1024__0___0,1,11,11,11,9,10
10370__1024__0___0,1,22,22,22,21,31
10378__1024__0___0,3,47,47,47,47,50
10381__1024__0___0,3,216,216,216,202,254
10386__1024__0___0,2,39,39,39,36,34
10389__1024__0___0,8,65,65,65,74,68
10400__1024__0___0,9,94,94,94,83,96
1040__1024__0___0,156,652,652,652,613,597
10412__1024__0___0,1,17,17,17,15,19
1041__1024__0___0,97,332,332,332,351,336
10421__1024__0___0,4,65,65,65,73,60
10423__1024__0___0,10,88,88,88,83,81
10424__1024__0___0,64,308,308,308,309,316
10426__1024__0___0,1,18,18,18,14,12
10429__1024__0___0,4,35,35,35,43,41
10434__1024__0___0,9,51,51,51,57,51
10435__1024__0___0,1,10,10,10,9,10
10436__1024__0___0,26,301,301,301,306,280
10442__1024__0___0,5,75,75,75,74,75
10446__1024__0___0,2,30,30,30,32,30
10449__1024__0___0,30,253,253,253,246,236
1044__1024__0___0,3,31,31,31,29,32
10450__1024__0___0,2,40,40,40,41,42
10457__1024__0___0,66,437,437,437,440,433
10458__1024__0___0,0,MISSING,8,8,11,10
10458__1024__0___824,0,MISSING,2,2,2,5
10458__1024__0___976,0,MISSING,2,2,1,5
10458__1024__824___0,1,13,13,13,11,16
10458__1024__824___824,1,9,9,9,9,13
10458__1024__824___976,0,MISSING,0,0,0,0
10458__1024__976___0,1,12,12,12,11,16
10458__1024__976___824,1,9,9,9,9,11
10458__1024__976___976,0,MISSING,0,0,0,0
1045__1024__0___0,1,8,8,8,4,14
1045__1024__0___476,0,MISSING,7,7,8,8
1045__1024__476___0,1,5,5,5,5,12
1045__1024__476___476,0,MISSING,2,2,1,2
10464__1024__0___0,1,22,22,22,20,20
10467__1024__0___0,159,487,487,487,497,496
10468__1024__0___0,16,275,275,275,267,284
1046__1024__0___0,129,482,482,482,494,506
1046__1024__0___476,133,544,544,544,547,569
1046__1024__476___0,103,461,461,461,425,470
1046__1024__476___476,115,437,437,437,460,446
10471__1024__0___0,8,67,67,67,72,74
10474__1024__0___0,28,312,312,312,312,314
10484__1024__0___0,1,12,12,12,12,12
10489__1024__0___0,1,14,14,14,12,11
1048__1024__0___0,1,16,16,16,17,15
10496__1024__0___0,4,72,72,72,67,68
10503__1024__0___0,1,8,8,8,11,8
10514__1024__0___0,6,67,67,67,69,62
1051__1024__0___0,82,352,352,352,360,356
10521__1024__0___0,187,597,597,597,588,600
10526__1024__0___0,1,27,27,27,28,34
10538__1024__0___0,3,32,32,32,33,35
10543__1024__0___0,55,323,323,323,314,313
10544__1024__0___0,4,50,50,50,44,42
10545__1024__0___0,1,3,3,3,2,6
10551__1024__0___0,18,271,271,271,292,250
10567__1024__0___0,50,413,413,413,401,402
10569__1024__0___0,2,18,18,18,15,18
10572__1024__0___0,49,237,237,237,247,219
10576__1024__0___0,3,35,35,35,29,27
10578__1024__0___0,1,2,2,2,2,2
10580__1024__0___0,2,50,50,50,53,62
10589__1024__0___0,1,40,40,40,38,35
10590__1024__0___0,4,52,52,52,52,47
10603__1024__0___0,4,131,131,131,123,123
10610__1024__0___0,3,34,34,34,31,30
10613__1024__0___0,35,231,231,231,234,243
10614__1024__0___0,6,43,43,43,45,41
10619__1024__0___0,5,107,107,107,108,100
10620__1024__0___0,2,107,107,107,112,79
10625__1024__0___0,7,83,83,83,86,78
10627__1024__0___0,1,15,15,15,10,14
10633__1024__0___0,1,21,21,21,27,18
10635__1024__0___0,60,257,257,257,268,257
10647__1024__0___0,17,331,331,331,330,294
10652__1024__0___0,10,150,150,150,152,166
1065__1024__0___0,45,269,269,269,284,284
10663__1024__0___0,9,71,71,71,80,78
10668__1024__0___0,10,93,93,93,105,86
1066__1024__0___0,23,172,172,172,182,177
1066__1024__0___476,22,183,183,183,164,186
1066__1024__476___0,8,81,81,81,74,75
1066__1024__476___476,10,81,81,81,88,87
10675__1024__0___0,26,240,240,240,247,237
10678__1024__0___0,3,34,34,34,25,32
10679__1024__0___0,1,87,87,87,65,83
1067__1024__0___0,0,MISSING,121,121,166,86
1067__1024__0___476,3,74,74,74,93,72
1067__1024__476___0,3,194,194,194,195,151
1067__1024__476___476,6,170,170,170,155,150
1068__1024__0___0,1,17,17,17,20,15
106__1024__0___0,6,56,56,56,57,58
10702__1024__0___0,4,39,39,39,29,34
10707__1024__0___0,29,343,343,343,365,333
1070__1024__0___0,42,430,430,430,405,411
10713__1024__0___0,5,77,77,77,85,78
10720__1024__0___0,18,113,113,113,117,113
10724__1024__0___0,12,70,70,70,71,63
10726__1024__0___0,2,14,14,14,19,20
1072__1024__0___0,117,412,412,412,410,405
10733__1024__0___0,3,76,76,76,86,90
10735__1024__0___0,6,67,67,67,66,68
10737__1024__0___0,12,75,75,75,83,72
1074__1024__0___0,3,19,19,19,24,22
1074__1024__0___476,4,31,31,31,27,26
1074__1024__476___0,1,10,10,10,14,18
1074__1024__476___476,1,14,14,14,17,15
10771__1024__0___0,6,66,66,66,71,65
10782__1024__0___0,1,34,34,34,35,30
10785__1024__0___0,16,76,76,76,77,75
10785__1024__0___1648,6,52,52,52,50,49
10785__1024__0___2472,3,40,40,40,40,28
10785__1024__0___2976,0,MISSING,10,10,11,12
10785__1024__0___824,5,81,81,81,88,84
10785__1024__1648___0,1,20,20,20,19,17
10785__1024__1648___1648,0,MISSING,5,5,7,7
10785__1024__1648___2472,0,MISSING,12,12,9,8
10785__1024__1648___2976,0,MISSING,9,9,6,7
10785__1024__1648___824,2,30,30,30,28,30
10785__1024__2472___0,0,MISSING,0,0,4,2
10785__1024__2472___1648,0,MISSING,8,8,5,6
10785__1024__2472___2472,1,11,11,11,5,4
10785__1024__2472___2976,0,MISSING,7,7,5,4
10785__1024__2472___824,0,MISSING,14,14,11,18
10785__1024__2976___0,0,MISSING,1,1,3,2
10785__1024__2976___1648,0,MISSING,4,4,1,1
10785__1024__2976___2472,0,MISSING,1,1,0,0
10785__1024__2976___2976,0,MISSING,1,1,0,0
10785__1024__2976___824,0,MISSING,12,12,9,9
10785__1024__824___0,2,42,42,42,40,33
10785__1024__824___1648,1,11,11,11,11,12
10785__1024__824___2472,0,MISSING,5,5,6,4
10785__1024__824___2976,0,MISSING,9,9,10,7
10785__1024__824___824,14,94,94,94,92,101
10787__1024__0___0,74,311,311,311,298,338
10791__1024__0___0,1,7,7,7,7,7
10792__1024__0___0,43,254,254,254,248,247
10797__1024__0___0,70,373,373,373,364,358
10798__1024__0___0,3,43,43,43,43,46
10801__1024__0___0,4,26,26,26,32,30
10807__1024__0___0,1,7,7,7,13,8
10808__1024__0___0,1,5,5,5,4,4
10813__1024__0___0,13,194,194,194,216,162
1081__1024__0___0,1,10,10,10,9,8
1081__1024__0___476,7,75,75,75,83,81
1081__1024__476___0,0,MISSING,0,0,0,0
1081__1024__476___476,4,28,28,28,34,25
10820__1024__0___0,0,MISSING,9,9,9,11
10820__1024__0___824,0,MISSING,4,4,4,4
10820__1024__0___976,0,MISSING,3,3,5,3
10820__1024__824___0,0,MISSING,2,2,2,2
10820__1024__824___824,1,17,17,17,17,17
10820__1024__824___976,1,14,14,14,16,14
10820__1024__976___0,0,MISSING,2,2,2,3
10820__1024__976___824,1,12,12,12,9,9
10820__1024__976___976,1,10,10,10,8,7
10822__1024__0___0,8,71,71,71,61,65
10827__1024__0___0,4,24,24,24,22,27
10828__1024__0___0,5,65,65,65,66,60
10835__1024__0___0,18,221,221,221,219,208
10836__1024__0___0,0,MISSING,6,6,6,7
10836__1024__0___1648,0,MISSING,0,0,4,3
10836__1024__0___2472,4,45,45,45,47,47
10836__1024__0___2946,2,47,47,47,49,49
10836__1024__0___824,0,MISSING,3,3,6,5
10836__1024__1648___0,0,MISSING,10,10,10,13
10836__1024__1648___1648,7,61,61,61,62,62
10836__1024__1648___2472,1,10,10,10,10,10
10836__1024__1648___2946,0,MISSING,1,1,0,2
10836__1024__1648___824,7,23,23,23,25,27
10836__1024__2472___0,2,28,28,28,29,26
10836__1024__2472___1648,0,MISSING,1,1,0,2
10836__1024__2472___2472,4,49,49,49,38,38
10836__1024__2472___2946,3,35,35,35,34,35
10836__1024__2472___824,3,27,27,27,31,25
10836__1024__3117___0,7,55,55,55,60,63
10836__1024__3117___1648,0,MISSING,2,2,4,3
10836__1024__3117___2472,0,MISSING,3,3,4,5
10836__1024__3117___2946,0,MISSING,2,2,2,2
10836__1024__3117___824,1,40,40,40,42,37
10836__1024__824___0,0,MISSING,3,3,2,4
10836__1024__824___1648,0,MISSING,30,30,30,26
10836__1024__824___2472,6,58,58,58,57,49
10836__1024__824___2946,5,55,55,55,48,48
10836__1024__824___824,0,MISSING,9,9,5,8
10838__1024__0___0,1,10,10,10,13,22
1083__1024__0___0,27,202,202,202,215,215
10843__1024__0___0,62,306,306,306,319,307
10844__1024__0___0,2,20,20,20,19,18
10844__1024__0___824,1,9,9,9,9,10
10844__1024__0___976,2,12,12,12,12,12
10844__1024__824___0,1,9,9,9,6,7
10844__1024__824___824,0,MISSING,0,0,0,0
10844__1024__824___976,1,7,7,7,6,8
10844__1024__976___0,1,6,6,6,6,7
10844__1024__976___824,0,MISSING,0,0,0,0
10844__1024__976___976,1,6,6,6,6,8
10849__1024__0___0,31,181,181,181,196,209
10852__1024__0___0,11,141,141,141,154,154
10856__1024__0___0,6,72,72,72,74,74
10861__1024__0___0,3,25,25,25,27,25
10871__1024__0___0,14,97,97,97,98,100
10879__1024__0___0,7,69,69,69,69,70
1087__1024__0___0,58,253,253,253,246,237
10881__1024__0___0,63,363,363,363,341,348
10884__1024__0___0,9,94,94,94,86,90
10886__1024__0___0,16,246,246,246,260,241
10892__1024__0___0,20,210,210,210,187,196
10901__1024__0___0,1,19,19,19,26,19
10903__1024__0___0,6,119,119,119,116,119
10907__1024__0___0,150,508,508,508,528,519
10914__1024__0___0,4,101,101,101,114,104
10922__1024__0___0,12,127,127,127,128,106
10925__1024__0___0,27,329,329,329,313,320
1092__1024__0___0,3,11,11,11,15,17
1092__1024__0___476,3,7,7,7,8,9
1092__1024__476___0,4,24,24,24,24,24
1092__1024__476___476,3,17,17,17,19,20
10931__1024__0___0,11,74,74,74,77,81
10932__1024__0___0,1,14,14,14,14,15
10934__1024__0___0,3,36,36,36,35,36
10941__1024__0___0,73,385,385,385,415,396
10944__1024__0___0,1,6,6,6,10,8
10951__1024__0___0,20,225,225,225,233,215
10952__1024__0___0,163,505,505,505,496,507
10955__1024__0___0,10,97,97,97,77,78
10961__1024__0___0,9,74,74,74,80,83
1096__1024__0___0,141,506,506,506,488,502
10973__1024__0___0,13,207,207,207,186,199
10979__1024__0___0,42,289,289,289,288,282
1097__1024__0___0,9,77,77,77,84,87
1097__1024__0___476,28,212,212,212,212,217
1097__1024__476___0,8,63,63,63,58,78
1097__1024__476___476,8,63,63,63,70,72
10982__1024__0___0,1,10,10,10,11,13
10984__1024__0___0,1,9,9,9,9,9
10985__1024__0___0,65,292,292,292,287,314
1098__1024__0___0,13,279,279,279,276,254
10994__1024__0___0,3,48,48,48,49,53
11004__1024__0___0,6,40,40,40,45,41
11005__1024__0___0,20,131,131,131,123,153
11010__1024__0___0,12,141,141,141,168,132
11012__1024__0___0,9,91,91,91,96,95
11016__1024__0___0,3,46,46,46,48,50
11017__1024__0___0,40,222,222,222,222,221
11029__1024__0___0,2,45,45,45,46,49
11030__1024__0___0,8,65,65,65,57,57
11042__1024__0___0,28,226,226,226,209,235
11043__1024__0___0,13,257,257,257,268,254
11052__1024__0___0,9,154,154,154,163,147
1105__1024__0___0,37,318,318,318,356,329
11061__1024__0___0,69,287,287,287,322,298
11063__1024__0___0,2,26,26,26,24,21
11071__1024__0___0,1,11,11,11,17,18
11078__1024__0___0,1,3,3,3,4,3
11079__1024__0___0,6,47,47,47,46,42
11080__1024__0___0,5,71,71,71,64,77
11081__1024__0___0,1,21,21,21,19,22
11088__1024__0___0,14,213,213,213,270,258
11097__1024__0___0,108,403,403,403,416,396
11111__1024__0___0,5,53,53,53,57,57
11118__1024__0___0,3,37,37,37,32,35
11119__1024__0___0,1,10,10,10,10,10
11120__1024__0___0,67,235,235,235,242,242
11146__1024__0___0,1,15,15,15,6,9
11149__1024__0___0,24,208,208,208,199,219
11152__1024__0___0,6,81,81,81,69,71
11157__1024__0___0,1,5,5,5,10,7
11163__1024__0___0,8,79,79,79,69,75
11172__1024__0___0,23,226,226,226,173,211
11179__1024__0___0,1,6,6,6,5,5
11183__1024__0___0,1,12,12,12,9,9
11185__1024__0___0,10,120,120,120,130,127
11187__1024__0___0,21,242,242,242,249,262
11196__1024__0___0,4,74,74,74,75,81
11200__1024__0___0,8,121,121,121,136,149
11204__1024__0___0,28,325,325,325,334,321
11210__1024__0___0,105,348,348,348,355,341
11223__1024__0___0,3,57,57,57,60,67
11226__1024__0___0,1,25,25,25,24,20
11232__1024__0___0,1,5,5,5,7,6
11233__1024__0___0,12,107,107,107,117,113
11241__1024__0___0,9,103,103,103,86,101
11242__1024__0___0,7,60,60,60,61,63
11246__1024__0___0,6,50,50,50,47,48
11248__1024__0___0,25,277,277,277,252,255
1124__1024__0___0,4,59,59,59,47,49
11253__1024__0___0,21,177,177,177,169,164
11273__1024__0___0,2,23,23,23,22,25
11283__1024__0___0,5,133,133,133,132,160
11289__1024__0___0,1,3,3,3,3,4
11291__1024__0___0,50,353,353,353,366,340
11296__1024__0___0,3,65,65,65,59,54
11298__1024__0___0,30,258,258,258,261,249
11310__1024__0___0,83,414,414,414,434,408
11319__1024__0___0,1,30,30,30,22,22
11329__1024__0___0,71,310,310,310,312,300
11332__1024__0___0,4,12,12,12,16,15
11336__1024__0___0,14,90,90,90,87,94
1133__1024__0___0,2,31,31,31,27,31
11341__1024__0___0,24,216,216,216,215,223
1135__1024__0___0,106,482,482,482,459,484
11364__1024__0___0,8,55,55,55,61,52
11366__1024__0___0,6,48,48,48,54,50
1136__1024__0___0,65,425,425,425,443,429
11371__1024__0___0,8,181,181,181,177,169
11373__1024__0___0,13,115,115,115,119,119
11375__1024__0___0,1,13,13,13,18,13
11376__1024__0___0,13,217,217,217,214,189
1138__1024__0___0,0,MISSING,0,0,0,0
1138__1024__0___476,2,11,11,11,12,8
1138__1024__476___0,0,MISSING,0,0,0,0
1138__1024__476___476,1,4,4,4,6,4
11394__1024__0___0,2,54,54,54,51,55
11397__1024__0___0,1,17,17,17,13,13
11400__1024__0___0,3,36,36,36,30,26
11408__1024__0___0,2,32,32,32,29,31
11414__1024__0___0,6,48,48,48,51,40
11416__1024__0___0,1,27,27,27,28,36
11428__1024__0___0,82,339,339,339,323,327
11429__1024__0___0,3,40,40,40,44,40
11434__1024__0___0,16,240,240,240,196,238
11437__1024__0___0,1,7,7,7,9,7
11455__1024__0___0,281,548,548,548,547,548
11456__1024__0___0,7,50,50,50,53,47
1145__1024__0___0,0,MISSING,1,1,1,1
1145__1024__0___476,11,83,83,83,81,92
1145__1024__476___0,0,MISSING,5,5,8,7
1145__1024__476___476,4,46,46,46,43,53
11460__1024__0___0,57,354,354,354,374,354
11461__1024__0___0,50,259,259,259,258,257
11465__1024__0___0,3,118,118,118,123,126
11470__1024__0___0,4,67,67,67,68,68
11472__1024__0___0,2,58,58,58,63,53
11478__1024__0___0,10,161,161,161,156,149
11482__1024__0___0,27,274,274,274,278,269
11483__1024__0___0,42,278,278,278,273,253
11484__1024__0___0,19,200,200,200,220,210
11489__1024__0___0,74,338,338,338,315,341
11497__1024__0___0,13,213,213,213,225,206
11506__1024__0___0,0,MISSING,14,14,17,8
11506__1024__0___824,1,16,16,16,22,29
11506__1024__0___976,1,16,16,16,37,25
11506__1024__824___0,3,9,9,9,15,15
11506__1024__824___824,15,108,108,108,106,99
11506__1024__824___976,14,101,101,101,101,92
11506__1024__976___0,3,16,16,16,16,19
11506__1024__976___824,15,107,107,107,109,106
11506__1024__976___976,14,103,103,103,105,94
11512__1024__0___0,55,259,259,259,251,252
11519__1024__0___0,3,50,50,50,51,56
11522__1024__0___0,2,31,31,31,31,29
11525__1024__0___0,4,62,62,62,68,65
1152__1024__0___0,4,46,46,46,49,49
11540__1024__0___0,39,216,216,216,205,191
11541__1024__0___0,3,29,29,29,30,34
11544__1024__0___0,14,231,231,231,236,218
1154__1024__0___0,76,291,291,291,307,296
11551__1024__0___0,4,38,38,38,33,35
11557__1024__0___0,2,15,15,15,7,12
11557__1024__0___824,2,26,26,26,32,30
11557__1024__0___976,4,38,38,38,40,36
11557__1024__824___0,1,17,17,17,7,13
11557__1024__824___824,1,4,4,4,5,4
11557__1024__824___976,2,9,9,9,14,9
11557__1024__976___0,1,12,12,12,11,13
11557__1024__976___824,2,3,3,3,6,4
11557__1024__976___976,3,10,10,10,11,5
11558__1024__0___0,29,307,307,307,331,326
11559__1024__0___0,1,15,15,15,9,14
11559__1024__0___824,8,69,69,69,75,77
11559__1024__0___976,8,72,72,72,76,78
11559__1024__824___0,7,81,81,81,86,86
11559__1024__824___824,1,20,20,20,20,22
11559__1024__824___976,1,22,22,22,26,19
11559__1024__976___0,8,87,87,87,88,84
11559__1024__976___824,1,16,16,16,15,13
11559__1024__976___976,1,16,16,16,17,12
11560__1024__0___0,9,108,108,108,113,110
11566__1024__0___0,13,289,289,289,309,310
11569__1024__0___0,27,304,304,304,296,293
11570__1024__0___0,5,79,79,79,86,79
11578__1024__0___0,12,129,129,129,137,136
11580__1024__0___0,5,52,52,52,55,55
11592__1024__0___0,4,47,47,47,55,42
11594__1024__0___0,4,25,25,25,37,26
115__1024__0___0,50,226,226,226,239,231
11607__1024__0___0,5,213,213,213,215,191
1160__1024__0___0,17,368,368,368,355,346
11610__1024__0___0,4,12,12,12,22,16
11611__1024__0___0,11,121,121,121,108,108
11613__1024__0___0,1,11,11,11,11,12
11616__1024__0___0,8,57,57,57,67,58
11629__1024__0___0,3,65,65,65,73,73
11643__1024__0___0,2,67,67,67,50,55
11659__1024__0___0,44,223,223,223,212,203
11672__1024__0___0,1,23,23,23,21,16
1167__1024__0___0,79,353,353,353,356,352
11680__1024__0___0,27,251,251,251,251,274
11685__1024__0___0,51,210,210,210,209,218
11697__1024__0___0,6,129,129,129,126,134
11707__1024__0___0,12,83,83,83,79,73
11709__1024__0___0,3,22,22,22,22,25
1171__1024__0___0,5,43,43,43,41,42
11720__1024__0___0,2,51,51,51,49,40
11722__1024__0___0,13,146,146,146,149,146
11729__1024__0___0,27,281,281,281,285,299
1172__1024__0___0,19,248,248,248,257,256
1173__1024__0___0,2,14,14,14,9,11
1173__1024__0___476,5,47,47,47,48,46
1173__1024__476___0,1,5,5,5,1,2
1173__1024__476___476,1,14,14,14,14,15
11740__1024__0___0,1,24,24,24,26,27
11742__1024__0___0,95,327,327,327,326,347
11745__1024__0___0,249,626,626,626,627,619
11749__1024__0___0,6,36,36,36,34,34
11753__1024__0___0,2,9,9,9,12,14
11754__1024__0___0,2,31,31,31,33,30
11756__1024__0___0,33,287,287,287,298,289
11765__1024__0___0,14,74,74,74,76,73
