metric,samples,mean,p10,p90,peak,notes
cpu_percent_host,143,688.997,184.660,1228.400,4290.200,"38-worker phases were configured with BLAS threads=1; telemetry includes GPU and I/O phases"
ram_used_mb,143,21835.224,19330.400,24800.600,35516.000,host total used memory
gpu0_util_percent,143,16.252,0.000,45.800,76.000,30-second whole-round sampling
gpu1_util_percent,143,17.545,0.000,45.600,100.000,30-second whole-round sampling
gpu2_util_percent,143,16.965,0.000,51.800,100.000,30-second whole-round sampling
gpu3_util_percent,143,17.643,0.000,51.800,100.000,30-second whole-round sampling
gpu0_memory_mb,143,3003.175,973.000,4521.000,5540.000,peak allocated/other resident use included
gpu1_memory_mb,143,3169.972,973.000,4788.200,5400.000,peak allocated/other resident use included
gpu2_memory_mb,143,2985.552,973.000,4543.800,5252.000,peak allocated/other resident use included
gpu3_memory_mb,143,2907.958,973.000,4369.800,4832.000,peak allocated/other resident use included
