outer_target,outer_target_dataset,train_source_dataset,validation_source_dataset,train_rows,validation_rows,delta_nrc,ci_low,ci_high,bootstrap_reps,status
DIOR-R/22,DIOR-R,FAIR1M-v1.0,SODA-A,8240,97155,0.256025844810558,0.17439753456046866,0.3612836639556618,1000,NO_EARLY_STOP
DIOR-R/22,DIOR-R,SODA-A,FAIR1M-v1.0,113853,8460,0.2964805417667348,0.240403285638486,0.3554357790049464,1000,NO_EARLY_STOP
DIOR-R/3,DIOR-R,FAIR1M-v1.0,SODA-A,8240,97155,0.256025844810558,0.17393836153351705,0.3597032790518549,1000,NO_EARLY_STOP
DIOR-R/3,DIOR-R,SODA-A,FAIR1M-v1.0,113853,8460,0.2964805417667348,0.24092251826518588,0.35156734535731926,1000,NO_EARLY_STOP
DIOR-R/61,DIOR-R,FAIR1M-v1.0,SODA-A,8240,97155,0.256025844810558,0.17552870485867844,0.3675393837331949,1000,NO_EARLY_STOP
DIOR-R/61,DIOR-R,SODA-A,FAIR1M-v1.0,113853,8460,0.2964805417667348,0.24431076131144874,0.355109701511292,1000,NO_EARLY_STOP
FAIR1M-v1.0/24,FAIR1M-v1.0,DIOR-R,SODA-A,35688,97155,0.212242421223774,0.13185134869786802,0.3105288127578342,1000,NO_EARLY_STOP
FAIR1M-v1.0/24,FAIR1M-v1.0,SODA-A,DIOR-R,113853,41708,0.30783976167251026,0.23184520017968216,0.3744904574722471,1000,NO_EARLY_STOP
SODA-A/23,SODA-A,DIOR-R,FAIR1M-v1.0,35688,8460,0.24971002089425154,0.19869498642992095,0.301106669425047,1000,NO_EARLY_STOP
SODA-A/23,SODA-A,FAIR1M-v1.0,DIOR-R,8240,41708,0.18816643069697087,0.15515644766821457,0.21552330845818626,1000,NO_EARLY_STOP
SODA-A/4,SODA-A,DIOR-R,FAIR1M-v1.0,35688,8460,0.24971002089425154,0.19921802349911835,0.3022429767525418,1000,NO_EARLY_STOP
SODA-A/4,SODA-A,FAIR1M-v1.0,DIOR-R,8240,41708,0.18816643069697087,0.1586981494190157,0.21093842141087485,1000,NO_EARLY_STOP
