unit,unit_key,dataset,view,path,bytes,sha256,image_records,unique_images,image_set_sha256,prediction_count,zero_prediction_images,expected_images,status
DIOR-R/22,A,DIOR-R,identity,outputs/persistent_artifacts/orientbench_r014/raw/dior22/identity.pkl,39321630,60735bf0522decc28e0577bff1a2327dd164e395c95cadf325e2b99d07e0c4f3,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,556660,4,11738,READY
DIOR-R/22,A,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_r014/raw/dior22/hflip.pkl,39932226,10afdfc62925d58b1a0feb1439cce164fb1d190e22451ad6c67aa875830a2e53,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,554771,2,11738,READY
DIOR-R/22,A,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_r014/raw/dior22/vflip.pkl,40097384,5a74c8f36121888d8a21f0ab1de5126b42270f3b1cf827d9f9118aa11fafa55a,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,559303,3,11738,READY
DIOR-R/3,B,DIOR-R,identity,outputs/persistent_artifacts/orientbench_r014/raw/dior3/identity.pkl,23514503,612a2386d347774570e7faeec06042970ecf82d033e8a38c349f02a847895c5d,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,177967,6,11738,READY
DIOR-R/3,B,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_r014/raw/dior3/hflip.pkl,24196390,bb787ccc289d96744df740b44efe73c45fc73e19f7ace1d997c62aee26f70e79,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,177745,5,11738,READY
DIOR-R/3,B,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_r014/raw/dior3/vflip.pkl,24167452,56e81237fcb426cdce77e25edab61531b5fb81a5b3937999d56409b60704bce5,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,177647,7,11738,READY
DIOR-R/61,C,DIOR-R,identity,outputs/persistent_artifacts/orientbench_r014/raw/dior61/identity.pkl,30961267,c909168f9199c217ac67337ae1c87cd4e80d6506d77b75543d608f067a74e214,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,358782,3,11738,READY
DIOR-R/61,C,DIOR-R,hflip,outputs/persistent_artifacts/orientbench_r014/raw/dior61/hflip.pkl,31680961,646d8f8fcaf5ea039fd0ff0d4e2bf39a6502f94d361b70b8e3e87c355f3c5227,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,359546,3,11738,READY
DIOR-R/61,C,DIOR-R,vflip,outputs/persistent_artifacts/orientbench_r014/raw/dior61/vflip.pkl,31599181,c779eed81b0f2f68697ceae458e303c2b86431a79aece166808a3e46b6608569,11738,11738,932b92c5a855d5128d348d2dd8db0031499d773609e25a35f84c8a2a818cff7e,358231,0,11738,READY
FAIR1M-v1.0/24,D,FAIR1M-v1.0,identity,outputs/persistent_artifacts/orientbench_r014/raw/fair24/identity.pkl,26210661,9b9e03f7e5fbd061950e6a8dd9d7cd77ff65383a48f4374ebb2ace72f9e3b3bf,4362,4362,352c77a85b426508bd8b26ee12f21bdb73de93a33e4ccc4733b7783bd1550085,488194,124,4362,READY
