level,key,dataset,replicate,delta_nrc
unit,DIOR-R/22,DIOR-R,0,0.1536670435376396
unit,DIOR-R/22,DIOR-R,1,0.18002483027302996
unit,DIOR-R/22,DIOR-R,2,0.16089860587771648
unit,DIOR-R/22,DIOR-R,3,0.19766371834131802
unit,DIOR-R/22,DIOR-R,4,0.19707952935306905
unit,DIOR-R/22,DIOR-R,5,0.16456574890868553
unit,DIOR-R/22,DIOR-R,6,0.16587748835897065
unit,DIOR-R/22,DIOR-R,7,0.17775972569244697
unit,DIOR-R/22,DIOR-R,8,0.18061143290925064
unit,DIOR-R/22,DIOR-R,9,0.14642530174362073
unit,DIOR-R/22,DIOR-R,10,0.15185297712789603
unit,DIOR-R/22,DIOR-R,11,0.1530764594869719
unit,DIOR-R/22,DIOR-R,12,0.13464523561069602
unit,DIOR-R/22,DIOR-R,13,0.14211164844831836
unit,DIOR-R/22,DIOR-R,14,0.1686256552452356
unit,DIOR-R/22,DIOR-R,15,0.17463719869208222
unit,DIOR-R/22,DIOR-R,16,0.1249401899779356
unit,DIOR-R/22,DIOR-R,17,0.18561222376571118
unit,DIOR-R/22,DIOR-R,18,0.1672023488224283
unit,DIOR-R/22,DIOR-R,19,0.14406255762906117
unit,DIOR-R/22,DIOR-R,20,0.15218358923738767
unit,DIOR-R/22,DIOR-R,21,0.1853629839396601
unit,DIOR-R/22,DIOR-R,22,0.16450684100814766
unit,DIOR-R/22,DIOR-R,23,0.17079365891962955
unit,DIOR-R/22,DIOR-R,24,0.1534871258646115
unit,DIOR-R/22,DIOR-R,25,0.15890406626200299
unit,DIOR-R/22,DIOR-R,26,0.15557920712513895
unit,DIOR-R/22,DIOR-R,27,0.18345394793829378
unit,DIOR-R/22,DIOR-R,28,0.1867930895445813
unit,DIOR-R/22,DIOR-R,29,0.15408248122109575
unit,DIOR-R/22,DIOR-R,30,0.17268626701527812
unit,DIOR-R/22,DIOR-R,31,0.13923746418354638
unit,DIOR-R/22,DIOR-R,32,0.16460045486898017
unit,DIOR-R/22,DIOR-R,33,0.1505826149363324
unit,DIOR-R/22,DIOR-R,34,0.17179401616084256
unit,DIOR-R/22,DIOR-R,35,0.1631995475936665
unit,DIOR-R/22,DIOR-R,36,0.1524055570718273
unit,DIOR-R/22,DIOR-R,37,0.16376701326789073
unit,DIOR-R/22,DIOR-R,38,0.1517460417369385
unit,DIOR-R/22,DIOR-R,39,0.15135251813554385
unit,DIOR-R/22,DIOR-R,40,0.15085946793820332
unit,DIOR-R/22,DIOR-R,41,0.11022938246144798
unit,DIOR-R/22,DIOR-R,42,0.1613159893603513
unit,DIOR-R/22,DIOR-R,43,0.15756129446025502
unit,DIOR-R/22,DIOR-R,44,0.1724615614693707
unit,DIOR-R/22,DIOR-R,45,0.17236605859884346
unit,DIOR-R/22,DIOR-R,46,0.17264939767149995
unit,DIOR-R/22,DIOR-R,47,0.16579666939857451
unit,DIOR-R/22,DIOR-R,48,0.1732618187588547
unit,DIOR-R/22,DIOR-R,49,0.1436294302891451
unit,DIOR-R/22,DIOR-R,50,0.14885594083261428
unit,DIOR-R/22,DIOR-R,51,0.16128069086676639
unit,DIOR-R/22,DIOR-R,52,0.17918666870597272
unit,DIOR-R/22,DIOR-R,53,0.14713561551340454
unit,DIOR-R/22,DIOR-R,54,0.14509278764361622
unit,DIOR-R/22,DIOR-R,55,0.18061062309039122
unit,DIOR-R/22,DIOR-R,56,0.16396984016981297
unit,DIOR-R/22,DIOR-R,57,0.16221138017191356
unit,DIOR-R/22,DIOR-R,58,0.1764988066563823
unit,DIOR-R/22,DIOR-R,59,0.1727077477901155
unit,DIOR-R/22,DIOR-R,60,0.17182955954452572
unit,DIOR-R/22,DIOR-R,61,0.11183289136583208
unit,DIOR-R/22,DIOR-R,62,0.1717290036956326
unit,DIOR-R/22,DIOR-R,63,0.16122980257559477
unit,DIOR-R/22,DIOR-R,64,0.14933118385821442
unit,DIOR-R/22,DIOR-R,65,0.17770698370941018
