outer_target,target_dataset,physical_labels_read_before_score_seal,target_label_read_before_own_score,fit_uses_target_labels,finding,feature_score_schema_forbidden_fields_absent,interpretation,unit,dataset,set_name,row_count,image_count,mother_scene_count,set_sha256,source_audit_intersection,target_label_intersection,status
A,DIOR-R,FAIR1M-v1.0|SODA-A,False,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
B,DIOR-R,FAIR1M-v1.0|SODA-A,False,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
C,DIOR-R,FAIR1M-v1.0|SODA-A,False,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
D,FAIR1M-v1.0,DIOR-R|FAIR1M-v1.0|SODA-A,True,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
E,SODA-A,DIOR-R|FAIR1M-v1.0|SODA-A,True,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
F,SODA-A,DIOR-R|FAIR1M-v1.0|SODA-A,True,False,source_data loads full matched JSONL before role filtering,True,physical access and fit use are separately reported,,,,,,,,,,
,,,,,,,,A,DIOR-R,source_Dcal_fit,130275,4215,4215,e2c7e9620dad122b27332c092105d1081f0151499089fb4fc6508a92a9def65d,0,0,AUDITED
,,,,,,,,A,DIOR-R,source_Dcal_calib,30887,1006,1006,6823fe606bc2ef844854cd906de795cfb0de2b7a801dfc71e12cb144d5c955f5,0,0,AUDITED
,,,,,,,,A,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,169496,0,AUDITED
,,,,,,,,A,DIOR-R,target_Dcal,24447,3469,3469,f10b01a31a0ab80a27fd88a8a8303443e4e42cae3a408cb6d7e4fce12012933a,0,24447,AUDITED
,,,,,,,,A,DIOR-R,target_Daudit,25080,3497,3497,eec95599dcc4cc99b38ce5eaecf17146e032517583403d2dd7936e1be308358f,0,25080,AUDITED
,,,,,,,,A,DIOR-R,target_feature_prelabel,556660,11734,11734,9a4659de54d4bbc896735f240520a85353fd69b016ff923371ea3075fc1028e4,0,49527,EXPECTED_IDENTITY_OVERLAP
,,,,,,,,A,DIOR-R,target_scores_prelabel,556660,11734,11734,9a4659de54d4bbc896735f240520a85353fd69b016ff923371ea3075fc1028e4,0,49527,EXPECTED_IDENTITY_OVERLAP
,,,,,,,,B,DIOR-R,source_Dcal_fit,130275,4215,4215,e2c7e9620dad122b27332c092105d1081f0151499089fb4fc6508a92a9def65d,0,0,AUDITED
,,,,,,,,B,DIOR-R,source_Dcal_calib,30887,1006,1006,6823fe606bc2ef844854cd906de795cfb0de2b7a801dfc71e12cb144d5c955f5,0,0,AUDITED
,,,,,,,,B,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,169496,0,AUDITED
,,,,,,,,B,DIOR-R,target_Dcal,26635,3622,3622,07a5914476b053e73307c621f05478e777feed43f58c44661c12c5de2c619ab9,0,26635,AUDITED
,,,,,,,,B,DIOR-R,target_Daudit,27682,3643,3643,9f72683c1049c57abc8d1d45d036f457e135d4b2bb527e2f72ce5d79255958f2,0,27682,AUDITED
,,,,,,,,B,DIOR-R,target_feature_prelabel,177967,11732,11732,f88775a1dea996ac91577ce9b3c2a545d6b4c3bdc3d08184fbaa520d089d8bb1,0,54317,EXPECTED_IDENTITY_OVERLAP
,,,,,,,,B,DIOR-R,target_scores_prelabel,177967,11732,11732,f88775a1dea996ac91577ce9b3c2a545d6b4c3bdc3d08184fbaa520d089d8bb1,0,54317,EXPECTED_IDENTITY_OVERLAP
,,,,,,,,C,DIOR-R,source_Dcal_fit,130275,4215,4215,e2c7e9620dad122b27332c092105d1081f0151499089fb4fc6508a92a9def65d,0,0,AUDITED
,,,,,,,,C,DIOR-R,source_Dcal_calib,30887,1006,1006,6823fe606bc2ef844854cd906de795cfb0de2b7a801dfc71e12cb144d5c955f5,0,0,AUDITED
,,,,,,,,C,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,169496,0,AUDITED
,,,,,,,,C,DIOR-R,target_Dcal,26314,3608,3608,c480f25247623edee3d26aa907586349b264ddb8e765587ae88e3d4ccedbab0d,0,26314,AUDITED
,,,,,,,,C,DIOR-R,target_Daudit,27410,3697,3697,84a9313a48a1f9d33e82715fe4d9920a8ef0993b912e07891da52c5e0fd58e12,0,27410,AUDITED
,,,,,,,,C,DIOR-R,target_feature_prelabel,358782,11735,11735,85c3f4f14586f7b09be5035006c625069d9e64836c5a91f10369625033eb960d,0,53724,EXPECTED_IDENTITY_OVERLAP
