record,unit,dataset,set_name,rows,images,mothers,set_sha256,zero_eligible_clusters,status
universe,A,DIOR-R,D_audit_cluster_universe,,,,29c4f734fce1fc1c16ed4957be4e7495a477bc099d864acc2fd1e131f549b2c7,2403,OK
universe,B,DIOR-R,D_audit_cluster_universe,,,,29c4f734fce1fc1c16ed4957be4e7495a477bc099d864acc2fd1e131f549b2c7,2257,OK
universe,C,DIOR-R,D_audit_cluster_universe,,,,29c4f734fce1fc1c16ed4957be4e7495a477bc099d864acc2fd1e131f549b2c7,2203,OK
universe,D,FAIR1M-v1.0,D_audit_cluster_universe,,,,d8172d15e8a90cde832721f541fa072aba2c1c86aa42d6d88b8055a2565e090a,920,OK
universe,E,SODA-A,D_audit_cluster_universe,,,,76ac8199a3faaffc5d713e0d8c43879f45ace7267aa7b797b9932e9e74410ba7,161,OK
universe,F,SODA-A,D_audit_cluster_universe,,,,76ac8199a3faaffc5d713e0d8c43879f45ace7267aa7b797b9932e9e74410ba7,159,OK
set,A,DIOR-R,source_Dcal_fit,85710,2667,2667,4a79886e14b3d70d134507d4607c3d3482d836ee64f59dd070e892e1edc196db,,OK
set,A,DIOR-R,source_Dcal_calib,75452,2554,2554,6cc2e1f36ca06a7738020b84004e5e98d77b909af1adafeee7eb7eae2292c865,,OK
set,A,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,,OK
set,A,DIOR-R,target_Dcal,24447,3469,3469,f10b01a31a0ab80a27fd88a8a8303443e4e42cae3a408cb6d7e4fce12012933a,,OK
set,A,DIOR-R,target_Daudit,25080,3497,3497,eec95599dcc4cc99b38ce5eaecf17146e032517583403d2dd7936e1be308358f,,OK
set,A,DIOR-R,target_feature_prelabel,556660,11734,11734,9a4659de54d4bbc896735f240520a85353fd69b016ff923371ea3075fc1028e4,,OK
set,A,DIOR-R,target_scores_prelabel,556660,11734,11734,9a4659de54d4bbc896735f240520a85353fd69b016ff923371ea3075fc1028e4,,OK
set,B,DIOR-R,source_Dcal_fit,85710,2667,2667,4a79886e14b3d70d134507d4607c3d3482d836ee64f59dd070e892e1edc196db,,OK
set,B,DIOR-R,source_Dcal_calib,75452,2554,2554,6cc2e1f36ca06a7738020b84004e5e98d77b909af1adafeee7eb7eae2292c865,,OK
set,B,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,,OK
set,B,DIOR-R,target_Dcal,26635,3622,3622,07a5914476b053e73307c621f05478e777feed43f58c44661c12c5de2c619ab9,,OK
set,B,DIOR-R,target_Daudit,27682,3643,3643,9f72683c1049c57abc8d1d45d036f457e135d4b2bb527e2f72ce5d79255958f2,,OK
set,B,DIOR-R,target_feature_prelabel,177967,11732,11732,f88775a1dea996ac91577ce9b3c2a545d6b4c3bdc3d08184fbaa520d089d8bb1,,OK
set,B,DIOR-R,target_scores_prelabel,177967,11732,11732,f88775a1dea996ac91577ce9b3c2a545d6b4c3bdc3d08184fbaa520d089d8bb1,,OK
set,C,DIOR-R,source_Dcal_fit,85710,2667,2667,4a79886e14b3d70d134507d4607c3d3482d836ee64f59dd070e892e1edc196db,,OK
set,C,DIOR-R,source_Dcal_calib,75452,2554,2554,6cc2e1f36ca06a7738020b84004e5e98d77b909af1adafeee7eb7eae2292c865,,OK
set,C,DIOR-R,source_Daudit,169496,5387,5387,8c0132945d97464e0b77b6e2a1636afd943fa302abd77350f7cae2ca4c23e6b5,,OK
set,C,DIOR-R,target_Dcal,26314,3608,3608,c480f25247623edee3d26aa907586349b264ddb8e765587ae88e3d4ccedbab0d,,OK
set,C,DIOR-R,target_Daudit,27410,3697,3697,84a9313a48a1f9d33e82715fe4d9920a8ef0993b912e07891da52c5e0fd58e12,,OK
set,C,DIOR-R,target_feature_prelabel,358782,11735,11735,85c3f4f14586f7b09be5035006c625069d9e64836c5a91f10369625033eb960d,,OK
set,C,DIOR-R,target_scores_prelabel,358782,11735,11735,85c3f4f14586f7b09be5035006c625069d9e64836c5a91f10369625033eb960d,,OK
set,D,FAIR1M-v1.0,source_Dcal_fit,93909,3893,3893,5cd4461a402521f26f5fa2b0352c25081c68c582ffd7e0ae6052cf66110bdaab,,OK
set,D,FAIR1M-v1.0,source_Dcal_calib,85484,3903,3903,509b67cbd44592fcefbcb19f65fdd9a0cf6f48b47843f866a047615a06144f88,,OK
set,D,FAIR1M-v1.0,source_Daudit,190805,8069,8069,8368549618b15752ffa9b038e65bbc4026dc12c115e517d5d6436324da964969,,OK
set,D,FAIR1M-v1.0,target_Dcal,16700,1285,1285,caa9f1441b63c5e42a076e31560172d4d4310f15c8bc01909a0b1b4cd38c23b7,,OK
set,D,FAIR1M-v1.0,target_Daudit,15132,1222,1222,74ffd2879a7af7bf6cb9534764db87e0d16b7c0554dd449354a12a659164a0c8,,OK
set,D,FAIR1M-v1.0,target_feature_prelabel,488194,4238,4238,6c143a7ec8dcb991d1bef3f7904b0062a60599c39a65eda4a71975a5810b64d7,,OK
set,D,FAIR1M-v1.0,target_scores_prelabel,488194,4238,4238,6c143a7ec8dcb991d1bef3f7904b0062a60599c39a65eda4a71975a5810b64d7,,OK
set,E,SODA-A,source_Dcal_fit,24679,2504,2416,c7e1a863947ebd4cbbc8ff638a8127296bd978ca236b585ce6cc3804ae1f6cdd,,OK
set,E,SODA-A,source_Dcal_calib,26952,2641,2560,e7e737f41b24668a7a7fbe5d176cb8bbd39ad94fbf0d140b49837c8eed7290c5,,OK
set,E,SODA-A,source_Daudit,51573,5126,4891,b3e29150d3fc9b91776fb7f12960b187845852b300e511b369c36cd0e12d756c,,OK
set,E,SODA-A,target_Dcal,96486,3831,413,13b429631eec5f73d373b88aa03d9008fd9ae04cfe3008f9512d8eee69719c20,,OK
set,E,SODA-A,target_Daudit,101160,4077,415,c4263f9e1f47f9380e9cdb6a870bac2ea65a5c775ce837a1e6ab7c970f45812a,,OK
set,E,SODA-A,target_feature_prelabel,1663631,19668,576,88c581bf5bb70c3e47dc76797638bc4f1d0e392ea4719fb038a2b74cc27e9d64,,OK
set,E,SODA-A,target_scores_prelabel,1663631,19668,576,88c581bf5bb70c3e47dc76797638bc4f1d0e392ea4719fb038a2b74cc27e9d64,,OK
set,F,SODA-A,source_Dcal_fit,24679,2504,2416,c7e1a863947ebd4cbbc8ff638a8127296bd978ca236b585ce6cc3804ae1f6cdd,,OK
set,F,SODA-A,source_Dcal_calib,26952,2641,2560,e7e737f41b24668a7a7fbe5d176cb8bbd39ad94fbf0d140b49837c8eed7290c5,,OK
