dataset,replicate,delta_nrc
DIOR-R,0,0.12363636115926363
DIOR-R,1,0.18638060254394492
DIOR-R,2,0.1984486621284982
DIOR-R,3,0.1618525222138765
DIOR-R,4,0.21434787650733192
DIOR-R,5,0.17425098735809583
DIOR-R,6,0.15217826821832017
DIOR-R,7,0.15082526539142507
DIOR-R,8,0.16599514270002017
DIOR-R,9,0.1676767358185843
DIOR-R,10,0.17826431413079205
DIOR-R,11,0.17018151924147507
DIOR-R,12,0.15916739143188702
DIOR-R,13,0.23004795133901465
DIOR-R,14,0.17673454532791436
DIOR-R,15,0.19374171496493364
DIOR-R,16,0.21422608768785256
DIOR-R,17,0.173140807692169
DIOR-R,18,0.2215815842035839
DIOR-R,19,0.13861663943191502
DIOR-R,20,0.2010038071878281
DIOR-R,21,0.18247103442146337
DIOR-R,22,0.13645145573069328
DIOR-R,23,0.17360739845247464
DIOR-R,24,0.1804305587468947
DIOR-R,25,0.15022269920302955
DIOR-R,26,0.20776281231305227
DIOR-R,27,0.13435512561069068
DIOR-R,28,0.18237388037809646
DIOR-R,29,0.1778733009520884
DIOR-R,30,0.2175660361408409
DIOR-R,31,0.14556195475838568
DIOR-R,32,0.18717175843104294
DIOR-R,33,0.15441072646006046
DIOR-R,34,0.17655054115946692
DIOR-R,35,0.24494246167930522
DIOR-R,36,0.18182241082387474
DIOR-R,37,0.15439972132859528
DIOR-R,38,0.18533760544656186
DIOR-R,39,0.18314897551776377
DIOR-R,40,0.20611853971877916
DIOR-R,41,0.14511890111716638
DIOR-R,42,0.12134222741348437
DIOR-R,43,0.2035916918197207
DIOR-R,44,0.13206707805586293
DIOR-R,45,0.19896325408507898
DIOR-R,46,0.21449641132398098
DIOR-R,47,0.20974873148778714
DIOR-R,48,0.155914138850926
DIOR-R,49,0.15122007632027396
DIOR-R,50,0.15227023719758312
DIOR-R,51,0.1782766495275571
DIOR-R,52,0.1732053035120952
DIOR-R,53,0.1557348468055154
DIOR-R,54,0.19032651069649006
DIOR-R,55,0.2013027054109331
DIOR-R,56,0.1412594973468206
DIOR-R,57,0.1690355974434228
DIOR-R,58,0.1830305574253277
DIOR-R,59,0.16488524857755163
DIOR-R,60,0.17935274889411038
DIOR-R,61,0.20713022025718675
DIOR-R,62,0.15935259830901244
DIOR-R,63,0.15878388792920353
DIOR-R,64,0.20917184049603285
DIOR-R,65,0.1333405878152119
DIOR-R,66,0.22218662655467825
DIOR-R,67,0.18629653718583158
DIOR-R,68,0.14086034367019182
DIOR-R,69,0.21870501727510105
DIOR-R,70,0.19391783035215493
DIOR-R,71,0.19137444183839167
DIOR-R,72,0.15539850588497864
DIOR-R,73,0.12962661489250596
DIOR-R,74,0.22850025330173748
DIOR-R,75,0.15357967014288634
DIOR-R,76,0.13338340271159557
DIOR-R,77,0.17609618721113884
DIOR-R,78,0.18213997328878584
DIOR-R,79,0.11471163576221995
DIOR-R,80,0.14475499412928303
DIOR-R,81,0.21319067978093895
DIOR-R,82,0.11685426579606852
DIOR-R,83,0.14964220812117712
DIOR-R,84,0.1937925820358762
DIOR-R,85,0.17907174803413853
DIOR-R,86,0.2075819937864886
DIOR-R,87,0.1777605169121433
DIOR-R,88,0.205507125512299
DIOR-R,89,0.09015790531301364
DIOR-R,90,0.1855413583908405
DIOR-R,91,0.21543683816841605
DIOR-R,92,0.1960086996168194
DIOR-R,93,0.19112538217664432
DIOR-R,94,0.1963442564292175
DIOR-R,95,0.1468244517533605
DIOR-R,96,0.1811992739272501
DIOR-R,97,0.200886555521779
DIOR-R,98,0.1923985062060706
DIOR-R,99,0.19199642044283127
DIOR-R,100,0.19866348603528808
DIOR-R,101,0.22357119149498525
DIOR-R,102,0.1515628789583545
DIOR-R,103,0.18667183685767408
DIOR-R,104,0.2087410865618812
DIOR-R,105,0.2562070756303579
DIOR-R,106,0.19494227253898996
DIOR-R,107,0.20458870104575097
DIOR-R,108,0.17472454698764092
DIOR-R,109,0.18784679760655223
DIOR-R,110,0.17715872812524355
DIOR-R,111,0.19348244746727158
DIOR-R,112,0.16762492440861707
DIOR-R,113,0.15519932513030585
DIOR-R,114,0.15225795390249183
DIOR-R,115,0.17666859376553148
DIOR-R,116,0.13668162041549936
DIOR-R,117,0.19365080706213242
DIOR-R,118,0.11176092694293356
DIOR-R,119,0.176645940570665
DIOR-R,120,0.20148603840257365
DIOR-R,121,0.1701868611766988
DIOR-R,122,0.16465854737058383
DIOR-R,123,0.2002251653526438
DIOR-R,124,0.14905508444848284
DIOR-R,125,0.17510286674278563
DIOR-R,126,0.16584598427863662
DIOR-R,127,0.1875585367637612
DIOR-R,128,0.19488383220652894
DIOR-R,129,0.1522905966988163
DIOR-R,130,0.14475596961027343
DIOR-R,131,0.11709295348711102
DIOR-R,132,0.1850133489813964
DIOR-R,133,0.15065721630021103
DIOR-R,134,0.20111605556373288
DIOR-R,135,0.1997034242283151
DIOR-R,136,0.14342060705843793
DIOR-R,137,0.13160777119488393
DIOR-R,138,0.1540367453052639
DIOR-R,139,0.19376236193784213
DIOR-R,140,0.1704127626937405
DIOR-R,141,0.15397644601596377
DIOR-R,142,0.1822420286848665
DIOR-R,143,0.17160525340991017
DIOR-R,144,0.15960563444180034
DIOR-R,145,0.12863798451332095
DIOR-R,146,0.1910217268184288
DIOR-R,147,0.1329056009479224
DIOR-R,148,0.15846000320300635
DIOR-R,149,0.19856181881609203
DIOR-R,150,0.1834132871840067
DIOR-R,151,0.13976172598380057
DIOR-R,152,0.1934054944103204
DIOR-R,153,0.23245862237831325
DIOR-R,154,0.1536785635418559
DIOR-R,155,0.16671175667316354
DIOR-R,156,0.18335719274001652
DIOR-R,157,0.13598340064037662
DIOR-R,158,0.1377250235178178
DIOR-R,159,0.17393331490635763
DIOR-R,160,0.2311827944602539
DIOR-R,161,0.18900738913443052
DIOR-R,162,0.1780672752259871
DIOR-R,163,0.19988887721098947
DIOR-R,164,0.16968420090645675
DIOR-R,165,0.1478946228177707
DIOR-R,166,0.19924080125010157
DIOR-R,167,0.19801140740646503
DIOR-R,168,0.19295601108764845
DIOR-R,169,0.19374918243417608
DIOR-R,170,0.20452757743495686
DIOR-R,171,0.18591220851037396
DIOR-R,172,0.13874002663508903
DIOR-R,173,0.15533476417309697
DIOR-R,174,0.2039598769366385
DIOR-R,175,0.17829337568835188
DIOR-R,176,0.19338127822299037
DIOR-R,177,0.12483279122451811
DIOR-R,178,0.15769813369848398
