topic,artifact,role,status,sha256,bytes,canonical_path,root_alias,can_recompute,notes
m1_all_main_results_ar21.csv,top_journal_v3_reaudit_055/reports/m1_all_main_results_ar21.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,9dadd6d0dff0a8a60da66f4d4a54125bbf871b4ad6c38df41cad4c1e3ec36c6b,21849,top_journal_v3_reaudit_055/reports/m1_all_main_results_ar21.csv,reports/m1_all_main_results_ar21.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m1_sensitivity_ar16_ar13.csv,top_journal_v3_reaudit_055/reports/m1_sensitivity_ar16_ar13.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,74b191469f5752f0f978eba00ce3975f4b269067fc3022121eecf022d9584b17,42746,top_journal_v3_reaudit_055/reports/m1_sensitivity_ar16_ar13.csv,reports/m1_sensitivity_ar16_ar13.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m1_old_vs_ar21_direction_audit.csv,top_journal_v3_reaudit_055/reports/m1_old_vs_ar21_direction_audit.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,f0bc5da96ef6a506111d75f5f31468b5a489dbad98faab0bbf233ecf73bd2eb3,38524,top_journal_v3_reaudit_055/reports/m1_old_vs_ar21_direction_audit.csv,reports/m1_old_vs_ar21_direction_audit.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m1_decision.csv,top_journal_v3_reaudit_055/reports/m1_decision.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,b9d9587829b2f289f8af4ec8ce2627e3654ac5b8efa79da4d7219697ae0221c7,123,top_journal_v3_reaudit_055/reports/m1_decision.csv,reports/m1_decision.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m2_g2doubleprime_ar21.csv,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_ar21.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,19a976ab18345d43749d4c61d837a19d4a0512b0f034a70d723baeab11e73f4b,6682,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_ar21.csv,reports/m2_g2doubleprime_ar21.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m2_g2doubleprime_cell_bin_intervals.csv,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_cell_bin_intervals.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,ac4e5955d75ebc0b9c96ce89670111fcadd212279b1e9bad919c8037ce2372d6,3753,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_cell_bin_intervals.csv,reports/m2_g2doubleprime_cell_bin_intervals.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m2_g2doubleprime_decision.csv,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_decision.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,359dfb0e4517cfc524179346cef17ae42ef4c59c36a9cf44717c0bc851687c18,199,top_journal_v3_reaudit_055/reports/m2_g2doubleprime_decision.csv,reports/m2_g2doubleprime_decision.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m3_image_level_ltt.csv,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,53f7f243edab673632e7bee0206c1b6a75f2cf67b9a9b3c1fba4639aad29c07e,720006,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,reports/m3_image_level_ltt.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m3_instance_vs_image_comparison.csv,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,a017bc287718ef659048a0f01a898894756f71070c65c2d49ffb3a286c9b4cbb,51648,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,reports/m3_instance_vs_image_comparison.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
m3_image_event_secondary_endpoint.csv,top_journal_v3_reaudit_055/reports/m3_image_event_secondary_endpoint.csv,AUTHORITATIVE_DERIVED_REPORT,VERIFIED,184c078881c86a41acb6270b804736831db31bc0282702d2f66f2ec4b8968e0f,85446,top_journal_v3_reaudit_055/reports/m3_image_event_secondary_endpoint.csv,reports/m3_image_event_secondary_endpoint.csv,bash scripts/reproduce_all_main_tables.sh,"single canonical artifact; root report paths are symlinks, not copies"
